gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm
AXIN2	0.42774308	0.42650798	0.211632934585214	0.651855410635471	1	0.000999000999000999	0.03514409	0.0126510092688221	FALSE	TRUE	TRUE	0.42774308	TRUE	0.42414270203647	0.0351441015675676	5.18114362613963	7.29728766690856e-06	0.00233896257247458	3.69473564265167	TRUE	TRUE	TRUE	TRUE	up
CYCS	-0.40969035	-0.40858287	-0.562196189165115	-0.238016560673714	1	0.000999000999000999	0.052710436	0.0126510092688221	FALSE	TRUE	TRUE	0.40969035	TRUE	-0.409760560399178	0.0527104378972973	-5.16680017900911	7.63493576782953e-06	0.00233896257247458	3.65220288739397	TRUE	TRUE	TRUE	TRUE	down
DPEP1	0.5104067	0.5047452	0.244460769742727	0.792924101650715	1	0.000999000999000999	0.00890304	0.0126510092688221	FALSE	TRUE	TRUE	0.5104067	TRUE	0.512140243410315	0.00890304404054054	5.10907482366833	9.5439910620168e-06	0.00278457301128462	3.44671701571431	TRUE	TRUE	TRUE	TRUE	up
SDC3	0.34583938	0.3447019	0.169948872178793	0.544590991735458	1	0.000999000999000999	0.0015790559	0.0126510092688221	FALSE	TRUE	TRUE	0.34583938	TRUE	0.343356140560077	0.0015790609054054	5.08475043682626	1.0297895187489e-05	0.0028679638097157	3.37523964436829	TRUE	TRUE	TRUE	TRUE	up
DHRS11	-0.5168385	-0.5150502	-0.716035753488541	-0.3252331122756	1	0.000999000999000999	0.03144986	0.0126510092688221	FALSE	TRUE	TRUE	0.5168385	TRUE	-0.506831789428999	0.031449867972973	-5.00987990068774	1.27658025329581e-05	0.0029378217143831	3.17122897015162	TRUE	TRUE	TRUE	TRUE	down
CA2	-0.50416976	-0.5125221	-0.68166378736496	-0.308551739156246	1	0.000999000999000999	0.06303602	0.0126510092688221	FALSE	TRUE	TRUE	0.50416976	TRUE	-0.499139216235935	0.0630360291756757	-4.97079475651195	1.4142539150064e-05	0.0029378217143831	3.07277971553127	TRUE	TRUE	TRUE	TRUE	down
EPHB3	0.45734045	0.45566678	0.233486159145832	0.717114707827568	1	0.000999000999000999	0.0034419443	0.0126510092688221	FALSE	TRUE	TRUE	0.45734045	TRUE	0.450305212659286	0.00344194628378378	4.97072980028087	1.46976441543926e-05	0.0029378217143831	3.04088342879265	TRUE	TRUE	TRUE	TRUE	up
COX5A	-0.42020017	-0.4247046	-0.598913602530956	-0.231265577673912	1	0.000999000999000999	0.108259514	0.0126510092688221	FALSE	TRUE	TRUE	0.42020017	TRUE	-0.428479233859834	0.108259532735135	-4.9554903821824	1.48377871297937e-05	0.0029378217143831	3.02769467372897	TRUE	TRUE	TRUE	TRUE	down
LGR5	0.41682506	0.41163814	0.222023676335812	0.651624126732349	1	0.000999000999000999	0.0065720743	0.0126510092688221	FALSE	TRUE	TRUE	0.41682506	TRUE	0.40934629716739	0.00657207322972973	5.02023676939461	1.25957284698359e-05	0.0029378217143831	3.18591162722527	TRUE	TRUE	TRUE	TRUE	up
CD9	-0.3971	-0.3981822	-0.558650772273541	-0.232245069742203	1	0.000999000999000999	0.057808194	0.0126510092688221	FALSE	TRUE	TRUE	0.3971	TRUE	-0.402597269424247	0.0578081955	-5.01305442651228	1.23858928031991e-05	0.0029378217143831	3.1973989151559	TRUE	TRUE	TRUE	TRUE	down
