gene	shared_direction	common_effect	common_se	common_q_value	posterior_mean_ABS	lfsr_ABS	posterior_mean_GOB	lfsr_GOB	posterior_mean_TAC	lfsr_TAC	absolute_rank	signed_rank
TIMP1	up	3.51875626155639	0.210207393061418	5.55816594456193e-59	2.81071407156902	3.92025585885836e-18	2.99618064627247	6.41651749013625e-24	4.08249476732841	3.96725402388986e-52	1	1
INPP5D	up	2.9207457637981	0.232889239366113	1.53836988018996e-32	1.57281584206256	5.08749590867116e-07	3.4633515885634	3.26528950903367e-30	3.65626575606309	7.14609796735694e-22	2	2
S100P	up	3.3172428985422	0.264899695393907	1.53836988018996e-32	3.12966579871208	8.87969846119035e-20	2.06327269872271	1.47923671637618e-09	5.39600552054391	2.05290372744181e-38	3	3
GALNT6	up	1.63407733274684	0.131932488108167	6.418847217998801e-32	1.38420740267167	3.62322658533755e-13	1.37574670567622	4.89771680156665e-17	2.03917360241241	1.40512638060156e-26	4	4
GRAMD1A	up	1.36546675010582	0.111229141952185	1.99993516816973e-31	1.00740460016856	1.49995847347209e-06	1.39993113708946	3.991846204677e-14	1.28941220228064	1.1428755559516699e-26	5	5
PVT1	up	1.71890026969759	0.140189832946504	2.00395797152734e-31	1.12987944373863	4.96440735184096e-08	2.12878766393472	2.18668721364081e-25	1.57483989546539	2.97811167360236e-19	6	6
LCN2	up	2.67901697030422	0.230061144457624	2.86421118455715e-28	1.808833879097	2.82443019815456e-10	3.89476689425554	4.41973308353302e-29	2.38181476765586	7.477194994783871e-14	7	7
TBXAS1	up	1.36647455671585	0.118270877518827	7.26032537928431e-28	0.990506252074614	3.8828613080976e-12	1.61757439978183	5.73213470872926e-23	1.57776877421273	5.637825829995289e-18	8	8
GRIN2D	up	1.90748515341374	0.165637238770712	1.00049004388827e-27	1.24058255911079	2.51277762229557e-10	2.518266152451	4.96297344111248e-28	2.54056857307934	8.473818459811351e-17	9	9
ARID3A	up	1.27386227547908	0.112029414514347	4.80600549595037e-27	0.950635566280336	1.4277589262165702e-09	1.07711612366111	7.26802808969082e-13	1.57605764192916	3.73943221408235e-26	10	10
ASCL2	up	2.33729157800139	0.209788879437648	5.91030606856072e-26	1.85279506697243	8.444023449023271e-09	1.85866888573602	7.73902411295136e-09	2.41659396148136	3.50562152725504e-24	11	11
COX5A	down	-0.823770690484804	0.0740650816039111	6.69803287338524e-26	-0.600730140017005	6.73087474645229e-10	-0.842875208381218	2.2204460492503099e-16	-0.956531922115262	2.2204460492503099e-16	12	8221
PMEPA1	up	1.32423351283478	0.119367365940845	8.50587848153545e-26	0.940770709495159	2.01914472503146e-09	1.44152866271589	6.4157761241151804e-24	1.50745686586651	6.779539973396471e-14	13	12
PLXNB1	up	0.673998662674102	0.0622196761018762	1.4169519381311801e-24	0.266058692364044	0.0107928289475235	0.772037385825374	3.14458678507381e-11	0.681298381137613	2.61421551297987e-24	14	13
C15orf48	down	-1.04305371600802	0.0982296648369515	1.33949562592643e-23	-0.777750442972947	1.73645664514055e-09	-1.08458532843429	0.0	-1.25941896481196	5.55111512312578e-16	15	8220
UGT2A3	down	-1.95713316615748	0.184548980207088	1.45207320609361e-23	-1.05934115242695	3.24486340574914e-06	-1.66143948501712	6.18602702395776e-08	-2.9699406141186	1.11022302462516e-16	16	8219
MAOA	down	-0.743473271655654	0.0701729693189083	1.52227964785778e-23	-0.371283104306433	9.20311515264505e-05	-0.545944686393271	1.82696634265511e-07	-1.09658691310759	1.11022302462516e-16	17	8218
IL1R2	down	-1.45319497755708	0.137380409606524	1.7234737913673998e-23	-0.610944206197969	0.0017109512443171	-1.85456696557626	0.0	-1.25445236703035	2.50064635665126e-09	18	8217
ATP5MC3	down	-0.933804794541428	0.0884526956562404	2.0376848128543102e-23	-0.698647263637147	1.65576663491152e-10	-0.927202369923597	0.0	-0.992789005633225	1.791899961745e-13	19	8216
SDHD	down	-1.13898329081013	0.108143313676017	2.52406326622195e-23	-0.799364542171076	1.92161884182696e-07	-1.07317677362389	2.2204460492503099e-16	-1.16839152787331	1.07025499573865e-13	20	8215
CADPS	up	1.71374733534792	0.165069264496225	1.1723501361396e-22	1.321747120154	7.41145902010268e-12	1.62327517593151	2.19496439954445e-13	2.17894070239723	8.34047054319192e-19	21	14
SRI	down	-0.963402749257993	0.0943652908573108	6.73284483285991e-22	-0.669691815127821	6.08925999401322e-07	-0.899715430936855	1.11022302462516e-15	-1.00132958364687	3.2196467714129504e-15	22	8214
CHP2	down	-1.13496646810407	0.112243589230907	1.75348393408365e-21	-0.799726757137102	1.19104152096483e-08	-1.00910307371767	1.25128314099054e-06	-1.3574002913552	1.11022302462516e-16	23	8213
TMEM98	down	-0.879717404288529	0.087261040354949	2.28602535160618e-21	-0.470281951222838	0.0006969877139096	-0.613260186747548	8.50835925469973e-06	-1.03616069465527	0.0	24	8212
NOL3	up	1.03206839282441	0.104199446695637	1.30550349680483e-20	0.933502421780735	9.91747105104731e-15	1.02578440049991	2.46620221310234e-14	0.823364394049437	8.48417057269771e-05	25	15
LGALS3	down	-0.909435258997805	0.0920094569843193	1.5420820487121502e-20	-0.64524362383262	3.27373407826848e-07	-1.02344347077348	0.0	-0.786081090227781	1.6877321762365201e-10	26	8211
AGBL4	up	1.13628912591947	0.115144705621338	1.7255708730001502e-20	0.680582102823315	2.31836210150559e-05	1.28058446428846	2.14737015430211e-17	1.30398765499822	6.7231308845660104e-15	27	16
HDAC7	up	1.21433766839062	0.123089965295256	1.7255708730001502e-20	0.842210063308881	1.332221378205e-08	1.10883147161168	8.04938320226522e-10	1.30376424758271	4.0082688869092704e-19	28	17
IMPA2	down	-0.683197212770261	0.0697405071034096	3.31146966392988e-20	-0.452561050832248	3.20308296530847e-06	-0.695865115301282	5.21804821573824e-14	-0.746512446225275	1.11022302462516e-16	29	8210
PACS1	up	1.40034544248394	0.143100544870669	3.55248623103704e-20	1.15553680883744	3.77309174877667e-14	1.35298974305869	1.44671941199349e-13	1.53813556675755	7.45463490363921e-09	30	18
AXIN2	up	1.30898658015039	0.135375937150367	1.08005382271187e-19	0.865587286815571	7.60336539039156e-07	1.06183079642775	5.40602865406992e-06	1.60840041609863	1.31130438025215e-22	31	19
ARHGEF28	up	0.792283693352739	0.0829475828246842	3.28031452764111e-19	0.810337412496837	6.77827430638464e-16	0.592214285847451	2.95780931506432e-08	0.950783161620895	2.31737003100058e-12	32	20
CD9	down	-0.769293825677803	0.0813866138386475	8.089328136990411e-19	-0.564188841133293	5.64987021611785e-08	-0.695505442216293	3.80584341819201e-10	-0.904934413429657	1.11022302462516e-16	33	8209
ZYX	up	1.10946973545776	0.11738769137171	8.089328136990411e-19	0.637621106908624	0.0001132543851384	1.1002806201112	1.7282617193021e-09	1.39866642913311	6.505905164431e-21	34	21
RASAL1	up	1.22992266149066	0.13077917540471	1.2270553436386498e-18	1.27143085773593	3.24948283515013e-11	0.983590231034702	2.30786928897719e-10	1.37534136414968	1.90748539294022e-13	35	22
GTF2IRD1	up	1.27036684802931	0.135740188280869	1.84147093601987e-18	0.902451069436238	3.72480062138356e-08	1.25332090838095	1.63556252847405e-12	1.44147109804382	9.53192588054491e-16	36	23
BACE2	up	0.961800693782507	0.102913639658468	2.02809471470737e-18	0.69214759646679	1.19513774337225e-07	0.887261541507548	1.07239016899406e-12	0.991021242232082	2.98280883728558e-13	37	24
OSBPL3	up	1.10238380872269	0.118383568959297	2.71481866855212e-18	0.53772100700023	0.0007572767554907	1.61639656345744	1.0931635478198398e-22	0.831270903740635	8.74892048346298e-07	38	25
FAM162A	down	-0.850884189972595	0.0924709902277411	7.43153021433652e-18	-0.570750624389709	1.32326926020054e-05	-0.869401601818321	4.44089209850063e-16	-0.935909995045851	7.4097727953415e-11	39	8208
COX16	down	-0.685617942713343	0.074828882664944	1.04240909059404e-17	-0.54248948276669	5.66727750617169e-07	-0.665950601607922	9.992007221626409e-16	-0.625656679360041	1.76800467599492e-08	40	8207
FTX	up	0.682088309471713	0.0750386537703279	1.98903364071911e-17	0.450312267161535	3.34798747368897e-06	0.755273526026076	3.1236949832471203e-17	0.680068871474354	1.11799019929328e-08	41	26
LIPG	up	1.21687978657699	0.134536710204874	2.93046583392051e-17	0.861415633590685	1.40591531235688e-05	1.52622629522169	1.93215263247568e-15	0.973493757787432	1.8100308357955e-09	42	27
FKBP1A	down	-1.05941145299118	0.117245725611712	3.1120327131415e-17	-0.72216212606124	3.97950548014503e-06	-0.955110636946429	7.71688268841331e-11	-1.12791972963004	1.63202784619898e-14	43	8206
PITPNC1	up	0.973032576864601	0.107899790203694	3.50350273357719e-17	0.728021830733474	1.23753443392894e-09	0.974051886615852	9.314381096044329e-11	1.13645633807937	2.25767923599632e-14	44	28
HPGD	down	-1.09985175813561	0.121963527774593	3.50350273357719e-17	-0.639494200611886	0.0001631038561741	-1.34357746277777	1.33226762955019e-15	-0.965844911201691	8.02258370846687e-10	45	8205
ARHGEF3	up	1.36391379975201	0.152011804304894	5.18404029225557e-17	1.00062644174546	1.06148261207815e-08	1.21514889011418	1.13161596716624e-10	1.48877927670044	2.23464885045667e-13	46	29
EDA	down	-1.44729032277444	0.161567143801795	5.79218824288278e-17	-0.736484441107169	0.0004791042778182	-1.62176959168993	4.2774228603548194e-11	-1.84737316828123	0.0	47	8204
