gene	shared_direction	common_effect	common_se	common_q_value	posterior_mean_ABS	lfsr_ABS	posterior_mean_GOB	lfsr_GOB	posterior_mean_TAC	lfsr_TAC	absolute_rank	signed_rank
CIAO2A	down	-0.656123767174469	0.0733034879099656	6.045225511841091e-17	-0.495348242993725	5.83489264682768e-07	-0.639370825967366	3.48610029732299e-14	-0.659730917873229	6.63781918319728e-10	48	8203
NEBL	up	1.00650115036249	0.112774898906148	7.48662566417277e-17	0.77411930487621	1.4614197602719802e-09	0.917064007223772	9.454465401672209e-11	1.08804960933473	5.54250575476271e-12	49	30
VWA1	up	1.6610445726674	0.186651121050877	9.24921614632953e-17	1.04280063118397	2.71159449977578e-05	1.34624072234796	1.8241170639658e-06	1.99399865669577	4.0508419944198294e-18	50	31
LINC00963	up	1.23477637820515	0.139028009764376	1.06338692767405e-16	1.17859902810452	3.36952474257851e-12	0.728416974630133	0.0001602344181402	1.73574543545888	3.21787509706422e-16	51	32
MPC2	down	-0.873342893083077	0.0992878677088083	2.19784586195348e-16	-0.652978376067899	2.11064721256093e-08	-0.843021935559739	1.90127913413107e-11	-1.01345999138814	1.03461683664818e-12	53	8201
DHRS11	down	-0.873761012891747	0.0996620986984556	2.78764653780539e-16	-0.646223794382946	3.01241871447644e-08	-0.906617347589532	9.0128635454878e-07	-1.09655607682834	0.0	54	8200
PCNX2	up	0.812690397539315	0.0937371005892354	6.46523593585677e-16	0.519871254842985	4.79881962544255e-06	1.03459555122641	3.16425739179424e-13	0.862050158368846	1.8021723930198899e-12	55	33
PCK1	down	-1.92397587099669	0.222046462267769	6.64325152878086e-16	-1.2463852439497	2.0856462750185e-06	-2.12181336432782	1.7400703100634e-10	-2.23943874474034	8.770761894538741e-15	56	8199
RNF43	up	1.23227112231595	0.142618937612683	8.085878926258e-16	0.897928039701563	1.01267715132102e-07	1.22842317985594	6.01020059331373e-11	1.47168403849931	3.6948128137999703e-14	57	34
FZD5	down	-0.928991639944593	0.107635855090829	8.62981748541434e-16	-0.632750725795293	5.00183133578247e-06	-0.93415240955994	4.52488491120562e-10	-1.05118850547343	7.105427357601e-15	58	8198
MPC1	down	-0.899470508794422	0.104267167982469	8.807079988577601e-16	-0.630042861368928	4.32627727753321e-07	-0.85050812925031	1.3225974759834e-09	-0.941063616180502	2.18269846641306e-13	59	8197
LRRC19	down	-1.19845739062046	0.139467579284117	1.16000425640329e-15	-0.830851897370317	3.08000886573012e-07	-1.11579660298996	4.74566164143653e-10	-1.19920756023412	2.9098945475425397e-12	60	8196
TPT1	down	-0.761674707244444	0.088978887764175	1.5188351443404602e-15	-0.538645793777677	9.0312119560565e-07	-0.716779734585819	1.11645801492699e-08	-0.876117856633801	4.88498130835069e-15	61	8195
HSPA1A	down	-0.995555348797932	0.116757866771572	1.99604732403662e-15	-0.722772036181698	9.79439392922998e-08	-0.988766798409333	3.5054181779514697e-12	-1.11811533033492	6.845579658687479e-11	62	8194
NBEAL2	up	1.10170781204865	0.129234347419649	1.99604732403662e-15	0.717645691059245	6.44278613938647e-05	1.01351792057618	2.7462920339097703e-09	1.18349108686912	4.9694754877435e-14	63	35
MARCKS	down	-0.863235790914522	0.102085694959824	3.55462237235965e-15	-0.578415838506201	4.01419549955762e-05	-0.824093518263787	4.05048106166817e-10	-0.990538837351145	7.80486786311485e-14	64	8193
ZG16	down	-2.29293558973254	0.272861485869773	5.49064044533948e-15	-1.56460598192993	5.15675103501811e-05	-2.63135411751925	1.1546319456101601e-14	-1.33760106012095	0.001335557559	65	8192
TSPAN7	down	-1.24667900152209	0.14881319748251	6.735584000736281e-15	-0.901220248769379	1.00609768849402e-07	-1.32567558622516	3.73390207641933e-12	-1.19064812926781	1.25666353989473e-08	66	8191
ITGA6	up	0.749115093583753	0.0896564844092948	8.00205737461609e-15	0.463402540560034	6.02253801786675e-05	0.849372485269873	5.40753286551942e-14	0.693289553787879	1.30245259884416e-08	67	36
REG1A	up	6.45435182201207	0.777728525221508	1.26955117818773e-14	4.60942734028039	4.30617778703801e-07	6.49156540879732	1.7766318303125098e-12	7.32161826833236	3.04940989628769e-10	68	37
ABLIM2	up	0.624529591270727	0.0753703622879103	1.39376018136004e-14	0.449922849620794	1.66992590415642e-06	0.656791740808769	2.89319864085604e-13	0.714289864978525	3.75511705283696e-09	69	38
ARL6IP1	down	-1.0887587937306	0.131745896135763	1.6532980300179302e-14	-0.718122327063528	3.31334751934032e-05	-0.948458287425425	1.09795583735917e-08	-1.10786575888314	1.59350310724449e-12	70	8190
RAB11FIP3	up	0.802993534237983	0.097847867331447	2.61509631637443e-14	0.455297249020089	0.0002358855252644	1.17346687530326	2.22886640285356e-16	0.661240956427535	3.8410080624859e-07	71	39
SMTN	up	0.808735283994516	0.0985563620751036	2.61509631637443e-14	0.487557773518781	0.0006380144655627	0.852983974268556	1.32134949529992e-10	0.742764261091003	1.39486039843403e-10	72	40
CAMK2N1	down	-0.794745919557529	0.0972615190422206	3.43783560250247e-14	-0.523411291595187	1.94377724412886e-05	-0.886583021290956	1.14392273431463e-10	-0.948457777369142	2.3703261575747097e-13	73	8189
CYCS	down	-0.96306439391685	0.118103478761548	3.8981265209669e-14	-0.751512564627547	1.76484403646704e-07	-1.03941438495743	8.33588753579306e-12	-0.795253491084394	3.98389940259314e-07	74	8188
MYL12A	down	-0.976304430281766	0.122365223225019	1.6221678086859e-13	-0.712601872408516	6.13549288175363e-06	-1.0474264099792	3.33477689906658e-12	-0.78013873837494	1.43187866830097e-06	75	8187
CPT1A	down	-0.549479184101884	0.0691143815682325	2.01284258747731e-13	-0.390832425997708	5.75974664629442e-07	-0.7335707047872	9.20254428216083e-10	-0.595193047336052	1.2600920307193098e-11	76	8186
TTYH3	up	1.00959337474279	0.127039013760069	2.0382585634912e-13	0.732135524188939	1.99790679862683e-07	1.13203231650951	3.88618453733288e-12	1.05971617470108	1.61057743127164e-07	77	41
DTWD2	down	-0.680247638951043	0.086159308622378	3.05418762937111e-13	-0.549685560271906	1.40266893433605e-07	-0.553010893013019	1.49342717015166e-06	-0.730448607264428	5.99942318046942e-12	78	8185
COX6C	down	-0.740037508915188	0.0938027209552142	3.16242030382632e-13	-0.536016370291033	1.98271053886145e-06	-0.767673351441992	3.4026004236409296e-11	-0.868155559452156	6.19016504721515e-10	79	8184
ATP5PO	down	-0.707715524285052	0.0897509289343348	3.22376337872093e-13	-0.516817265990691	6.77674923554861e-06	-0.667176961441084	5.1177728721540897e-11	-0.716736259364581	1.60272114468896e-08	80	8183
FH	down	-0.845074228620209	0.107257827400431	3.3519611514216e-13	-0.632775300520512	8.36208060572829e-08	-0.86510692003937	4.2447938497502905e-09	-0.827964661294895	2.0586012894341403e-09	81	8182
SMAD6	up	0.671821348793217	0.0855203659303013	3.9860049098202397e-13	0.274518584899528	0.0114933119731531	0.736275659909899	6.50629174555335e-05	0.800248276891407	2.65171195333167e-17	82	42
IFITM2	up	1.35039768197703	0.172314823769246	4.57755885933099e-13	0.897944268701976	7.02979583968204e-05	1.28979572940158	1.23992747019434e-10	1.50505991093861	6.877185661854911e-10	83	43
SLC25A37	up	0.512573758869505	0.0654402257837767	4.67321577023887e-13	0.382298134918929	0.0012019014868972	0.478128770614971	3.3098222965912996e-12	0.498008055831177	4.59437170903812e-07	84	44
HS3ST4	down	-0.773028818028061	0.0988492100544728	5.09746723013775e-13	-0.592979825231508	6.65174922032108e-07	-0.643763236966137	3.13320647093995e-07	-0.87511810939776	7.25297599757369e-12	85	8181
PLOD1	up	0.58425603478387	0.0751050717986236	6.97780239537295e-13	0.363145150051351	9.50349878664131e-05	0.599707190372833	2.23969895485909e-06	0.676132914773188	1.2219121634702601e-14	86	45
DUT	down	-0.755497948120062	0.0971466004250489	7.02395331764074e-13	-0.576006534680707	1.96034111943355e-07	-0.604626916849728	1.42431805140175e-05	-0.876869751998592	8.102407633714389e-13	87	8180
AGAP3	up	0.754530910444279	0.0971319818206914	7.44303144260555e-13	0.321873683865107	0.0073354886621185	0.949528970061261	6.68014067756888e-13	0.849085562102574	6.93544347346915e-10	88	46
ZBTB4	up	0.57348134248291	0.0739165258104314	7.9383412375386e-13	0.448778852555326	5.02947103948507e-08	0.518626629296231	1.11159825347789e-06	0.778473991229423	5.04356171364486e-13	89	47
NDUFAB1	down	-0.700727325462223	0.0903440898393199	7.99338724698805e-13	-0.569995836733988	1.53335957264744e-08	-0.634396854369508	4.4506240248765e-08	-0.697208900776624	4.70482919290305e-09	90	8179
REG4	up	2.79818047069346	0.361140156375172	8.42117885180488e-13	1.99698684826675	2.60547144564391e-06	2.56796207204385	6.32583012691043e-08	4.13680697103093	5.9389969970782e-13	91	48
CCND3	up	0.704473029883433	0.0910572321535886	9.12475431240585e-13	0.409790720454051	2.14039524062697e-05	1.52520184585223	1.10245874851394e-18	0.919850971286092	5.56320756785831e-10	92	49
RNF24	up	0.945589129574533	0.122466950800639	1.0188686139672499e-12	0.568883868080697	0.0019272395149582	0.925775505423939	5.23674362801726e-10	1.09620210704994	1.81757912402256e-10	93	50
LINC-PINT	up	1.18600130886576	0.153649569300281	1.02643544264452e-12	0.851290395152145	2.04678372614667e-05	1.08829865456765	8.06983223732883e-12	1.27381681085645	5.32346034005083e-06	94	51
CHD3	up	0.546421183709276	0.0708262520330426	1.0473304558668999e-12	0.285186829748939	0.0062761122092797	0.603030524692088	4.812984076566e-06	0.541871991884478	1.96893804165047e-13	95	52
TTL	up	0.623434002347345	0.0808314477144265	1.05434477171999e-12	0.445737965842869	1.51151620342109e-06	0.619169148298039	1.8572498934624e-06	0.779230784696715	5.87967189236029e-14	96	53
EPHB3	up	1.45379374317603	0.188662436061487	1.10206246858218e-12	0.78246189417143	0.0034318201215363	1.589934451568	6.8668369614342696e-12	1.15816489015876	5.57291077533025e-06	97	54
GHITM	down	-0.860069099802707	0.111731544850553	1.16271161085989e-12	-0.6506128431043	9.94673572285443e-07	-0.759736732328337	5.438778871713621e-09	-0.831163707275194	8.066568524256471e-09	98	8178
PDLIM1	down	-0.584582772484143	0.0762051584245221	1.41528793961786e-12	-0.419309766054097	6.45848379499103e-06	-0.574156725186471	4.52741188983197e-09	-0.644279301189205	1.80510828506897e-10	99	8177
WWC1	up	0.61139663712721	0.0797181743060588	1.41976834841629e-12	0.455265324011127	3.22976768717121e-07	0.607408070144035	6.16937240165812e-07	0.755800920020477	1.1623359940062e-12	100	55
GDF15	up	1.21716720627674	0.158732361492858	1.42145907636773e-12	0.743661781653161	0.0006966725154867	1.12674340499121	1.00584252462446e-06	1.33990438120572	7.34300582961168e-13	101	56
PPM1H	up	0.709560243056364	0.0928033670150834	1.67302303426414e-12	0.571481513045248	4.37784560025431e-09	0.662749602573152	2.94265520581853e-07	0.825166454475783	1.0198781249744e-09	102	57
CUEDC1	up	0.837356886186981	0.109595510369025	1.7243420001856e-12	0.629170795113156	1.53536322255829e-07	0.817521168368999	6.63826205619398e-08	1.00483982944462	2.8008148311501597e-11	103	58
ME1	up	1.16919959272059	0.153047457470526	1.7243420001856e-12	0.579660469337075	0.0044424556532474	0.861794072940618	0.0010762943853893	1.53585322458082	8.51972490153232e-16	104	59
ATP5F1C	down	-0.604661283277544	0.0793257168580645	1.94786539483632e-12	-0.448504677506341	9.15737747952949e-06	-0.49816610164547	8.04324068570672e-07	-0.711130879411887	2.83872925166406e-12	105	8176
EPHB4	up	0.852738121007544	0.112177876608415	2.26740714982589e-12	0.412723855785139	0.0060039387418915	1.28965003870891	1.00249602188424e-16	0.529822309548906	0.0010880271876333	106	60
DACH1	up	0.795273740431136	0.104669637663554	2.31170863920269e-12	0.616634624661798	2.55830203328089e-08	0.790022013163765	1.7436035124783702e-09	0.872340123573086	1.6485519851396e-07	107	61
LYN	up	0.593707854745484	0.0783010999588244	2.58277092064901e-12	0.416306243872813	4.660978800936e-06	0.531022612415476	2.08847480745833e-05	0.699422652560007	2.04651621214427e-13	108	62
ASRGL1	up	0.771226947254535	0.101867134558765	2.7952731568904697e-12	0.459389991802612	0.0001288741634534	0.993037659406748	9.00283930753703e-12	0.980291971820629	7.92691065860356e-11	109	63
TMEM171	down	-0.838956520764345	0.110865242874319	2.84673328363262e-12	-0.671989725776843	1.06007093103599e-06	-0.643999154967306	1.85637282494877e-05	-0.825871513282287	4.0357828190451496e-11	110	8175
MAPK8IP3	up	0.795049269724932	0.105330153915807	3.2694179738719398e-12	0.583259583508298	2.24878373771529e-06	0.840863686784148	5.2004089414572095e-11	0.940759473966269	1.61335500440758e-08	111	64
ATP5PD	down	-0.541877623979731	0.0718767971610574	3.4768023720436998e-12	-0.461581315353968	2.28438407523512e-07	-0.510022813229714	4.0598646666723e-10	-0.517432834235599	1.28785382746965e-06	112	8174
ENSG00000236449	down	-0.770108098251019	0.102266360559273	3.67976684289503e-12	-0.556936593625491	1.52567405120596e-06	-0.760496019724656	1.6053361973078501e-09	-0.795513590818739	1.59482461681293e-08	113	8173
KLHL29	up	1.06547784042641	0.141573673810912	3.7740349942780095e-12	0.838318854358942	1.6551775753982402e-09	1.11225442447567	1.23903124153182e-08	1.25570646099297	1.76617412405436e-07	114	65
NDUFA12	down	-0.618253618112802	0.0821897697443247	3.84838392558991e-12	-0.452829573679777	2.99630950145735e-05	-0.585003903712331	1.0739273914595101e-09	-0.600937161700599	1.63787210460953e-08	115	8172
GPX2	up	0.958431999614531	0.127659866526429	4.2646535680070996e-12	0.40319946053873	0.0171103108305125	1.27605021842105	1.27324105882741e-14	0.66849883828706	0.000342939903275	116	66
PLEKHB2	down	-0.586844125161359	0.0782697718784639	4.56314076696011e-12	-0.360008748025017	0.00164670970364	-0.809633266028735	4.73288075397704e-13	-0.438610206999065	2.04818604154777e-06	117	8171
ST3GAL2	up	0.758731485433781	0.10125784536518	4.68765771526509e-12	0.601281224711419	2.61718977589617e-07	0.905313749022737	5.92612712518963e-09	0.661478588436466	5.13428702599003e-08	118	67
CCDC88B	up	1.16254624070139	0.155321210164671	4.950771455929689e-12	0.887114389112339	3.88639875552971e-09	1.13603252497462	6.17425751950124e-08	1.28002253558225	1.1707948000102e-07	119	68
SPCS2	down	-0.75697333470915	0.101185079522431	5.05017203454163e-12	-0.537712561579632	2.7975669336433e-05	-0.699102273267038	9.63378254947855e-09	-0.931695532723537	9.09285979844299e-11	120	8170
MSI2	up	0.626256492278859	0.0841282489054478	6.6332220069186794e-12	0.418265545710922	1.62990660691539e-05	0.735451918327633	1.17726950304732e-10	0.659366154857695	1.12124121510206e-08	121	69
SMAD9	up	0.947006490036963	0.127515947247475	7.50991090907106e-12	0.594364267036947	0.0002612629401742	0.978578272877294	3.5587223435261797e-12	0.902085917259962	5.11342686457519e-05	122	70
RUNX1	up	0.590810920390693	0.0796348016562115	7.887097454393689e-12	0.315620739560613	0.0003645544708209	0.963879803289801	1.2792503571782801e-14	0.642885959474788	3.236529817239e-08	123	71
GRINA	up	0.937891831641245	0.126577047460428	8.315706623964689e-12	0.581717446485471	0.00042853455001	0.832916086799578	8.76037856635867e-06	1.01276558159266	1.9466194256836996e-12	124	72
STBD1	down	-0.918109401895796	0.123914277215334	8.315706623964689e-12	-0.63122268274627	9.10849262947266e-06	-0.967945334795755	2.58337573555423e-10	-0.85822091532915	4.54738302790858e-07	125	8169
HM13	up	0.454189413276513	0.0613040817603401	8.315706623964689e-12	0.262887419421832	0.0013327609319539	0.475800444662106	7.52184644726496e-10	0.500897540872081	8.775089617366501e-10	126	73
NR5A2	down	-0.523733075497614	0.0707430278586826	8.5979978289875e-12	-0.138000748377468	0.0409792548811436	-0.729945685117786	0.0001372448709064	-1.31544007819917	1.11022302462516e-16	127	8168
CNTN4	down	-1.36765446416826	0.185280332519993	1.00493518955857e-11	-0.927404524622184	1.19224652841421e-05	-1.18058105224157	2.30292832759105e-06	-1.53481050857539	1.8997137196663497e-11	128	8167
KLF4	down	-1.01562990416973	0.138027275563944	1.17895999744184e-11	-0.638894179489831	0.0002622821261475	-1.00397141045435	3.69595465343764e-11	-0.914704739897076	1.62680556420325e-05	130	8166
SUCLG1	down	-0.490797022139306	0.066747840730504	1.21622913633875e-11	-0.448898968827811	1.0334207933837501e-09	-0.336589159134074	0.0002551558906789	-0.731862424254781	1.75687242531808e-11	131	8165
FOXA1	down	-1.12312539328555	0.152989783285202	1.3186006229020698e-11	-0.728970238565264	0.0001127201575222	-0.934909094446784	0.0001311622289248	-1.36329889241686	3.20965476419133e-13	132	8164
PRDX6	down	-0.924076756997789	0.126176448622773	1.4912143930923298e-11	-0.670416920683775	4.00001471052569e-05	-0.737425463371884	1.40968411266318e-06	-0.961949112246031	2.33561725515585e-10	133	8163
PKIB	down	-1.06781403443604	0.145903308034682	1.5367958580470003e-11	-0.813750547766231	2.45167973478289e-07	-1.24585911439232	8.39940839103548e-09	-1.36743669163923	7.440847937800749e-11	134	8162
HSD17B11	down	-0.631985262581884	0.0865540948305104	1.73140108492385e-11	-0.401268391934493	0.0001933484584603	-0.510831297532805	7.06106073056212e-06	-0.870576139379784	7.52731210695856e-14	135	8161
RMND5A	down	-0.749521366143798	0.102688112789892	1.7523840590292197e-11	-0.523759061035112	1.82640346763074e-05	-0.687363966248858	6.15109961854543e-08	-0.795888865097692	9.98940263841064e-10	136	8160
TMED7	down	-1.06883073001229	0.146694451391006	1.9145421945393898e-11	-0.672810980684389	0.0006217890531553	-1.04286618549795	1.10640074324486e-07	-1.24034301592734	3.55110385541479e-11	137	8159
LRSAM1	up	0.674450879011359	0.0925878649912638	1.92422502126017e-11	0.519490694738601	3.7102271212235e-07	0.524754087355669	0.0001075713413093	0.816321346833198	9.56574800943792e-12	138	75
TBC1D16	up	0.634763335009532	0.0871744825996857	1.95212056723955e-11	0.359627062133757	0.0021335119824516	0.657879703231921	1.83754567629687e-10	0.696384250561156	1.51016963747406e-08	139	76
SLC25A5	down	-0.680508066205169	0.0935976253299297	2.1020764226058898e-11	-0.583186839413797	2.49675929597792e-07	-0.586459145799983	7.6502304957593e-07	-0.615720930257197	1.56824763175578e-08	140	8158
NXPE4	down	-0.88037349380791	0.121191149129741	2.18567259066287e-11	-0.586777316242217	0.000360727068181	-0.532322553896773	0.0009143516526645	-1.30460281026343	5.55111512312578e-15	141	8157
TUSC1	down	-0.872123571814778	0.120280940475777	2.40005764025345e-11	-0.675224950475097	8.19542450569699e-08	-0.889079971130179	3.98508527288399e-08	-1.06971631899383	3.55681439856426e-09	142	8156
