cell_type	route	n_cells	n_donors	epithelial_positive_fraction	immune_positive_fraction	stromal_positive_fraction	endothelial_positive_fraction	any_nonepithelial_positive_fraction
ABS	conventional_adenoma	8236	14	0.994414764448762	0.0398251578436134	0.0168771248178728	0.0781932977173385	0.129431762991744
GOB	conventional_adenoma	3908	14	0.990276356192426	0.0660184237461617	0.0268679631525077	0.0857215967246674	0.166581371545548
TAC	conventional_adenoma	1542	14	0.972762645914397	0.049935149156939	0.0415045395590143	0.0979247730220493	0.169909208819715
ABS	normal	18391	24	0.998531890598662	0.0378445979011473	0.0257191017345441	0.0899896688597684	0.145505953999239
GOB	normal	5178	24	0.99903437620703	0.0488605639242951	0.0198918501351873	0.0679799150251062	0.129779837775203
TAC	normal	3077	24	0.991875203119922	0.0341241468963276	0.0321741956451089	0.0896977575560611	0.146246343841404
