specimen_id	donor_id	route	cell_type	n_cells	epithelial_positive_fraction	immune_positive_fraction	stromal_positive_fraction	endothelial_positive_fraction	any_nonepithelial_positive_fraction	INPP5D_positive_fraction	INPP5D_mean_raw_count	TIMP1_positive_fraction	TIMP1_mean_raw_count	S100P_positive_fraction	S100P_mean_raw_count	LCN2_positive_fraction	LCN2_mean_raw_count
HTA11_104_2000001011	HTA11_104	conventional_adenoma	ABS	46	1	0	0	0.130434782608696	0.130434782608696	0.130434782608696	0.195652173913043	0.0217391304347826	0.0217391304347826	0.369565217391304	1.06521739130435	0.260869565217391	0.326086956521739
HTA11_104_2000001011	HTA11_104	conventional_adenoma	GOB	2	1	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0
HTA11_104_2000001011	HTA11_104	conventional_adenoma	TAC	5	1	0	0.2	0.2	0.2	0.2	0.2	0.2	1.2	1	7.6	0.4	0.6
HTA11_104_2000002011	HTA11_104	normal	ABS	547	1	0.0457038391224863	0.0182815356489945	0.0987202925045704	0.153564899451554	0.0274223034734918	0.0347349177330896	0.0146252285191956	0.0146252285191956	0.0585009140767824	0.0749542961608775	0.193784277879342	0.356489945155393
HTA11_104_2000002011	HTA11_104	normal	GOB	332	1	0.0692771084337349	0.0120481927710843	0.0873493975903614	0.159638554216867	0.0150602409638554	0.0150602409638554	0.0240963855421687	0.0301204819277108	0.268072289156627	0.689759036144578	0.0271084337349398	0.036144578313253
HTA11_104_2000002011	HTA11_104	normal	TAC	59	1	0.0169491525423729	0.0338983050847458	0.152542372881356	0.203389830508475	0.0169491525423729	0.0169491525423729	0	0	0.11864406779661	0.11864406779661	0.254237288135593	0.542372881355932
HTA11_104_2000002021	HTA11_104	normal	ABS	296	0.996621621621622	0.0439189189189189	0.0101351351351351	0.135135135135135	0.182432432432432	0.0540540540540541	0.0574324324324324	0.00675675675675676	0.00675675675675676	0.0236486486486486	0.027027027027027	0.0675675675675676	0.10472972972973
HTA11_104_2000002021	HTA11_104	normal	GOB	44	0.977272727272727	0.0454545454545455	0	0.136363636363636	0.181818181818182	0	0	0.0454545454545455	0.0909090909090909	0.204545454545455	0.363636363636364	0	0
HTA11_104_2000002021	HTA11_104	normal	TAC	16	0.9375	0.125	0.0625	0.125	0.25	0	0	0	0	0	0	0.1875	0.1875
HTA11_1391_2000001011	HTA11_1391	conventional_adenoma	ABS	56	0.946428571428571	0.0714285714285714	0.0178571428571429	0.0535714285714286	0.142857142857143	0.0892857142857143	0.125	0.0714285714285714	0.0714285714285714	0.375	0.928571428571429	0.625	1.64285714285714
