gene	cell_type	route	n_cells	positive_fraction	mean_raw_count
EPCAM	ABS	conventional_adenoma	8236	0.827829043224866	3.41282175813502
EPCAM	GOB	conventional_adenoma	3908	0.687052200614125	1.74411463664278
EPCAM	TAC	conventional_adenoma	1542	0.791180285343709	3.47146562905318
EPCAM	ABS	normal	18391	0.908814093850253	5.70099505192757
EPCAM	GOB	normal	5178	0.815179606025492	2.95558130552337
EPCAM	TAC	normal	3077	0.900877478063048	5.5310367240819
KRT8	ABS	conventional_adenoma	8236	0.934191355026712	8.67132102962603
KRT8	GOB	conventional_adenoma	3908	0.89431934493347	4.87615148413511
KRT8	TAC	conventional_adenoma	1542	0.85538261997406	4.91439688715953
KRT8	ABS	normal	18391	0.97069218639552	13.5869718884237
KRT8	GOB	normal	5178	0.976245654692932	9.17458478176902
KRT8	TAC	normal	3077	0.87292817679558	3.98472538186545
KRT18	ABS	conventional_adenoma	8236	0.78812530354541	2.75012141816416
KRT18	GOB	conventional_adenoma	3908	0.835209825997953	3.67451381780962
KRT18	TAC	conventional_adenoma	1542	0.749675745784695	3.61738002594034
KRT18	ABS	normal	18391	0.809907019737915	3.03751835136752
KRT18	GOB	normal	5178	0.92661259173426	4.8020471224411
KRT18	TAC	normal	3077	0.656483587910302	1.67468313292168
KRT19	ABS	conventional_adenoma	8236	0.886231180184556	9.17435648372997
KRT19	GOB	conventional_adenoma	3908	0.696008188331627	2.95010235414534
KRT19	TAC	conventional_adenoma	1542	0.770428015564202	3.59079118028534
KRT19	ABS	normal	18391	0.912185308031102	11.6193246696754
KRT19	GOB	normal	5178	0.85032831208961	3.9092313634608
KRT19	TAC	normal	3077	0.721806954826129	2.43451413714657
KRT20	ABS	conventional_adenoma	8236	0.431398737251093	2.11911121903837
KRT20	GOB	conventional_adenoma	3908	0.275844421699079	0.581883316274309
KRT20	TAC	conventional_adenoma	1542	0.186121919584955	0.339818417639429
KRT20	ABS	normal	18391	0.591049970094068	4.37572725789788
KRT20	GOB	normal	5178	0.609694862881421	2.52838933951333
KRT20	TAC	normal	3077	0.221644458888528	0.353591160220994
PTPRC	ABS	conventional_adenoma	8236	0.00716367168528412	0.00752792617775619
PTPRC	GOB	conventional_adenoma	3908	0.0230296827021494	0.0232855680655067
PTPRC	TAC	conventional_adenoma	1542	0.0142671854734112	0.0149156939040208
PTPRC	ABS	normal	18391	0.00951552389755859	0.010113642542548
PTPRC	GOB	normal	5178	0.0287755890305137	0.0308999613750483
PTPRC	TAC	normal	3077	0.0064998375040624	0.0064998375040624
LST1	ABS	conventional_adenoma	8236	0.00182127246236037	0.00206410879067509
LST1	GOB	conventional_adenoma	3908	0.00204708290685773	0.00230296827021494
LST1	TAC	conventional_adenoma	1542	0.00194552529182879	0.00194552529182879
LST1	ABS	normal	18391	0.000598118644989397	0.000598118644989397
LST1	GOB	normal	5178	0.000579374275782155	0.000579374275782155
LST1	TAC	normal	3077	0	0
TYROBP	ABS	conventional_adenoma	8236	0.00959203496843128	0.0100777076250607
TYROBP	GOB	conventional_adenoma	3908	0.00946775844421699	0.0102354145342886
TYROBP	TAC	conventional_adenoma	1542	0.0110246433203632	0.0110246433203632
TYROBP	ABS	normal	18391	0.00946114947528683	0.00973302158664564
TYROBP	GOB	normal	5178	0.00444186944766319	0.00444186944766319
TYROBP	TAC	normal	3077	0.0048748781280468	0.00552486187845304
FCER1G	ABS	conventional_adenoma	8236	0.0109276347741622	0.0112918892666343
