row_id	donor_id	route_group	full_core_score	panel_k1	panel_k2	panel_k3	panel_k4	panel_k5	panel_k6	panel_k7	panel_k8	panel_k9	panel_k10	panel_k11	panel_k12	panel_k13	panel_k14	panel_k15	panel_k16	panel_k17	panel_k18	panel_k19	panel_k20	panel_k21	panel_k22	panel_k23	panel_k24	panel_k25	panel_k26	panel_k27	panel_k28	panel_k29	panel_k30
1	HTA11_104	normal	-0.520966254465946	-1.25782820379932	-0.561610928735451	-0.397458326763339	-0.301669467871998	-0.304667850584891	-0.265038722177734	-0.269868630073122	-0.513928362640671	-0.521314547699125	-0.443868754700381	-0.482650979126494	-0.388921886320913	-0.42168734451949	-0.455570333072318	-0.466589207525161	-0.479405179639709	-0.527243649264874	-0.538117447395405	-0.535182203756917	-0.563179311566643	-0.559148312124434	-0.59709957819046	-0.568984845584654	-0.595709717266491	-0.619873369995473	-0.670961638110353	-0.646831982468348	-0.685445357099141	-0.682673071665826	-0.68619231906726
2	HTA11_1391	conventional_adenoma	4.03687027925146	3.18261748239607	2.91969401350351	3.32598866896079	4.2247878431095	6.234966273051	5.9334714419871	5.56739808727928	5.3004493897278	5.38914465038114	5.41465255404866	5.41459993176446	5.41806309342139	5.21491904534602	5.16875747234884	4.92033801564249	4.69138818574798	4.77587636079535	4.60510805029624	4.63424961909274	4.83507235350494	4.76166246241928	4.73863115464941	4.76824240799886	4.74505519429448	4.94630459925209	4.95334870772138	5.06767241481831	5.13416009309859	5.21482924597249	5.18815056592846
3	HTA11_1938	conventional_adenoma	1.90654553358801	2.99984336855578	3.20618275523021	3.28825473516626	2.62652833525663	2.62638960359035	2.55782878977588	2.35928678527958	2.51237683202634	2.42831373040393	2.26351921987962	2.17442319671424	2.271263695058	2.3209986896727	2.29156264014806	2.29486613690463	2.30153880953301	2.33278123699418	2.37527288365203	2.31389782951536	2.29346298165973	2.31428114150025	2.28645482550552	2.28135959977338	2.40004272604609	2.38429615861705	2.3874876701083	2.42216316894537	2.46058158529934	2.48396903448926	2.47475292586725
4	HTA11_1938	normal	-0.867967136545272	0.176108128526157	-0.589402674754117	-0.716765105546818	-0.785214848932775	-0.829769437841541	-0.726607755161617	-0.695355831179367	-0.827255762478093	-0.982329949283614	-0.944813231768616	-1.03437862364962	-1.00769816245335	-0.985346661327358	-1.05924092835076	-1.03133607650049	-1.01637139282972	-0.95672376947056	-0.98793830310657	-1.05215487323808	-1.00185745834638	-1.04842472656648	-0.98796194883504	-0.979722326328491	-0.860421516236991	-0.85516256241493	-0.95955018698643	-0.979570544207234	-0.962530223151259	-0.990727457085352	-0.966119888012588
5	HTA11_2112	normal	-1.52302350904302	-0.492096697819732	-0.990476936318787	-0.829675835378801	-0.820931408577383	-0.884402567070403	-0.952165702785141	-1.2126189447352	-1.19303338474158	-1.31144367458655	-1.29345799124482	-1.22795449333407	-1.26365886740093	-1.25714765632543	-1.15269955152295	-1.27699195881282	-1.19731404393024	-1.34142482066426	-1.37663350122774	-1.29655398279419	-1.34660320065399	-1.28224548195126	-1.28757749859219	-1.31495274685921	-1.36700301231988	-1.35533266036935	-1.33327050638689	-1.37900382395248	-1.46701928566528	-1.5013994003527	-1.5322459216925
6	HTA11_2235	conventional_adenoma	3.33329797994452	3.22227503209442	3.04452924990243	3.76280193147127	3.76873616207597	3.56488473765798	3.5484063077942	3.635716630588	3.36631763824568	3.3792913924176	3.26803793221118	3.14146594336628	3.07088611950523	3.68337211268679	3.59614549297923	3.48204968038595	3.37040087824954	3.56326505418642	3.44101671917062	3.4135564960193	3.48825849260813	3.41418888124005	3.62435337599185	3.58964127628212	3.57768769789372	3.55334311645244	3.49117155417621	3.44540667977728	3.42378992143635	3.41134904990602	3.4132479867407
7	HTA11_2235	normal	-0.479804451208949	0.0668214797575681	-0.276097073806561	-0.194974247201955	-0.240616353804918	-0.193398126747908	-0.249444455115247	-0.328081076370577	-0.439156289483176	-0.338567773346997	-0.355236428855213	-0.441964220235835	-0.479707930444605	-0.439314802866586	-0.417490695075209	-0.505900717848439	-0.485996102425863	-0.466947346004094	-0.514026684245143	-0.479320954159332	-0.464306309155065	-0.486015307125477	-0.447391456040626	-0.409130027718674	-0.366207163319985	-0.34538345292172	-0.342493164579413	-0.346635172210511	-0.307735724961517	-0.276028372833606	-0.267044374186165
8	HTA11_2487	normal	-1.03959503149172	-0.68460062302993	-1.46273737895658	-1.1491056933094	-1.3191317834707	-1.32603998733191	-1.12154816257652	-1.15680318491936	-1.27248923966821	-1.19875968528206	-1.18104635954027	-1.15029483477768	-1.20340492099459	-1.12561051832048	-1.08493098722617	-1.11326259584341	-1.12110452932262	-1.1235453076195	-1.06739994688617	-1.12333358768621	-1.10045311485565	-1.11860173060259	-1.11000489802332	-1.11667099675491	-1.1164440749517	-1.09340156683432	-1.10339949993475	-1.10591702509009	-1.0937388985511	-1.0770362019707	-1.05753776391456
9	HTA11_2951	conventional_adenoma	2.89939390329134	2.7608072302933	2.12854690831322	3.111150405711	3.8605136040297	3.50627642759517	3.26950162582104	3.06034564402178	3.05868303790689	3.21592844430762	3.42524105965968	3.38018294964326	3.25144014361774	3.09108493848168	3.10890018737267	3.06749784911848	3.02617718745462	3.02637998660325	3.0687048600032	3.39330347944138	3.38021604577113	3.31933207671277	3.22074022080235	3.20561003571585	3.2238018895153	3.19907427977997	3.17299268360555	3.16614990141152	3.12626947386479	3.09251967940548	3.09045192358866
10	HTA11_2951	normal	-0.962209021229306	-0.310828026193839	-1.29294019093752	-1.19403319635645	-1.27550200934124	-1.3109284113099	-1.14377331720462	-1.22096994093082	-1.14586189533953	-1.08351974525545	-1.21599432866476	-1.10822897762321	-1.05737025011283	-1.09105348985581	-1.11815312598052	-1.14273160473124	-1.1967432589133	-1.19187534731955	-1.18567509333518	-1.17621782953751	-1.15247799220699	-1.10463935202312	-1.09586786649061	-1.01878798605352	-1.01289088909607	-0.981531922538593	-1.00731386946392	-1.02350666907083	-1.00725906996659	-1.03621292622511	-1.01169178039646
