gene	arm	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
LGR5	up	0.40934629716739	0.0029378217143831	1.0	0.222023676335812	0.651624126732349	8549	protein-coding	O	LGR5	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CD9	down	-0.402597269424247	0.0029378217143831	1.0	-0.558650772273541	-0.232245069742203	928	protein-coding	O	CD9	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
NDUFA1	down	-0.371032488348176	0.0029378217143831	1.0	-0.537586969137192	-0.209964857250452	4694	protein-coding	O	NDUFA1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
MPC2	down	-0.321920039008881	0.0029378217143831	1.0	-0.440761461853981	-0.171229625120759	25874	protein-coding	O	MPC2	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
TSPAN7	down	-0.292016248576254	0.0029378217143831	1.0	-0.397380041331053	-0.139560733735561	7102	protein-coding	O	TSPAN7	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
LTBP1	up	0.287655363604438	0.0029378217143831	1.0	0.153550054877996	0.432193172723055	4052	protein-coding	O	LTBP1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
MOCS1	down	-0.140565696009852	0.0029378217143831	1.0	-0.187371487542987	-0.0919791802763939	4337	protein-coding	O	MOCS1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
AKR1B1	down	-0.0899357011485221	0.0029378217143831	1.0	-0.120263571664691	-0.0623923714272678	231	protein-coding	O	AKR1B1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
BSG	down	-0.536109044864917	0.0032028747473298	1.0	-0.739563666284084	-0.376542319357395	682	protein-coding	O	BSG	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
ARF3	down	-0.324937973862035	0.0032028747473298	1.0	-0.460454646497965	-0.187244072556496	377	protein-coding	O	ARF3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
CALM1	down	-0.376069526361208	0.0036714071616723	1.0	-0.546006432175636	-0.180501568317413	801	protein-coding	O	CALM1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
LRRC36	up	0.26957177354012	0.0036714071616723	1.0	0.122895560972393	0.426635754108429	55282	protein-coding	O	LRRC36	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
ZNF503	up	0.239039409921495	0.0036714071616723	1.0	0.122415625862777	0.391752018034458	84858	protein-coding	O	ZNF503	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CTTNBP2	up	0.156998746991709	0.0036714071616723	1.0	0.0876121491193771	0.24424133785069	83992	protein-coding	O	CTTNBP2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
