gene	platform	feature_present	eligibility_information
LGALS3	GSE8671	True	feature availability only; labels not accessed
SRI	GSE8671	True	feature availability only; labels not accessed
RNF43	GSE8671	True	feature availability only; labels not accessed
IL27RA	GSE8671	False	feature availability only; labels not accessed
SOX4	GSE8671	True	feature availability only; labels not accessed
ASCL2	GSE8671	True	feature availability only; labels not accessed
CHP2	GSE8671	True	feature availability only; labels not accessed
SLC6A6	GSE8671	True	feature availability only; labels not accessed
ATP5MC3	GSE8671	False	feature availability only; labels not accessed
LHFPL7	GSE8671	False	feature availability only; labels not accessed
C15orf48	GSE8671	True	feature availability only; labels not accessed
TMEM171	GSE8671	False	feature availability only; labels not accessed
CYP4X1	GSE8671	True	feature availability only; labels not accessed
CNTN4-AS1	GSE8671	False	feature availability only; labels not accessed
FABP1	GSE8671	True	feature availability only; labels not accessed
LGALS4	GSE8671	True	feature availability only; labels not accessed
CEMIP	GSE8671	True	feature availability only; labels not accessed
ZNRF3	GSE8671	True	feature availability only; labels not accessed
AXIN2	GSE8671	True	feature availability only; labels not accessed
CYCS	GSE8671	True	feature availability only; labels not accessed
DPEP1	GSE8671	True	feature availability only; labels not accessed
SDC3	GSE8671	True	feature availability only; labels not accessed
DHRS11	GSE8671	True	feature availability only; labels not accessed
CA2	GSE8671	True	feature availability only; labels not accessed
EPHB3	GSE8671	True	feature availability only; labels not accessed
COX5A	GSE8671	True	feature availability only; labels not accessed
LGR5	GSE8671	True	feature availability only; labels not accessed
CD9	GSE8671	True	feature availability only; labels not accessed
NDUFA1	GSE8671	True	feature availability only; labels not accessed
MPC2	GSE8671	False	feature availability only; labels not accessed
TSPAN7	GSE8671	False	feature availability only; labels not accessed
LTBP1	GSE8671	True	feature availability only; labels not accessed
MOCS1	GSE8671	False	feature availability only; labels not accessed
AKR1B1	GSE8671	False	feature availability only; labels not accessed
BSG	GSE8671	True	feature availability only; labels not accessed
ARF3	GSE8671	False	feature availability only; labels not accessed
CALM1	GSE8671	True	feature availability only; labels not accessed
LRRC36	GSE8671	True	feature availability only; labels not accessed
ZNF503	GSE8671	True	feature availability only; labels not accessed
CTTNBP2	GSE8671	False	feature availability only; labels not accessed
STBD1	GSE8671	False	feature availability only; labels not accessed
SLC25A5	GSE8671	True	feature availability only; labels not accessed
NDRG1	GSE8671	True	feature availability only; labels not accessed
ZNF703	GSE8671	True	feature availability only; labels not accessed
SQOR	GSE8671	False	feature availability only; labels not accessed
HSPA1A	GSE8671	True	feature availability only; labels not accessed
TMEM158	GSE8671	False	feature availability only; labels not accessed
APLP2	GSE8671	False	feature availability only; labels not accessed
NDUFAB1	GSE8671	False	feature availability only; labels not accessed
IMPA2	GSE8671	False	feature availability only; labels not accessed
