pair_step	up_gene	down_gene	training_correlation	held_out_donor
20	NKD1	CHP2	0.997509918064679	HTA11_2112
21	SDC3	CALM1	0.997347317634634	HTA11_2112
22	LRRC36	PRDX6	0.997135940595061	HTA11_2112
23	RNF43	FCGRT	0.996920458295345	HTA11_2112
24	ZNF703	ACAA2	0.996643069886339	HTA11_2112
25	EPHB3	LGALS3	0.996344501587346	HTA11_2112
26	GRIN2B	PKIB	0.995672744726301	HTA11_2112
27	MSX2	ITM2C	0.994837696568367	HTA11_2112
28	TBX3	PCK1	0.993826083484471	HTA11_2112
29	OLFM4	BSG	0.992614295998631	HTA11_2112
30	ENC1	FABP1	0.991166087737789	HTA11_2112
1	SOX4	COX5A	0.95689541349608	HTA11_2235
2	ZNF503	CHP2	0.981807947961824	HTA11_2235
3	LTBP1	CAMK2N1	0.987059409300422	HTA11_2235
4	DPEP1	ACAA2	0.991735787325466	HTA11_2235
5	TBX3	CYCS	0.994253799788582	HTA11_2235
6	SLC7A5	LGALS4	0.994872406616305	HTA11_2235
7	ASCL2	B2M	0.995872317482974	HTA11_2235
8	L1TD1	TPT1	0.995626235212381	HTA11_2235
9	SEMA3F	BSG	0.996410577350177	HTA11_2235
10	TRIP6	UGT2A3	0.997216264306913	HTA11_2235
11	DAB2	CD9	0.997180113980506	HTA11_2235
12	SLC6A6	MYL6	0.997747077431376	HTA11_2235
13	APCDD1	SRI	0.997775993845938	HTA11_2235
14	SDC3	LRRC19	0.997650393221039	HTA11_2235
15	CPNE7	NDUFA1	0.997626671757133	HTA11_2235
16	LGR5	CALM1	0.99758999278074	HTA11_2235
17	LRRC36	NDRG1	0.997428160324583	HTA11_2235
18	CLDN2	COX6C	0.997297628410926	HTA11_2235
19	RNF43	PCK1	0.997250302060659	HTA11_2235
20	CYP4X1	ETHE1	0.997084635444509	HTA11_2235
21	SLC40A1	CALM2	0.997103690080715	HTA11_2235
22	NKD1	CA2	0.99683838746609	HTA11_2235
23	ZNF703	FCGRT	0.996649325446417	HTA11_2235
24	GDF15	HSPA1A	0.996280800773554	HTA11_2235
25	EPHB3	C15orf48	0.995874170111071	HTA11_2235
26	MSX2	LGALS3	0.995276683685668	HTA11_2235
27	GRIN2B	PRDX6	0.994551631676585	HTA11_2235
28	ENC1	PKIB	0.993656017749733	HTA11_2235
29	OLFM4	ITM2C	0.992624607688001	HTA11_2235
30	AXIN2	FABP1	0.991387426635528	HTA11_2235
1	ASCL2	LGALS3	0.958538077130194	HTA11_2487
2	SOX4	COX6C	0.979554786019127	HTA11_2487
3	SLC7A5	NDUFA1	0.988722575328564	HTA11_2487
4	AXIN2	CYCS	0.991863841926488	HTA11_2487
5	SDC3	LRRC19	0.993036465393724	HTA11_2487
6	DPEP1	ETHE1	0.994857633207083	HTA11_2487
7	ZNF503	TPT1	0.995967311913977	HTA11_2487
8	LTBP1	CA2	0.996396898050032	HTA11_2487
9	L1TD1	CAMK2N1	0.996690995023218	HTA11_2487
10	SLC40A1	B2M	0.996727960798128	HTA11_2487
11	SLC6A6	NDRG1	0.996978894808136	HTA11_2487
12	APCDD1	CD9	0.997225365877269	HTA11_2487
13	LGR5	MYL6	0.997566333856224	HTA11_2487
14	CPNE7	CHP2	0.99763707924672	HTA11_2487
15	DAB2	UGT2A3	0.99782164162827	HTA11_2487
16	CYP4X1	SRI	0.997655053357686	HTA11_2487
17	TRIP6	COX5A	0.997495571414503	HTA11_2487
18	NKD1	TST	0.99746998461773	HTA11_2487
19	RNF43	CALM2	0.997257908605672	HTA11_2487
20	CLDN2	PCK1	0.997154270947852	HTA11_2487
21	LRRC36	ACAA2	0.997064420905823	HTA11_2487
22	SEMA3F	LGALS4	0.996954125996783	HTA11_2487
23	EPHB3	CALM1	0.99675732823341	HTA11_2487
24	ZNF703	FCGRT	0.996485294963188	HTA11_2487
25	GDF15	HSPA1A	0.996035690218973	HTA11_2487
26	GRIN2B	PRDX6	0.995383990661388	HTA11_2487
27	MSX2	C15orf48	0.99450016809445	HTA11_2487
28	TBX3	PKIB	0.993594197104235	HTA11_2487
29	OLFM4	ITM2C	0.992533986826992	HTA11_2487
30	ENC1	FABP1	0.991188671276694	HTA11_2487
1	CYP4X1	CHP2	0.957949937698955	HTA11_2951
2	DAB2	CALM2	0.982687265273323	HTA11_2951
3	SLC6A6	SRI	0.986818518414025	HTA11_2951
4	DPEP1	LGALS4	0.989890211086169	HTA11_2951
5	LTBP1	CYCS	0.991841370938821	HTA11_2951
6	TRIP6	ACAA2	0.99436131557983	HTA11_2951
7	LGR5	TPT1	0.994737560697115	HTA11_2951
8	SOX4	CA2	0.995446595132974	HTA11_2951
9	SLC7A5	ETHE1	0.995807487445457	HTA11_2951
10	RNF43	CD9	0.996621075946554	HTA11_2951
11	L1TD1	UGT2A3	0.996640969329031	HTA11_2951
12	APCDD1	MYL6	0.997309361181573	HTA11_2951
13	SLC40A1	B2M	0.997469224442628	HTA11_2951
14	ZNF503	CAMK2N1	0.997659340739443	HTA11_2951
15	SEMA3F	NDUFA1	0.997609577054357	HTA11_2951
16	SDC3	COX5A	0.997475556297755	HTA11_2951
17	ASCL2	NDRG1	0.997427226042468	HTA11_2951
18	LRRC36	CALM1	0.997159066225869	HTA11_2951
19	CPNE7	BSG	0.997021616171869	HTA11_2951
20	NKD1	LRRC19	0.996899499301821	HTA11_2951
21	CLDN2	PCK1	0.996850725477564	HTA11_2951
22	ENC1	COX6C	0.996892132388525	HTA11_2951
23	ZNF703	FCGRT	0.996539056479267	HTA11_2951
24	EPHB3	HSPA1A	0.99609181983624	HTA11_2951
25	GDF15	PRDX6	0.995593833335685	HTA11_2951
26	GRIN2B	LGALS3	0.994846000101704	HTA11_2951
27	AXIN2	C15orf48	0.993952928294376	HTA11_2951
28	TBX3	PKIB	0.992981761529131	HTA11_2951
29	OLFM4	ITM2C	0.991847688897267	HTA11_2951
30	MSX2	FABP1	0.990536568498819	HTA11_2951
1	ASCL2	LGALS3	0.955092399587408	HTA11_3077
2	SOX4	COX6C	0.979238744400463	HTA11_3077
3	SLC7A5	NDUFA1	0.988241392023363	HTA11_3077
4	AXIN2	CYCS	0.991620812288767	HTA11_3077
5	SDC3	LRRC19	0.992989628641412	HTA11_3077
6	DPEP1	ETHE1	0.994730963920164	HTA11_3077
7	ZNF503	TPT1	0.995724323862218	HTA11_3077
8	LTBP1	CA2	0.996257062344177	HTA11_3077
9	L1TD1	CAMK2N1	0.9966206811985	HTA11_3077
10	SLC40A1	B2M	0.996783430545298	HTA11_3077
11	NKD1	CHP2	0.997008206609868	HTA11_3077
12	SLC6A6	CD9	0.997532796571975	HTA11_3077
13	LGR5	MYL6	0.997786789225682	HTA11_3077
14	LRRC36	UGT2A3	0.997604488088301	HTA11_3077
15	TRIP6	LGALS4	0.997625058993064	HTA11_3077
16	CPNE7	NDRG1	0.9975842081358	HTA11_3077
17	APCDD1	CALM1	0.997509675965723	HTA11_3077
18	CLDN2	ACAA2	0.997522669608859	HTA11_3077
19	DAB2	CALM2	0.997506274384737	HTA11_3077
20	SEMA3F	BSG	0.997480105551355	HTA11_3077
21	RNF43	PCK1	0.997341268723211	HTA11_3077
22	CYP4X1	COX5A	0.997233004073895	HTA11_3077
23	EPHB3	SRI	0.996897536903597	HTA11_3077
24	ZNF703	FCGRT	0.996547265395613	HTA11_3077
25	GDF15	HSPA1A	0.996054430949814	HTA11_3077
26	GRIN2B	PRDX6	0.995424019556071	HTA11_3077
27	MSX2	C15orf48	0.994559041840035	HTA11_3077
28	TBX3	PKIB	0.993574420056845	HTA11_3077
29	OLFM4	ITM2C	0.9924850370066	HTA11_3077
30	ENC1	FABP1	0.991096523616324	HTA11_3077
1	ASCL2	LGALS3	0.96949416382839	HTA11_3252
2	AXIN2	CYCS	0.978188797618685	HTA11_3252
3	SLC6A6	NDUFA1	0.987846406609295	HTA11_3252
4	SOX4	LRRC19	0.99269573493151	HTA11_3252
5	LTBP1	CAMK2N1	0.993004758085197	HTA11_3252
6	L1TD1	TPT1	0.993954540872197	HTA11_3252
7	SLC7A5	CHP2	0.995639788473174	HTA11_3252
8	LRRC36	CD9	0.996118474645251	HTA11_3252
9	SEMA3F	LGALS4	0.997035404148462	HTA11_3252
10	SLC40A1	B2M	0.996828670276748	HTA11_3252
11	DPEP1	BSG	0.996972993308724	HTA11_3252
12	TRIP6	UGT2A3	0.997432221081755	HTA11_3252
13	CYP4X1	ETHE1	0.997686891383992	HTA11_3252
14	ZNF503	COX6C	0.997689378873421	HTA11_3252
15	RNF43	MYL6	0.997711549319917	HTA11_3252
16	DAB2	CALM2	0.997698862798999	HTA11_3252
17	APCDD1	SRI	0.997560957347438	HTA11_3252
18	SDC3	PCK1	0.997489335635244	HTA11_3252
19	CPNE7	CALM1	0.997436142297656	HTA11_3252
20	LGR5	FCGRT	0.997509267340221	HTA11_3252
21	NKD1	NDRG1	0.997343808562566	HTA11_3252
22	CLDN2	COX5A	0.99725756411252	HTA11_3252
23	ZNF703	ACAA2	0.997058424138088	HTA11_3252
24	GDF15	HSPA1A	0.996703135328085	HTA11_3252
25	EPHB3	CA2	0.996293008471018	HTA11_3252
26	GRIN2B	ITM2C	0.995771248636043	HTA11_3252
27	MSX2	C15orf48	0.994940574345709	HTA11_3252
28	TBX3	PKIB	0.994062855732856	HTA11_3252
29	OLFM4	PRDX6	0.992969116039403	HTA11_3252
30	ENC1	FABP1	0.991674065148813	HTA11_3252
1	CYP4X1	CHP2	0.955467438927043	HTA11_3361
2	TRIP6	TPT1	0.981267647140739	HTA11_3361
3	DPEP1	SRI	0.990205152029211	HTA11_3361
4	LTBP1	CYCS	0.993895312718456	HTA11_3361
5	ZNF503	LGALS4	0.995806444675977	HTA11_3361
6	RNF43	LRRC19	0.996683004518882	HTA11_3361
7	ASCL2	NDUFA1	0.996453971829702	HTA11_3361
8	L1TD1	CAMK2N1	0.996826375888693	HTA11_3361
9	SOX4	UGT2A3	0.99682692532182	HTA11_3361
10	SLC7A5	TST	0.997106714258152	HTA11_3361
11	LRRC36	CD9	0.997477931441286	HTA11_3361
12	DAB2	ACAA2	0.997589408278568	HTA11_3361
13	SLC6A6	B2M	0.997491356134957	HTA11_3361
14	APCDD1	BSG	0.997414394619495	HTA11_3361
15	SDC3	CALM1	0.997744741069474	HTA11_3361
16	SLC40A1	CALM2	0.997527699994965	HTA11_3361
17	CPNE7	ETHE1	0.997650367418241	HTA11_3361
18	LGR5	COX6C	0.997659459419618	HTA11_3361
19	NKD1	PCK1	0.997746181438924	HTA11_3361
20	CLDN2	MYL6	0.997622514219428	HTA11_3361
21	SEMA3F	COX5A	0.997454072438091	HTA11_3361
22	ZNF703	NDRG1	0.997306640419273	HTA11_3361
23	GDF15	HSPA1A	0.996874312188813	HTA11_3361
24	EPHB3	CA2	0.996436034734874	HTA11_3361
25	GRIN2B	FCGRT	0.995878801522899	HTA11_3361
26	AXIN2	PRDX6	0.995161952847061	HTA11_3361
27	MSX2	LGALS3	0.994298995769294	HTA11_3361
28	TBX3	PKIB	0.993339624559796	HTA11_3361
29	OLFM4	C15orf48	0.992299327099982	HTA11_3361
30	ENC1	ITM2C	0.990986615497861	HTA11_3361
1	AXIN2	B2M	0.956481673410684	HTA11_3410
2	ASCL2	CHP2	0.982000432419551	HTA11_3410
3	SOX4	CD9	0.989284655073547	HTA11_3410
4	SLC7A5	NDUFA1	0.993243920268164	HTA11_3410
5	LTBP1	PKIB	0.995518918083738	HTA11_3410
6	SLC6A6	TPT1	0.995643078429929	HTA11_3410
7	RNF43	NDRG1	0.996572942788579	HTA11_3410
