metric	value
core_total	287
core_up	89
core_down	198
portable_candidate_up	30
portable_candidate_down	32
discovery_donors	27
discovery_donor_route_profiles	37
selected_pairs	6
selected_total_genes	12
selected_oof_spearman	0.929113323850166
selected_oof_ci_low	0.832777752187926
selected_oof_ci_high	0.97168076726648
maximum_oof_spearman	0.977714556661925
kneedle_selected_pairs	6
one_se_sensitivity_pairs	14
one_se_threshold	0.963878060808434
minimum_selected_gene_fold_frequency	0.333333333333333
