gene	module	module_color	module_numeric	strict_state_shared	programme_direction	discovery_common_z	heldout_common_z	heldout_common_fdr	kme_discovery_ABS	abs_kme_discovery_ABS	kme_heldout_ABS	abs_kme_heldout_ABS	kme_discovery_GOB	abs_kme_discovery_GOB	kme_heldout_GOB	abs_kme_heldout_GOB	kme_discovery_TAC	abs_kme_discovery_TAC	kme_heldout_TAC	abs_kme_heldout_TAC	module_size	bootstrap_abs_kme_ci_low_ABS	bootstrap_abs_kme_median_ABS	bootstrap_abs_kme_ci_high_ABS	bootstrap_abs_kme_ci_low_GOB	bootstrap_abs_kme_median_GOB	bootstrap_abs_kme_ci_high_GOB	bootstrap_abs_kme_ci_low_TAC	bootstrap_abs_kme_median_TAC	bootstrap_abs_kme_ci_high_TAC
EEIG2	M03	brown	3	FALSE	not_shared	0.074726353955919	-0.73758936143525	0.578597955816945	0.697247262137394	0.697247262137394	0.155086428472719	0.155086428472719	0.340879424701734	0.340879424701734	0.11719437804542	0.11719437804542	0.262288747422054	0.262288747422054	0.294175153272979	0.294175153272979	993	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB5A	M01	turquoise	1	FALSE	not_shared	-0.0744710475919496	-2.44827744683217	0.0367636702281027	0.311600369528476	0.311600369528476	0.463798400151619	0.463798400151619	0.495745925489486	0.495745925489486	0.615008905989909	0.615008905989909	0.380738879791626	0.380738879791626	0.21550480321305	0.21550480321305	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
VSIG10	M01	turquoise	1	FALSE	not_shared	0.0741209091941634	-0.793546934683673	0.548937598563796	0.673602264443314	0.673602264443314	0.0779710247728636	0.0779710247728636	0.557928799849922	0.557928799849922	0.165735215359543	0.165735215359543	0.66595528526361	0.66595528526361	0.568124695855634	0.568124695855634	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
COX10-DT	M01	turquoise	1	FALSE	not_shared	-0.0727531041176312	3.39291086628775	0.00295692116586522	0.529595360872379	0.529595360872379	-0.0462626365086107	0.0462626365086107	0.12255956128982	0.12255956128982	0.31579610225515	0.31579610225515	0.431727460031414	0.431727460031414	0.0105645441754522	0.0105645441754522	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERCC8	M01	turquoise	1	FALSE	not_shared	0.0724198009689771	NA	NA	0.795550540263226	0.795550540263226	0.455255856172396	0.455255856172396	0.618498784217925	0.618498784217925	0.317291815597899	0.317291815597899	0.757290548939986	0.757290548939986	0.572993612789792	0.572993612789792	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
ID2	grey	grey	0	FALSE	not_shared	0.0711959522041886	-0.903657444214874	0.488350489319928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RUBCN	grey	grey	0	FALSE	not_shared	0.0709786844663058	0.737994068120088	0.578493282624049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EFR3A	grey	grey	0	FALSE	not_shared	0.0703539932832737	-1.65577289750336	0.174078585391555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TDP1	M04	yellow	4	FALSE	not_shared	-0.0683155804744247	2.15336258341192	0.0690324740757713	0.0619470274193177	0.0619470274193177	-0.0619998674937582	0.0619998674937582	0.554086371720802	0.554086371720802	0.104519826696412	0.104519826696412	0.483746767389623	0.483746767389623	0.413268204693091	0.413268204693091	812	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASOR	M01	turquoise	1	FALSE	not_shared	0.0678769694921325	0.914588893998677	0.481920560104202	0.649055891234521	0.649055891234521	-0.281807330105551	0.281807330105551	0.183097171442068	0.183097171442068	-0.0561324058969142	0.0561324058969142	0.673201163846461	0.673201163846461	0.276276127942281	0.276276127942281	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTF2	M01	turquoise	1	FALSE	not_shared	0.0674204634334137	1.48899282394728	0.226268261894977	0.802087845138122	0.802087845138122	-0.0404466524407924	0.0404466524407924	0.413216107589124	0.413216107589124	0.551737265876416	0.551737265876416	0.375996449087762	0.375996449087762	0.670331848833254	0.670331848833254	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYNC2LI1	grey	grey	0	FALSE	not_shared	0.0667799205972971	-0.384024283111671	0.783802231437099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPV17	M02	blue	2	FALSE	not_shared	-0.0660244704724014	NA	NA	0.430415008176537	0.430415008176537	0.345063923384653	0.345063923384653	0.641835699315524	0.641835699315524	0.46008318770474	0.46008318770474	0.561461906054906	0.561461906054906	0.529481831674749	0.529481831674749	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD6	M01	turquoise	1	FALSE	not_shared	-0.0650210582437828	NA	NA	0.35671922221097	0.35671922221097	0.183386792142566	0.183386792142566	0.39055430532077	0.39055430532077	0.202166700107227	0.202166700107227	0.42763124918492	0.42763124918492	0.392006267010022	0.392006267010022	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIGA2	M02	blue	2	FALSE	not_shared	-0.0648147661701052	-2.46569966739604	0.0353541913366805	0.737385138895862	0.737385138895862	0.0845182955773611	0.0845182955773611	0.753138898565214	0.753138898565214	0.196480814761654	0.196480814761654	0.317655996895224	0.317655996895224	0.311406372914165	0.311406372914165	2184	0.493417257820599	0.739657769908363	0.87047004270325	0.482419930859508	0.754672118969258	0.9130483777643	0.0214562760498317	0.316097177504788	0.688132755712831
ZFAND2B	M02	blue	2	FALSE	not_shared	-0.0647325712342047	-3.04136271552776	0.00814610204484792	0.80630579354656	0.80630579354656	0.221571379671311	0.221571379671311	0.881153518331776	0.881153518331776	0.431691126558027	0.431691126558027	0.731472668246605	0.731472668246605	0.601834943772923	0.601834943772923	2184	0.629016578006444	0.83380364067261	0.936757377996326	0.737948513949255	0.8707341310355	0.93994097934232	0.449235374482115	0.723712478520624	0.876077008552343
LPAR5	grey	grey	0	FALSE	not_shared	-0.0642172984573169	-0.0815711184249074	0.955947402741046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CUL1	M01	turquoise	1	FALSE	not_shared	0.0637907403301778	1.26750620568863	0.310994875024463	0.827096498286629	0.827096498286629	0.265692564395219	0.265692564395219	0.76900751726436	0.76900751726436	0.757918311948408	0.757918311948408	0.582189725132357	0.582189725132357	0.648516971663603	0.648516971663603	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOTCH2	M02	blue	2	FALSE	not_shared	-0.063363686264323	-0.0179359790857697	0.990771944509301	0.622977690182816	0.622977690182816	-0.032090418457747	0.032090418457747	0.47183200579216	0.47183200579216	0.0107942998352768	0.0107942998352768	0.318983170969042	0.318983170969042	-0.343228086860527	0.343228086860527	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZCCHC8	grey	grey	0	FALSE	not_shared	-0.06332076278483	-1.58465682242832	0.195078919930795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNAP29	grey	grey	0	FALSE	not_shared	-0.0619989883614115	-0.277461746515828	0.844704188094293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MUC5B	M02	blue	2	FALSE	not_shared	0.0618644183602898	-0.0897892748851243	0.952055740196988	0.360853406015159	0.360853406015159	0.650929376094481	0.650929376094481	0.347828775752779	0.347828775752779	0.698009284985601	0.698009284985601	0.511079482382869	0.511079482382869	0.621776220404395	0.621776220404395	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM118B	M03	brown	3	FALSE	not_shared	0.0608191585090905	-2.04442333466684	0.086273579948336	0.777949294411017	0.777949294411017	-0.114245699174743	0.114245699174743	0.537171964826678	0.537171964826678	-0.0276056297767813	0.0276056297767813	0.25447785868739	0.25447785868739	0.000290592055908988	0.000290592055908988	993	NA	NA	NA	NA	NA	NA	NA	NA	NA
MVP	M02	blue	2	FALSE	not_shared	-0.0606350562211179	-1.74430938055699	0.150237748174507	0.898991538126562	0.898991538126562	0.606724934969502	0.606724934969502	0.861739471667523	0.861739471667523	0.828684032236096	0.828684032236096	0.790095148616918	0.790095148616918	0.86026787538954	0.86026787538954	2184	0.761016845079235	0.892202670735027	0.952814827705306	0.636968767238909	0.853732177825043	0.952754678962022	0.483249006280709	0.765471109663429	0.910861607868677
TLN1	M02	blue	2	FALSE	not_shared	0.0606302152402195	2.04541076546888	0.0860937749613272	0.803931984240544	0.803931984240544	0.50635210896627	0.50635210896627	0.575769446074492	0.575769446074492	0.436686310492358	0.436686310492358	0.680207484485042	0.680207484485042	0.62480200440768	0.62480200440768	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAP1GAP	M02	blue	2	FALSE	not_shared	-0.0606120499689201	2.09968604107098	0.0769764817173382	0.732817252194594	0.732817252194594	0.458519125760724	0.458519125760724	0.588792325577936	0.588792325577936	0.708149145375887	0.708149145375887	0.114755181369619	0.114755181369619	0.369869455743793	0.369869455743793	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
