dataset	score	min_cells_per_specimen_state	primary_threshold	comparison	group_a	group_b	cell_type	cell_type_label	n_donors_a	n_donors_b	mean_a	mean_b	effect_a_minus_b	bootstrap_ci_low	bootstrap_ci_high	bootstrap_p_directional	n_paired_donors	paired_median_difference	paired_wilcoxon_p	paired_wilcoxon_q
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	13	19	0.2409154962026256	-0.2351533788931972	0.4760688750958228	0.3285206915435508	0.622562489626198	0.0	8	0.446367714670079	0.0078125	0.0390625
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	11	2	0.8860633947992714	0.3918271154757107	0.4942362793235607	0.3604662962231337	0.6284534842421109	0.0	1			
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	3	15	-0.129513395252775	-0.1648848117779097	0.0353714165251347	-0.0756068575550002	0.1154071940115174	0.392938733125649	3	0.0871025416447223	0.25	0.3125
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	EE	Enteroendocrine	1	3	0.2701449126116558	0.2158874464008315	0.0542574662108242	-0.0495977267684495	0.1083814792944838	0.1647058823529411	0			
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	11	18	0.383361794404144	0.0182950394028985	0.3650667550012454	0.2589049436047771	0.4600549979733151	0.0	5	0.3671601969588079	0.0625	0.1041666666666666
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	5	18	0.2909655339138249	0.06895134888582	0.2220141850280049	-0.0036959261542887	0.4553045323139579	0.0549208258167969	4	0.2067557192872446	0.625	0.625
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	11	18	0.3516554191419414	0.0340569404806897	0.3175984786612517	0.1857361559048197	0.4375364601054886	0.0	6	0.198209139438803	0.0625	0.1041666666666666
validation	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	TUF	Tuft	2	6	0.7079587197260282	0.1928222353698162	0.515136484356212	0.3127992294777779	0.7209800816751599	0.0	0			
