signature_id	excluded_cohort	n_cohorts	pooled_standardized_effect	standard_error	ci_low	ci_high	p_value	tau_squared	i_squared	prediction_interval_low	prediction_interval_high
state_shared_1843	GSE8671	4	1.63121576338816	0.286131602507141	0.720617302164405	2.54181422461192	0.0107029749721608	0.156939732946414	71.4733828549072	0.0760085105408546	3.18642301623547
state_shared_1843	GSE50114	4	1.91721762404713	0.101145610706665	1.59532714895804	2.23910809913622	0.000320599748263977	0	0	1.59532714895804	2.23910809913622
state_shared_1843	GSE41657	4	1.66642491645357	0.229954924693551	0.934605715980783	2.39824411692635	0.00542055100246546	0.0733165971120824	58.7261219702898	0.535890868329767	2.79695896457737
state_shared_1843	GSE40362	4	1.91473287781057	0.0900206009325136	1.62824714897347	2.20121860664767	0.000227366668192488	6.41911508784296e-06	0.0291160926283566	1.62813370580031	2.20133204982083
state_shared_1843	GSE72820	4	1.91468566326405	0.0652066462836788	1.70716901271862	2.12220231380949	8.67448149993356e-05	1.09684366499865e-06	0.00518464175911612	1.70714224841481	2.12222907811329
compact_8	GSE8671	4	1.67069064298929	0.281635738704042	0.774400026914765	2.56698125906382	0.00957435126986037	0.159865205191078	75.147313920217	0.114269752231327	3.22711153374726
compact_8	GSE50114	4	1.55246383189028	0.25188359244731	0.750857823744754	2.35406984003581	0.00859621172230893	0.132420621729841	69.2200887356174	0.144016620813232	2.96091104296733
compact_8	GSE41657	4	1.55656914855896	0.238501263424476	0.797551683968239	2.31558661314968	0.00730967216685314	0.113279185864826	68.010790065395	0.243787718542046	2.86935057857587
compact_8	GSE40362	4	1.78083254297348	0.186434128171349	1.18751594059578	2.37414914535118	0.00243389889323002	0.0442751154876085	57.4228082965359	0.886158642644607	2.67550644330236
compact_8	GSE72820	4	1.79213497187316	0.143817203473191	1.33444444404367	2.24982549970265	0.0011138151969603	0.0346557252045619	52.2038433056726	1.04348780973755	2.54078213400877
