gene	selected_folds	arm	total_donor_folds	selection_frequency	strict_majority_threshold_folds	retained_by_strict_majority	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	type_of_gene	all_six_platforms_present	protein_coding	route_weight	selection_rule	fixed_gene_count_used	validation_outcomes_used	panel_frozen_before_validation
CYCS	23	down	27	0.851851851851852	14	TRUE	-0.409760560399178	0.0023389625724745	1	-0.562196189165115	-0.238016560673714	protein-coding	TRUE	TRUE	-1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
AXIN2	23	up	27	0.851851851851852	14	TRUE	0.42414270203647	0.0023389625724745	1	0.211632934585214	0.651855410635471	protein-coding	TRUE	TRUE	1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
SOX4	22	up	27	0.814814814814815	14	TRUE	0.392421773137814	0.0008769147653564	1	0.236581550166011	0.55647551715374	protein-coding	TRUE	TRUE	1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
SLC7A5	21	up	27	0.777777777777778	14	TRUE	0.30123764189625	0.0059949278398453	1	0.129347436502576	0.492662789672613	protein-coding	TRUE	TRUE	1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
ASCL2	18	up	27	0.666666666666667	14	TRUE	0.499044533279113	0.000978890866502	1	0.283549062162638	0.745549570024013	protein-coding	TRUE	TRUE	1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
NDUFA1	17	down	27	0.62962962962963	14	TRUE	-0.371032488348176	0.0029378217143831	1	-0.537586969137192	-0.209964857250452	protein-coding	TRUE	TRUE	-1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
LRRC19	16	down	27	0.592592592592593	14	TRUE	-0.342115545052	0.0055844587715872	1	-0.484830068796873	-0.211130802333355	protein-coding	TRUE	TRUE	-1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
LTBP1	16	up	27	0.592592592592593	14	TRUE	0.287655363604438	0.0029378217143831	1	0.153550054877996	0.432193172723055	protein-coding	TRUE	TRUE	1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
COX6C	14	down	27	0.518518518518518	14	TRUE	-0.391516245431671	0.0084410275709751	1	-0.560784789919853	-0.203106278181076	protein-coding	TRUE	TRUE	-1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
LGALS3	14	down	27	0.518518518518518	14	TRUE	-0.632631034679067	0.000718934584951	1	-0.870623950660229	-0.355027202516794	protein-coding	TRUE	TRUE	-1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
DPEP1	14	up	27	0.518518518518518	14	TRUE	0.512140243410315	0.0027845730112846	1	0.244460769742727	0.792924101650715	protein-coding	TRUE	TRUE	1	Selected within the Kneedle-sized fold path in a strict majority of 27 donor-held-out derivations (at least 14)	FALSE	FALSE	TRUE
