dataset	feature	comparison	expected_direction	n_units	mean_difference	median_difference	sd_difference	paired_dz	bootstrap_mean_ci_low	bootstrap_mean_ci_high	min_difference	max_difference	n_positive	n_negative	p_exact_sign_two_sided	n_expected_direction	direction_matches_expected	signature_id	readout
GSE125472	route_score	APC-KO vs WT, WNT−	1	3	0.987798147536802	1.22099635527274	0.501908524381247	1.96808402239145	0.411714426104632	1.33068366123304	0.411714426104632	1.33068366123304	3	0	0.25	3	1	state_shared_1843	Full
GSE125472	route_score	WNT withdrawal in WT	-1	3	-0.946178178405195	-0.965084997342839	0.314317157849015	-3.01026576111922	-1.25061515564251	-0.622834382230238	-1.25061515564251	-0.622834382230238	0	3	0.25	3	1	state_shared_1843	Full
GSE125472	route_score	Genotype × WNT	1	3	0.667661155765263	0.668380729293408	0.0249774908484676	26.7305134777469	0.642331653153018	0.692271084849363	0.642331653153018	0.692271084849363	3	0	0.25	3	1	state_shared_1843	Full
GSE125472	route_score	APC-KO vs WT, WNT−	1	3	1.59834430745001	1.73394757246668	0.296307497450133	5.39420811557091	1.25850049267434	1.80258485720902	1.25850049267434	1.80258485720902	3	0	0.25	3	1	compact_8	Eight-gene
GSE125472	route_score	WNT withdrawal in WT	-1	3	-1.35125735178038	-1.21203231692715	0.430207517093915	-3.14094314508548	-1.83383572738016	-1.00790401103383	-1.83383572738016	-1.00790401103383	0	3	0.25	3	1	compact_8	Eight-gene
GSE125472	route_score	Genotype × WNT	1	3	0.977024131054045	0.854596067917962	0.249021116476775	3.92345896154219	0.81291607433756	1.26356025090661	0.81291607433756	1.26356025090661	3	0	0.25	3	1	compact_8	Eight-gene
