study_id	outcome	state	n_observations	n_donors	n_target_donors	n_reference_donors	coef	se_cluster	ci_low	ci_high	p_value	label_text	label
Chen_2021_Cell	score__ca_route_signature	polyp_epithelial	130	95	86	44	0.442480907499184	0.0664967257200512	0.310450099774648	0.574511715223719	1.87921197507138e-09	Chen 2021 · polyp epi.	Chen 2021 · polyp epi.
Chen_2021_Cell	score__ca_route_signature	polyp_cancer	123	93	79	44	0.795976065521229	0.105363829554099	0.586714405342262	1.0052377257002	3.0083227360395e-11	Chen 2021 · polyp cancer-like	Chen 2021 · polyp cancer-like
Pelka_2021_Cell	score__ca_route_signature	tumor_cancer	89	59	59	30	0.62707122305795	0.0961107469023024	0.434684660569354	0.819457785546546	1.83511725510986e-08	Pelka 2021 · primary cancer-like	Pelka 2021 · primary cancer-like
Lee_2020_Nat_Genet	score__ca_route_signature	tumor_cancer	33	25	25	8	0.0939078575047123	0.151423448680044	-0.218614780422785	0.40643049543221	0.540992135220381	Lee 2020 Nat · primary cancer-like	Lee 2020 Nat · primary cancer-like
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_cancer	40	20	20	20	0.346860914427285	0.103151797378633	0.130961721258354	0.562760107596216	0.00326929697035242	Chen 2024 Cancer · primary cancer-like	Chen 2024 Cancer · primary cancer-like
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_cancer	24	17	17	7	0.282017529863983	0.158133022518949	-0.0532095025558114	0.617244562283777	0.0934959272927063	Li 2023 Cancer · primary cancer-like	Li 2023 Cancer · primary cancer-like
Liu_2024_Cancer_Res	score__ca_route_signature	tumor_cancer	17	14	13	4	0.601495622681446	0.22063778799	0.124836661076568	1.07815458428632	0.0173079545062829	Liu 2024 Cancer · primary cancer-like	Liu 2024 Cancer · primary cancer-like
MUI_Innsbruck	score__ca_route_signature	tumor_cancer	23	12	11	12	0.165976149487547	0.22853631217437	-0.337028882150312	0.668981181125405	0.482848850965884	MUI · primary cancer-like	MUI · primary cancer-like
Uhlitz_2021_EMBO_Mol_Med	score__ca_route_signature	tumor_cancer	20	12	10	10	0.569529897828707	0.159702897855406	0.218026189625328	0.921033606032085	0.00442458306642427	Uhlitz 2021 EMBO Mol · primary cancer-like	Uhlitz 2021 EMBO Mol · primary cancer-like
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_epithelial	27	20	7	20	-0.110078352217073	0.115204480885183	-0.351204101885383	0.131047397451238	0.351323063405121	Chen 2024 Cancer · primary epi.	Chen 2024 Cancer · primary epi.
Khaliq_2022_Genome_Biol	score__ca_route_signature	tumor_cancer	12	10	7	5	0.0459327137395691	0.134822271921094	-0.259056454391461	0.350921881870599	0.741154110146603	Khaliq 2022 Genome · primary cancer-like	Khaliq 2022 Genome · primary cancer-like
Pelka_2021_Cell	score__ca_route_signature	tumor_epithelial	36	33	6	30	0.229348629363792	0.149342757029312	-0.0748526120334736	0.533549870761059	0.134436655299665	Pelka 2021 · primary epi.	Pelka 2021 · primary epi.
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_epithelial	12	8	5	7	-0.085953557219729	0.167475310931386	-0.481969738991127	0.310062624551669	0.623586015462914	Li 2023 Cancer · primary epi.	Li 2023 Cancer · primary epi.
Chen_2021_Cell	score__ca_route_signature	tumor_cancer	48	47	4	44	0.922881044120783	0.23010651693762	0.45970064889437	1.3860614393472	0.000220396999303957	Chen 2021 · primary cancer-like	Chen 2021 · primary cancer-like
