cohort	n_samples	n_measurable_programme_genes	spearman_compact_rank_vs_reference_full	p_value
GSE8671	64	69	0.881208861840718	7.63545587568933e-22
GSE50114	46	1708	0.637989515880358	1.84841461129763e-06
GSE41657	88	1708	0.671797400584692	7.78723421917472e-13
GSE40362	24	1451	0.839130434782609	2.99636795662634e-07
GSE72820	14	1673	0.758241758241758	0.00167300340702642
