label	order	estimate	ci_low	ci_high	type
GSE8671	6	1.91214889815039	1.77232689031678	2.051970905984	Cohort
GSE50114	5	1.74560441468613	1.34938982432111	2.14181900505115	Cohort
GSE41657	4	2.0420496656869	1.79641892380215	2.28768040757164	Cohort
GSE40362	3	1.34616623061258	0.553172776293415	2.13915968493175	Cohort
GSE72820	2	0.400579746754527	-0.896381867833771	1.69754136134283	Cohort
Random-effects pooled	1	1.90288083576639	1.6608729438893	2.14488872764347	Pooled
