order	abbreviation	type	scope	x
1	sc	sc/snRNA-seq	Chen · Becker
CRC Atlas	1
2	RNA	Bulk and FFPE
RNA	5 cohorts
51 FFPE pairs	2
3	ATAC	Matched
RNA–ATAC	40 samples
12 patients	3
4	KO	Genetic
perturbation	6 datasets	4
5	ST	Spatial
RNA	6 sections	5
6	MS	Proteomics	4 datasets	6
