dataset	species	model_system	comparison	unit_id	feature	expected_direction	difference	label_text	label
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	route_score	1	-0.501843195446309	GSE114059 · trametinib vs dmso	GSE114059 · trametinib vs dmso
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	route_score	1	-0.257443605647855	GSE114059 · trametinib vs dmso	GSE114059 · trametinib vs dmso
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	route_score	1	-0.390627638711734	GSE114059 · trametinib vs dmso	GSE114059 · trametinib vs dmso
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	route_score	1	-0.54803302753859	GSE114059 · trametinib vs dmso	GSE114059 · trametinib vs dmso
GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	route_score	-1	0.213820863911526	GSE114059 · pri724 reversal of trametinib	GSE114059 · pri724 reversal of trametinib
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	route_score	-1	-0.371076930715459	GSE67186 · apc restoration shApc	GSE67186 · apc restoration shApc
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	route_score	-1	-2.25659517004047	GSE67186 · apc restoration shApc Kras	GSE67186 · apc restoration shApc Kras
GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	route_score	0	1.02111482342978	GSE67186 · doxycycline control shRenilla	GSE67186 · doxycycline control shRenilla
GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	route_score	-1	-0.418366407998027	GSE130822 · ascl2 ko vs resting wt	GSE130822 · ascl2 ko vs resting wt
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	route_score	-1	-0.28724277792959	GSE171910 · conditional wnt silencing	GSE171910 · conditional wnt silencing
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	route_score	-1	-0.537869905885456	GSE171910 · conditional wnt silencing	GSE171910 · conditional wnt silencing
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	route_score	-1	-0.0836571653553787	GSE171910 · conditional wnt silencing	GSE171910 · conditional wnt silencing
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	route_score	-1	-1.01141811907524	GSE171910 · conditional wnt silencing	GSE171910 · conditional wnt silencing
