panel_id	panel_label	eligible_cohorts	n_eligible_cohorts	all_five_cohorts_evaluable	excluded_cohort	n_samples	n_patient_clusters	n_cohorts	adenoma_coef_sd	se_patient_cluster	ci_low	ci_high	p_value	r_squared
stable_core_287	Error-controlled core (287)	GSE50114;GSE41657;GSE72820	3	False	__NONE__	123.0	113.0	3.0	1.930924796589092	0.14502277314226253	1.6435807613698126	2.2182688318083716	7.993627544002424e-25	0.6354996680787823
adaptive_28	Adaptive minimum-sufficient (28)	GSE72820	1	False										
reference_100	Current reference (100)	GSE8671;GSE50114;GSE41657;GSE40362;GSE72820	5	True	__NONE__	203.0	161.0	5.0	1.9245210133050838	0.07836989699949812	1.769748181463673	2.0792938451464944	3.7615526746105563e-56	0.7567201990068971
compact_10	Biology-guided compact panel (10)	GSE8671;GSE50114;GSE41657;GSE40362;GSE72820	5	True	__NONE__	203.0	161.0	5.0	1.9058470192233594	0.07642653346893673	1.754912139050103	2.056781899396616	5.343453271180087e-57	0.7421062451102811
