dataset	specimen_id	donor_id	polyp_type	sample_classification	route_group	n_cells	full_stable_core	adaptive_minimum_sufficient	reference_100_gene	compact_10_gene
validation	HTA11_8504_2000002011	HTA11_8504	NL	NL	normal	511	-0.609657196369476	-0.933771841910207	-0.67186863824569	-0.945164629336257
validation	HTA11_8504_2000002021	HTA11_8504	NL	NL	normal	1794	-0.169850095051723	-0.264866093587934	-0.193404711284351	-0.250345159617003
validation	HTA11_8622_2000001011	HTA11_8622	SSL	SER	serrated	985	-0.164488492558987	-0.0159830359428257	-0.216349565568885	-0.177601759030568
validation	HTA11_8622_2000001021	HTA11_8622	SSL	SER	serrated	1503	0.0137151922455189	-0.21967949385929	-0.0707854106379692	-0.0139093939564374
validation	HTA11_8622_2000002011	HTA11_8622	NL	NL	normal	1281	-1.57663673671493	-1.70198651116789	-1.7461087806686	-1.79437431707535
validation	HTA11_8622_2000002021	HTA11_8622	NL	NL	normal	1718	-1.13541752815751	-1.05735637709039	-0.906201593797004	-0.747564352226266
validation	HTA11_866_3004761011	HTA11_866	TA	AD	conventional_adenoma	932	2.29370720647433	2.10353026363483	2.86550083480247	3.35911578792146
validation	HTA11_866_3004762011	HTA11_866	NL	NL	normal	1176	-0.99914901584548	-1.23428632250815	-0.932425862516858	-0.957645420942058
validation	HTA11_8920_2000001011	HTA11_8920	HP	SER	serrated	506	-0.460410048025892	-0.28658654067269	-0.629234453550291	-0.826500862937205
validation	HTA11_8920_2000002011	HTA11_8920	NL	NL	normal	1083	-0.79790657330418	-0.909911163613339	-0.867908981679683	-1.23397354540915
validation	HTA11_9341_2000001011	HTA11_9341	SSL	SER	serrated	549	-0.16599855442614	-0.0444388437171519	-0.458773017403037	-0.896211799604476
validation	HTA11_9408_2000001011	HTA11_9408	TA	AD	conventional_adenoma	140	2.49802805065297	2.69601247630214	2.61816349290207	2.62102919901345
validation	HTA11_9408_2000002011	HTA11_9408	NL	NL	normal	568	-0.867695589370877	-0.996374946879484	-0.929761727838403	-0.990794121768543
validation	HTA11_9408_2000002021	HTA11_9408	NL	NL	normal	511	-1.20955977004058	-0.912173146908568	-1.53154122434934	-1.76955044274226
