arm	k	oof_spearman	bootstrap_se	ci_low	ci_high	maximum_k	one_se_threshold	selected_k
up	1	0.832385016595543	0.0645859860171072	0.679822242881572	0.92102525801792	29	0.955545448622074	21
up	2	0.796348980559507	0.0871924282841075	0.584684645403769	0.915089713124342	29	0.955545448622074	21
up	3	0.858226647700332	0.064302121807979	0.687437269298311	0.94036158673357	29	0.955545448622074	21
up	4	0.884305357989569	0.0578871119443916	0.732271126682287	0.952415466710547	29	0.955545448622074	21
up	5	0.854907539118065	0.0660243370787216	0.659123148962464	0.938240205497368	29	0.955545448622074	21
up	6	0.863679468942627	0.0628185599463612	0.704709285898612	0.945330743530525	29	0.955545448622074	21
up	7	0.867472735893788	0.0577320937022663	0.722898474831919	0.940851713208944	29	0.955545448622074	21
up	8	0.861545756282598	0.0562451162291571	0.720609830854104	0.933694446497567	29	0.955545448622074	21
up	9	0.869606448553817	0.0562049947314573	0.727822773988621	0.941892163824602	29	0.955545448622074	21
up	10	0.898530109056425	0.0474406085424577	0.775120228457019	0.956333704508015	29	0.955545448622074	21
up	11	0.917733522996681	0.0410552524881458	0.809195733717304	0.964653110548413	29	0.955545448622074	21
up	12	0.939070649596965	0.0341512205897084	0.845980224252956	0.975327791862442	29	0.955545448622074	21
up	13	0.945945945945946	0.0320413981474966	0.854553760902846	0.977826099906764	29	0.955545448622074	21
up	14	0.943338074917022	0.0344976009037429	0.844535241451346	0.978294930343403	29	0.955545448622074	21
up	15	0.938359412043622	0.0362017203851153	0.8334133852835	0.976692036869357	29	0.955545448622074	21
up	16	0.946420104314841	0.0359683179828514	0.844591951067191	0.985123752205234	29	0.955545448622074	21
up	17	0.951872925557136	0.0352773462786266	0.854088696702626	0.988909751630319	29	0.955545448622074	21
up	18	0.942152678994784	0.038377788837326	0.833526155121982	0.982591932055769	29	0.955545448622074	21
up	19	0.94950213371266	0.0344076573086696	0.853926595058881	0.985020162720197	29	0.955545448622074	21
up	20	0.951398767188241	0.0346822929935676	0.856715369886221	0.986624469560991	29	0.955545448622074	21
up	21	0.964201043148412	0.0233769826754566	0.897055197027008	0.988834581535213	29	0.955545448622074	21
up	22	0.959933617828355	0.0289216405947982	0.878554651466317	0.990446472962951	29	0.955545448622074	21
up	23	0.958748221906117	0.0284434820654118	0.882147343069062	0.988364219529579	29	0.955545448622074	21
up	24	0.954006638217164	0.0326342771826906	0.866382446183922	0.987589685021366	29	0.955545448622074	21
up	25	0.966571834992888	0.0227730173473206	0.905601436482921	0.990774575746975	29	0.955545448622074	21
up	26	0.963015647226173	0.0241117987298569	0.898626641229148	0.988846462611312	29	0.955545448622074	21
up	27	0.973447131341868	0.0190128641446519	0.922668417920134	0.993863886461717	29	0.955545448622074	21
up	28	0.970839260312944	0.0193712674599996	0.919137769874721	0.99107128901275	29	0.955545448622074	21
up	29	0.974632527264106	0.0190870786420324	0.920249321998516	0.993863807292667	29	0.955545448622074	21
up	30	0.973684210526316	0.0187583384711838	0.919747212195741	0.993553481860314	29	0.955545448622074	21
down	1	0.754385964912281	0.0909170639592336	0.540835732539713	0.876256658756558	30	0.922781941428113	7
down	2	0.825983878615458	0.0905523830026688	0.597206394014311	0.933081189155014	30	0.922781941428113	7
