panel	n_genes	n_adenoma	n_normal	median_difference	auc	p_mann_whitney	spearman_vs_full_core	n_paired_donors	median_paired_delta	paired_positive_fraction	p_paired_wilcoxon
Full stable core	287	14	30	3.23045289645986	0.923809523809524	7.72816190836226e-06	1	7	3.04853528815975	1	0.0224942712224497
Adaptive minimum-sufficient	28	14	30	3.21870165581654	0.916666666666667	1.09764066657044e-05	0.954052149400987	7	3.33781658614298	0.857142857142857	0.0346105575157073
100-gene reference	100	14	30	3.31309053640354	0.928571428571429	6.09764850183221e-06	0.985200845665962	7	3.03985134751629	1	0.0224942712224497
10-gene biology-guided	10	14	30	3.55048065312921	0.935714285714286	4.25405366603937e-06	0.905285412262156	7	3.23719305153906	1	0.0224942712224497
