dataset	species	model_system	comparison	unit_id	route_up	route_down	wnt_stem	proliferation_control	wnt_stem_suppression	adenoma_up_arm_suppression	mature_function_restoration	proliferation_suppression	conservative_joint_reversal	quadrant	interpretation_role
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	0.00947837893235248	0.324765078868729	0.873090282707826	0.793627522275832	-0.873090282707826	-0.00947837893235248	0.324765078868729	-0.793627522275832	-0.873090282707826	mature-function only	causal or pathway perturbation
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	0.0103272846105695	0.15433823034152	0.612652109231292	1.32618446215997	-0.612652109231292	-0.0103272846105695	0.15433823034152	-1.32618446215997	-0.612652109231292	mature-function only	causal or pathway perturbation
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	-0.002471129996219	0.219932444398499	0.417724426956702	1.09290303758432	-0.417724426956702	0.002471129996219	0.219932444398499	-1.09290303758432	-0.417724426956702	mature-function only	causal or pathway perturbation
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	0.0303245869209896	0.207161890274252	1.01502949496019	0.438351680010712	-1.01502949496019	-0.0303245869209896	0.207161890274252	-0.438351680010712	-1.01502949496019	mature-function only	causal or pathway perturbation
GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	0.018173579860262	-0.0894178730760591	-0.454597447068943	-0.268261956574603	0.454597447068943	-0.018173579860262	-0.0894178730760591	0.268261956574603	-0.0894178730760591	WNT/stem only	causal or pathway perturbation
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	-0.0805508341035497	-0.0722056295333805	-1.04193676824933	-1.86575109105136	1.04193676824933	0.0805508341035497	-0.0722056295333805	1.86575109105136	-0.0722056295333805	WNT/stem only	causal or pathway perturbation
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	shApc_Kras	-0.0634333018329092	0.294773274342739	-1.30344507895418	-1.59174353701246	1.30344507895418	0.0634333018329092	0.294773274342739	1.59174353701246	0.294773274342739	both axes favourable	causal or pathway perturbation
GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	shRenilla	0.180598822285447	-0.631496057112787	0.0965118700036549	0.791137354742048	-0.0965118700036549	-0.180598822285447	-0.631496057112787	-0.791137354742048	-0.631496057112787	neither axis favourable	control
GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	colonic_stem_cells	-1.21146295083511	-0.752310309374101	-1.65777750338916	-1.10874899937123	1.65777750338916	1.21146295083511	-0.752310309374101	1.10874899937123	-0.752310309374101	WNT/stem only	causal or pathway perturbation
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	0.0896571307382406	-0.0395583835640222	-0.477199297627764	-0.444260421283069	0.477199297627764	-0.0896571307382406	-0.0395583835640222	0.444260421283069	-0.0395583835640222	WNT/stem only	causal or pathway perturbation
