context	source	score	p_value	q_value	n_targets_measured
discovery_common	Androgen	-2.32487189181317	0.0201030426481721	0.0562885194148818	308
discovery_common	EGFR	2.42674810887366	0.0152561869531805	0.0562885194148818	292
discovery_common	Estrogen	-2.38067744649277	0.0173034885956754	0.0562885194148818	300
discovery_common	Hypoxia	0.913144096064145	0.361193545709399	0.561856626659065	326
discovery_common	JAK-STAT	0.992651449950355	0.320909064804453	0.561590863407793	237
discovery_common	MAPK	3.2632708578485	0.0011058412769683	0.0154817778775562	307
discovery_common	NFkB	1.24035116756219	0.214880941472828	0.46655044411767	226
discovery_common	PI3K	-0.666567312682016	0.505067264126936	0.696613741126213	248
discovery_common	TGFb	2.76862040291182	0.00564203185871847	0.0394942230110293	167
discovery_common	TNFa	0.509939711512448	0.610107392271735	0.711791957650358	224
discovery_common	Trail	-0.257026153763192	0.797165017164879	0.797165017164879	150
discovery_common	VEGF	0.601776725950254	0.547339368027738	0.696613741126213	179
discovery_common	WNT	1.19205213055221	0.233275222058835	0.46655044411767	192
discovery_common	p53	-0.405111913130365	0.685405793565356	0.738129316147307	224
heldout_common	Androgen	-2.66996200430608	0.0076032252792584	0.0354817179698726	278
heldout_common	EGFR	3.64924478560584	0.000264896737725377	0.00185427716407764	243
heldout_common	Estrogen	-1.78634297132953	0.0740863221948361	0.207441702145541	266
heldout_common	Hypoxia	-1.01965127538345	0.307928556279374	0.431099978791124	285
heldout_common	JAK-STAT	-2.24348063754788	0.0248964867427106	0.0871377035994871	212
heldout_common	MAPK	4.38809017958751	1.16001374431787e-05	0.000162401924204502	268
heldout_common	NFkB	-0.657268118742292	0.511029798626091	0.59620143173044	190
heldout_common	PI3K	-1.27678884179588	0.201718485787967	0.431099978791124	228
heldout_common	TGFb	1.10081020451866	0.271016519940213	0.431099978791124	139
heldout_common	TNFa	-1.12606901664768	0.260174297875048	0.431099978791124	197
heldout_common	Trail	0.0103363767762821	0.991753201285187	0.991753201285187	125
heldout_common	VEGF	-0.692037472420715	0.488936385632437	0.59620143173044	150
heldout_common	WNT	1.06047396455449	0.288965035227175	0.431099978791124	163
heldout_common	p53	-0.389637752440699	0.69681609706515	0.750417335300931	186
