gene	expected_direction	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_q_bh_candidates	pxd017269_detection_fraction	detected_in_nine_patient_dvp	public_protein_evidence_tier	n_pairs	median_adenoma_minus_normal_log2	paired_positive_fraction	p_paired_wilcoxon	q_value_bh_within_analysis_set	primary_tissue_anchor	evidence_role
CA2	-1	-3.438932504204696	-3.860912808275266	-3.016952200134126	8.311033567048068e-56	1.0	True	A_directional_protein_replication_and_ffpe_detectability						True	primary_down_arm_protein_anchor
OLFM4	1	3.443250350112641	1.6435634852588064	5.242937214966476	0.0009287499343529	0.8305084745762712	True	A_directional_protein_replication_and_ffpe_detectability	18.0	0.8958347616454312	0.9444444444444444	0.0002517700195312	0.0031890869140625	True	primary_up_arm_protein_anchor
FABP1	-1	-0.3121837446673254	-1.187980640437467	0.5636131511028164	0.5502857057619663	1.0	True	B_directional_support_and_ffpe_detectability	21.0	-0.852335930376335	0.3333333333333333	0.0384378433227539	0.12060546875	False	complementary_down_arm_paired_support
