scope	cohort	n	spearman_rho_reduced_vs_100_gene	p_value
Chen	discovery	60	0.9401500416782442	8.438922502811152e-29
Chen	validation	57	0.9414700544464611	1.2064216349822384e-27
external_sporadic	GSE8671	64	0.9130494505494504	7.818243313339069e-26
external_sporadic	GSE50114	46	0.9072463768115941	3.700351834151885e-18
external_sporadic	GSE41657	88	0.8338381881582193	6.570150214903414e-24
external_sporadic	GSE40362	24	0.9278260869565217	6.813599004239959e-11
external_sporadic	GSE72820	14	0.9516483516483516	1.6616136985679422e-07
FFPE	GSE117606	208	0.9457895270252249	1.4317988065975238e-102
