dataset	feature	comparison	expected_direction	n_units	mean_difference	median_difference	sd_difference	paired_dz	bootstrap_mean_ci_low	bootstrap_mean_ci_high	min_difference	max_difference	n_positive	n_negative	p_exact_sign_two_sided	n_expected_direction	direction_matches_expected
GSE125472	route_score	APC_vs_WT_with_Wnt	1	3	0.7238221440508893	1.1443152898832807	1.058379342106509	0.6838967043803544	-0.4801829345037696	1.5073340767731567	-0.4801829345037696	1.5073340767731567	2	1	1.0	2.0	1.0
GSE125472	route_score	APC_vs_WT_without_Wnt	1	3	2.539835751148025	2.780530211350742	1.7115870326061773	1.4839068669974094	0.7206419114887547	4.118335130604578	0.7206419114887547	4.118335130604578	3	0	0.25	3.0	1.0
GSE125472	route_score	WT_withdrawal	-1	3	-1.988913057985721	-1.6129920682365833	0.8398767370054211	-2.3681011395519618	-2.951086372737612	-1.4026607329829677	-2.951086372737612	-1.4026607329829677	0	3	0.25	3.0	1.0
GSE125472	route_score	APC_withdrawal	0	3	-0.1728994508885853	-0.34008531890619054	0.35383947054691084	-0.48863811213978986	-0.4121672222440591	0.23355418848449372	-0.4121672222440591	0.23355418848449372	1	2	1.0		
GSE125472	route_score	genotype_by_Wnt_interaction	1	3	1.8160136070971358	1.6362149214674613	0.7220768032587268	2.5149867699689024	1.2008248459925241	2.6110010538314214	1.2008248459925241	2.6110010538314214	3	0	0.25	3.0	1.0
