dataset	n_adenoma	n_normal	auc	p_value	median_difference
discovery	13	34	0.8891402714932126	4.5285980412250304e-05	3.297388996579549
validation	14	30	0.9357142857142857	4.25405366603936e-06	3.550480653129206
