collection	gene_set	description	context	n_genes	direction	direction_sign	p_value	fdr	replicated	community_id	community_label
Hallmark 2026.1.Hs	HALLMARK_ANDROGEN_RESPONSE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANDROGEN_RESPONSE	discovery_GOB	75	Down	-1	0.00752855002594609	0.0418252779219227	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ANDROGEN_RESPONSE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANDROGEN_RESPONSE	discovery_common	75	Down	-1	0.034860491627903	0.102530857729127	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ANDROGEN_RESPONSE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANDROGEN_RESPONSE	heldout_TAC	68	Down	-1	0.165884738260193	0.331769476520386	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ANDROGEN_RESPONSE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANDROGEN_RESPONSE	heldout_common	68	Down	-1	0.00229500941326467	0.0110160451836704	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ANGIOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANGIOGENESIS	discovery_ABS	10	Up	1	0.643295284004762	0.751203993445016	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ANGIOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANGIOGENESIS	discovery_GOB	10	Up	1	0.580059713027165	0.725074641283956	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ANGIOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANGIOGENESIS	discovery_TAC	10	Up	1	0.161579022864354	0.315289126071628	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ANGIOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANGIOGENESIS	discovery_common	10	Up	1	0.427813828788439	0.648202770891574	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	heldout_ABS	83	Down	-1	0.077802104310353	0.138314852107294	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	heldout_GOB	83	Down	-1	0.435297889607089	0.553159404685478	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	heldout_TAC	83	Up	1	0.422861056830134	0.579923735081327	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	discovery_GOB	88	Down	-1	0.477703378851798	0.646745932022807	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	discovery_common	88	Up	1	0.665248214213279	0.811278310016194	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	heldout_common	83	Down	-1	0.498175140818379	0.664233521091172	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	discovery_ABS	88	Down	-1	0.646035434362713	0.751203993445016	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_JUNCTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION	discovery_TAC	88	Up	1	0.0760425069832974	0.206083503311686	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	discovery_GOB	21	Up	1	0.40398165679642	0.612093419388516	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	heldout_TAC	18	Up	1	0.862278996576356	0.910404123243023	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	discovery_common	21	Up	1	0.66129358647418	0.811278310016194	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	heldout_GOB	18	Up	1	0.652273828652807	0.695758750562994	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	discovery_ABS	21	Up	1	0.88917459819327	0.961713978309776	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	discovery_TAC	21	Up	1	0.792775671250195	0.870867888245225	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	heldout_common	18	Down	-1	0.857338954357579	0.894614561068779	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APICAL_SURFACE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE	heldout_ABS	18	Down	-1	0.540197401052537	0.682354611855836	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	discovery_GOB	84	Down	-1	0.0751424023339913	0.172542867512198	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	heldout_GOB	78	Down	-1	0.0223725418237191	0.071592133835901	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	heldout_TAC	78	Up	1	0.79704854642111	0.895435941318232	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	discovery_TAC	84	Up	1	0.949730796783434	0.949730796783434	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	heldout_common	78	Down	-1	0.0297345888619238	0.10194716181231	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	discovery_ABS	84	Down	-1	0.136592203696287	0.262677314800553	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	discovery_common	84	Down	-1	0.240000178256499	0.444444774549071	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_APOPTOSIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS	heldout_ABS	78	Down	-1	0.0055424573605693	0.0190027109505233	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	heldout_TAC	43	Down	-1	0.0145579666947306	0.0776424890385631	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	discovery_TAC	53	Down	-1	0.00285336003602277	0.0217685605388287	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	heldout_common	43	Down	-1	9.56102739746307e-05	0.000764882191797046	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	discovery_ABS	53	Down	-1	0.00951133390614019	0.0339690496647864	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	discovery_common	53	Down	-1	0.00326841842584297	0.0204276151615186	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	heldout_ABS	43	Down	-1	2.63372441133832e-05	0.000210697952907065	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	heldout_GOB	43	Down	-1	0.00341721039342169	0.0172582085165967	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	discovery_GOB	53	Down	-1	0.0132905657213237	0.0604116623696532	TRUE	2	HALLMARK_BILE_ACID_METABOLISM
