cell_type	n_genes	n_specimens	n_donors	contamination_fraction_min	contamination_fraction_median	contamination_fraction_max	elapsed_seconds
ABS	1843	49	27	0.058252427184466	0.130434782608696	0.337837837837838	138.574759721756
GOB	1843	44	26	0.0531400966183575	0.133016364440513	0.377049180327869	159.476372003555
TAC	1843	41	25	0	0.152941176470588	0.381818181818182	130.422201871872
