outcome	omitted_study	state	term	estimable	n_observations	n_donors	n_target_observations	n_target_donors	n_reference_observations	n_reference_donors	coef	se_cluster	ci_low	ci_high	p_value
score__ca_route_signature	Chen_2021_Cell	tumor_cancer	carrier_group_tumor_cancer	True	457	299	213	213	150	150	0.5406309608157995	0.0314167477249992	0.478804167717418	0.602457753914181	1.4599248607948061e-46
score__ca_route_signature	Chen_2021_Cell	metastasis_epithelial	carrier_group_metastasis_epithelial	True	457	299	5	5	150	150	0.5209680414800437	0.1048077621851731	0.3147109239563609	0.7272251590037264	1.1273703010120736e-06
score__ca_route_signature	Chen_2021_Cell	metastasis_cancer	carrier_group_metastasis_cancer	True	457	299	50	50	150	150	0.5126198869404437	0.071215844517655	0.3724702023562586	0.6527695715246288	4.987644723718797e-12
score__ca_route_signature	Chen_2024_Cancer_Cell	polyp_epithelial	carrier_group_polyp_epithelial	True	623	378	89	89	174	174	0.4097049167786701	0.0526654755110616	0.3061500358363677	0.5132597977209725	7.057145172899313e-14
score__ca_route_signature	Chen_2024_Cancer_Cell	polyp_cancer	carrier_group_polyp_cancer	True	623	378	82	82	174	174	0.796568418057781	0.0674900363846975	0.6638643531122155	0.9292724830033464	1.4203563816657803e-27
score__ca_route_signature	Chen_2024_Cancer_Cell	tumor_epithelial	carrier_group_tumor_epithelial	True	623	378	26	26	174	174	0.6836430148648912	0.0400878130179063	0.6048192946948406	0.7624667350349418	9.633084284388536e-49
score__ca_route_signature	Chen_2024_Cancer_Cell	tumor_cancer	carrier_group_tumor_cancer	True	623	378	197	197	174	174	0.6012399745842155	0.0362386005971528	0.5299848699081813	0.6724950792602498	8.327600049759208e-47
score__ca_route_signature	Chen_2024_Cancer_Cell	metastasis_epithelial	carrier_group_metastasis_epithelial	True	623	378	5	5	174	174	0.592657589235783	0.1160168160704713	0.3645364632248867	0.8207787152466793	5.171619368106437e-07
score__ca_route_signature	Chen_2024_Cancer_Cell	metastasis_cancer	carrier_group_metastasis_cancer	True	623	378	50	50	174	174	0.6048426935086237	0.0749534018207733	0.4574635893336223	0.7522217976836252	9.535934515972861e-15
score__ca_route_signature	Conde_2022_Science	polyp_epithelial	carrier_group_polyp_epithelial	True	668	396	89	89	192	192	0.400472872453821	0.0527199559357799	0.2968260787844748	0.5041196661231672	2.2301067889490561e-13
score__ca_route_signature	Conde_2022_Science	polyp_cancer	carrier_group_polyp_cancer	True	668	396	82	82	192	192	0.7873899577826309	0.0674394079854849	0.6548048999884051	0.9199750155768568	2.9248858307671297e-27
score__ca_route_signature	Conde_2022_Science	tumor_epithelial	carrier_group_tumor_epithelial	True	668	396	33	33	192	192	0.6132927977209068	0.0373333624261964	0.5398958601915117	0.686689735250302	1.3678709691113395e-46
score__ca_route_signature	Conde_2022_Science	tumor_cancer	carrier_group_tumor_cancer	True	668	396	217	217	192	192	0.558054295388114	0.0335594429073027	0.4920768378403784	0.6240317529358497	1.8989880475627202e-47
score__ca_route_signature	Conde_2022_Science	metastasis_epithelial	carrier_group_metastasis_epithelial	True	668	396	5	5	192	192	0.5563231295541021	0.1145284240146892	0.3311616376214122	0.781484621486792	1.7165870395558623e-06
score__ca_route_signature	Conde_2022_Science	metastasis_cancer	carrier_group_metastasis_cancer	True	668	396	50	50	192	192	0.5653556199613328	0.0734075997537585	0.4210371695683184	0.7096740703543472	1.0925614840113533e-13
score__ca_route_signature	Elmentaite_2021_Nature	polyp_epithelial	carrier_group_polyp_epithelial	True	663	391	89	89	187	187	0.403816657318533	0.0526606760796472	0.3002823277554611	0.5073509868816048	1.4035355456680106e-13
score__ca_route_signature	Elmentaite_2021_Nature	polyp_cancer	carrier_group_polyp_cancer	True	663	391	82	82	187	187	0.790519582185783	0.0675437272757301	0.6577242016421132	0.9233149627294528	2.5318624347413045e-27
score__ca_route_signature	Elmentaite_2021_Nature	tumor_epithelial	carrier_group_tumor_epithelial	True	663	391	33	33	187	187	0.6115408953221165	0.0374034297235871	0.5380033088708146	0.6850784817734185	3.9018996625834745e-46
score__ca_route_signature	Elmentaite_2021_Nature	tumor_cancer	carrier_group_tumor_cancer	True	663	391	217	217	187	187	0.5591846365834463	0.0335548839222562	0.4932135426080655	0.6251557305588271	1.809004511566699e-47
score__ca_route_signature	Elmentaite_2021_Nature	metastasis_epithelial	carrier_group_metastasis_epithelial	True	663	391	5	5	187	187	0.5581554655286639	0.1159147391276419	0.3302595155429955	0.7860514155143323	2.107373907324119e-06
