analysis_id	unit	outcome	predictor	n_samples_before_aggregation	n_patients	spearman_rho	p_value_asymptotic	p_value_patient_permutation	n_permutations	seed	q_value_patient_permutation
locked_route__wnt_tss	patient_median	rna_epi__ca_route_signature	atac_tss__wnt_stem	40	12	0.8671328671328673	0.0002598118498614	0.0003199968000319	100000	20260710	0.0012799872001279
locked_route__wnt_tss_minus_housekeeping	patient_median	rna_epi__ca_route_signature	atac_contrast__wnt_stem_minus_housekeeping	40	12	0.7832167832167832	0.0025862148333625	0.0032999670003299	100000	20260710	0.0065999340006599
locked_route__wnt_tcf_ascl2_axis	patient_median	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	40	12	0.6783216783216784	0.0153173290532817	0.0190898091019089	100000	20260710	0.0190898091019089
locked_route__wnt_tcf_ascl2_axis_minus_housekeeping	patient_median	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	40	12	0.7412587412587414	0.0058011504744782	0.0076099239007609	100000	20260710	0.0101465652010146
