cohort	signature_size_per_direction	n_samples	n_patient_clusters	proliferation_genes_present	route_proliferation_spearman_rho	adjusted_adenoma_coef_sd	adjusted_se_patient_cluster	adjusted_ci_low	adjusted_ci_high	adjusted_p_value	proliferation_coef_sd	proliferation_p_value	condition_number
GSE8671	50	64	32	8	0.7706959706959706	1.7301195529565936	0.1047046474137386	1.516573016656079	1.9436660892571085	6.388378069865073e-17	0.1040116092874169	0.0700486739957269	5.271180490279941
GSE50114	50	46	43	7	0.5247610237434475	1.9435609617159133	0.2117930533406146	1.5161452759851684	2.3709766474466587	1.3675201889726292e-11	0.1689570287476858	0.1259549423496234	5.654746865502336
GSE41657	50	63	63	7	0.4531009984639017	2.12613815546572	0.1295338553903961	1.8672036680487976	2.3850726428826423	3.021076825192609e-24	0.1346457965569323	0.0722780687268293	4.600046425403701
GSE40362	50	16	16	8	-0.0764705882352941	1.9924464400357755	0.1724103559564206	1.6249624651826635	2.359930414888887	7.220511839952339e-09	0.2296836710957494	0.0214140700345981	2.932580216702133
GSE72820	50	14	7	8	0.4461538461538462	0.6189873723882884	0.4529129831654921	-0.4892507736567806	1.7272255184333574	0.2207210288868907	0.419440643798789	0.1273394973435637	2.6521522317728343
