analysis_id	model	outcome	predictor	covariates	n_samples	n_patients	coef	se_patient_cluster	ci_low	ci_high	p_value	r_squared	q_value
locked_route__wnt_tss	patient_fixed_effects_with_patient_clustered_se	rna_epi__ca_route_signature	atac_tss__wnt_stem	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.4114582139820982	0.1537707771404463	0.0730110154402172	0.7499054125239791	0.0215698136388462	0.8876285399606474	0.0287597515184616
locked_route__wnt_tss_minus_housekeeping	patient_fixed_effects_with_patient_clustered_se	rna_epi__ca_route_signature	atac_contrast__wnt_stem_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.1850875872688126	0.0979215577237331	-0.0304363081341806	0.4006114826718059	0.0853590418335529	0.8717435085917125	0.0853590418335529
locked_route__wnt_tcf_ascl2_axis	patient_fixed_effects_with_patient_clustered_se	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.4907613881974097	0.1344000633329546	0.1949488432862002	0.7865739331086192	0.0038107579152071	0.9042361015177413	0.0103693595558013
locked_route__wnt_tcf_ascl2_axis_minus_housekeeping	patient_fixed_effects_with_patient_clustered_se	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.2142944963128931	0.0616493955268066	0.0786050916297719	0.3499839009960144	0.0051846797779006	0.8800226907743917	0.0103693595558013
