subset	analysis_id	description	rna_feature	atac_feature	n	residual_spearman_rho	p_value	covariates	q_value
normal_polyp	rna_epi_wnt_stem__atac_wnt_stem	Curated epithelial RNA WNT/stem versus WNT/stem TSS accessibility	rna_epi__wnt_stem	atac_tss__wnt_stem	40	0.5587242026266417	0.0001789412814516	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0003578825629033
normal_polyp	rna_epi_wnt_core_ihc__atac_wnt_core_ihc	FFPE-bridge RNA WNT core versus WNT core TSS accessibility	rna_epi__wnt_core_ihc	atac_tss__wnt_core_ihc	40	0.726078799249531	1.1428224026702386e-07	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	2.057080324806429e-06
normal_polyp	rna_epi_ca_route__atac_wnt_stem	Data-driven conventional adenoma RNA route versus WNT/stem TSS accessibility	rna_epi__ca_route_signature	atac_tss__wnt_stem	40	0.627204502814259	1.4848827940459326e-05	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	4.454648382137798e-05
normal_polyp	rna_epi_ca_route__atac_wnt_minus_housekeeping	Data-driven conventional adenoma RNA route versus housekeeping-adjusted WNT/stem accessibility	rna_epi__ca_route_signature	atac_contrast__wnt_stem_minus_housekeeping	40	0.5791744840525329	9.017093256635202e-05	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0002028845982742
normal_polyp	rna_epi_wnt_stem__atac_wnt_tcf_ascl2_axis	Curated epithelial RNA WNT/stem versus WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__wnt_stem	atac_tf__wnt_tcf_ascl2_axis	40	0.1324577861163227	0.4152032630796491	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.4671036709646052
normal_polyp	rna_epi_ca_route__atac_wnt_tcf_ascl2_axis	Data-driven conventional adenoma RNA route versus WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	40	0.4065666041275798	0.0092318844372557	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0118695657050431
normal_polyp	rna_epi_ca_route__atac_wnt_tcf_ascl2_minus_housekeeping	Data-driven conventional adenoma RNA route versus housekeeping-adjusted WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	40	0.5045028142589119	0.0009015910675846	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0016228639216523
normal_polyp	rna_epi_antigen_ifn__atac_antigen_ifn	RNA antigen-presentation/IFN versus antigen-presentation/IFN TSS accessibility	rna_epi__antigen_presentation_ifn	atac_tss__antigen_presentation_ifn	40	0.4791744840525329	0.0017586446356009	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0026379669534013
normal_polyp	rna_epi_proliferation__atac_proliferation	RNA proliferation-control versus proliferation-control TSS accessibility	rna_epi__proliferation_control	atac_tss__proliferation_control	40	-0.0167060003338462	0.9185069342730664	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.9185069342730664
fap_normal_polyp	rna_epi_wnt_stem__atac_wnt_stem	Curated epithelial RNA WNT/stem versus WNT/stem TSS accessibility	rna_epi__wnt_stem	atac_tss__wnt_stem	36	0.6283140283140284	4.078009422016952e-05	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0001048630994232
fap_normal_polyp	rna_epi_wnt_core_ihc__atac_wnt_core_ihc	FFPE-bridge RNA WNT core versus WNT core TSS accessibility	rna_epi__wnt_core_ihc	atac_tss__wnt_core_ihc	36	0.7235521235521236	6.162917349580604e-07	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	5.546625614622544e-06
fap_normal_polyp	rna_epi_ca_route__atac_wnt_stem	Data-driven conventional adenoma RNA route versus WNT/stem TSS accessibility	rna_epi__ca_route_signature	atac_tss__wnt_stem	36	0.6589446589446589	1.2438322131208793e-05	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	4.454648382137798e-05
fap_normal_polyp	rna_epi_ca_route__atac_wnt_minus_housekeeping	Data-driven conventional adenoma RNA route versus housekeeping-adjusted WNT/stem accessibility	rna_epi__ca_route_signature	atac_contrast__wnt_stem_minus_housekeeping	36	0.6638352638352639	1.0162484594975323e-05	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	4.454648382137798e-05
fap_normal_polyp	rna_epi_wnt_stem__atac_wnt_tcf_ascl2_axis	Curated epithelial RNA WNT/stem versus WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__wnt_stem	atac_tf__wnt_tcf_ascl2_axis	36	0.2113256113256113	0.2159995331831926	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.2591994398198312
fap_normal_polyp	rna_epi_ca_route__atac_wnt_tcf_ascl2_axis	Data-driven conventional adenoma RNA route versus WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	36	0.4684684684684685	0.003956077539339	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0054776458237002
fap_normal_polyp	rna_epi_ca_route__atac_wnt_tcf_ascl2_minus_housekeeping	Data-driven conventional adenoma RNA route versus housekeeping-adjusted WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	36	0.6553410553410555	1.440205563039799e-05	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	4.454648382137798e-05
fap_normal_polyp	rna_epi_antigen_ifn__atac_antigen_ifn	RNA antigen-presentation/IFN versus antigen-presentation/IFN TSS accessibility	rna_epi__antigen_presentation_ifn	atac_tss__antigen_presentation_ifn	36	0.5173745173745173	0.0012321205417583	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.0020161972501499
fap_normal_polyp	rna_epi_proliferation__atac_proliferation	RNA proliferation-control versus proliferation-control TSS accessibility	rna_epi__proliferation_control	atac_tss__proliferation_control	36	0.0894823696051422	0.6037681256723607	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	0.6392838977707349
