signature_size_per_direction	excluded_cohort	n_samples	n_patient_clusters	n_cohorts	adenoma_coef_sd	se_patient_cluster	ci_low	ci_high	p_value	r_squared
10	__NONE__	203	161	5	1.872199292744109	0.0770083638317409	1.7201153548796946	2.024283230608523	1.337613294171172e-55	0.7161337894120638
20	__NONE__	203	161	5	1.9049465340559064	0.077504627869776	1.7518825235686042	2.058010544543208	3.365147855996059e-56	0.74140514183275
30	__NONE__	203	161	5	1.9154608164096487	0.0777052118131385	1.7620006723796888	2.0689209604396086	2.324083458748368e-56	0.7496120451914885
50	__NONE__	203	161	5	1.924521013305084	0.078369896999498	1.7697481814636733	2.079293845146495	3.7615526746102403e-56	0.7567201990068972
