signature_size_per_direction	excluded_cohort	n_samples	n_patient_clusters	n_cohorts	covariates	adenoma_coef_sd	se_patient_cluster	ci_low	ci_high	p_value	proliferation_coef_sd	proliferation_p_value	r_squared	condition_number
50	GSE8671	139	129	4	cohort fixed effects + proliferation control	1.805699526273585	0.1265594901064369	1.5552799524296383	2.056119100117532	3.1365201176015203e-28	0.2000021247476143	0.000349302322329	0.7176929091190549	8.764584660246866
50	GSE50114	157	118	4	cohort fixed effects + proliferation control	1.7042030188154182	0.1142391789465485	1.4779583111951626	1.9304477264356736	7.732933080139512e-29	0.1672276802668564	0.0027201018910808	0.7758785164954101	8.926250652116293
50	GSE41657	140	98	4	cohort fixed effects + proliferation control	1.5835329665576656	0.1291971180301135	1.327112450837114	1.839953482278217	2.0233972334408037e-21	0.2119784950058105	0.0007726660140055	0.7877481247291025	8.366424226930326
50	GSE40362	187	145	4	cohort fixed effects + proliferation control	1.708429832602611	0.1289994148672238	1.4534528056693394	1.963406859535883	1.0968886638956948e-26	0.1811580361811326	0.002603898176928	0.7695993510912046	6.5378548349315135
50	GSE72820	189	154	4	cohort fixed effects + proliferation control	1.8932655881774785	0.0737233815348688	1.7476183896277544	2.038912786727202	2.4048366175809365e-57	0.1272675196025732	0.0021071401453294	0.8412686287244622	9.560198761811042
