analysis_id	model	outcome	predictor	covariates	n_samples	n_patients	coef	se_patient_cluster	ci_low	ci_high	p_value	r_squared	q_value
locked_route__wnt_tss	patient_clustered_se	rna_epi__ca_route_signature	atac_tss__wnt_stem	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.5127311839952204	0.1249018132697162	0.237824146520038	0.7876382214704027	0.0017443048469497	0.7339602655511088	0.0030302278948909
locked_route__wnt_tss_minus_housekeeping	patient_clustered_se	rna_epi__ca_route_signature	atac_contrast__wnt_stem_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.2664107993359128	0.0686433810923737	0.1153277362130832	0.4174938624587424	0.0025585757354314	0.7079926102077386	0.0030302278948909
locked_route__wnt_tcf_ascl2_axis	patient_clustered_se	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.3730524773117094	0.098607699904312	0.1560183931515489	0.5900865614718698	0.0030302278948909	0.6316503435341134	0.0030302278948909
locked_route__wnt_tcf_ascl2_axis_minus_housekeeping	patient_clustered_se	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	12	0.245458266702551	0.0547729185532549	0.1249038857919289	0.3660126476131731	0.0009292843549622	0.6592120692550676	0.0030302278948909
