subset	analysis_id	description	rna_feature	atac_feature	n	spearman_rho	p_spearman	pearson_r	p_pearson	q_spearman	q_pearson
normal_polyp	rna_epi_antigen_ifn__atac_antigen_ifn	RNA antigen-presentation/IFN versus antigen-presentation/IFN TSS accessibility	rna_epi__antigen_presentation_ifn	atac_tss__antigen_presentation_ifn	40	0.5744840525328331	0.000105944708663	0.5391120429149749	0.0003315186277115	0.0001243698753871	0.0004068637703732
normal_polyp	rna_epi_proliferation__atac_proliferation	RNA proliferation-control versus proliferation-control TSS accessibility	rna_epi__proliferation_control	atac_tss__proliferation_control	40	-0.0506566604127579	0.7562408716231669	0.0794520742163683	0.6260199259708654	0.7853270589932887	0.6260199259708654
fap_normal_polyp	rna_epi_wnt_stem__atac_wnt_stem	Curated epithelial RNA WNT/stem versus WNT/stem TSS accessibility	rna_epi__wnt_stem	atac_tss__wnt_stem	36	0.8404118404118405	1.43944424010538e-10	0.8216196595615379	8.191845272670875e-10	7.772998896569054e-10	7.372660745403788e-09
fap_normal_polyp	rna_epi_wnt_core_ihc__atac_wnt_core_ihc	FFPE-bridge RNA WNT core versus WNT core TSS accessibility	rna_epi__wnt_core_ihc	atac_tss__wnt_core_ihc	36	0.810810810810811	2.037426810462209e-09	0.7938877952473365	7.5981280451236e-09	6.876315485309957e-09	3.3500776598398924e-08
fap_normal_polyp	rna_epi_ca_route__atac_wnt_stem	Data-driven conventional adenoma RNA route versus WNT/stem TSS accessibility	rna_epi__ca_route_signature	atac_tss__wnt_stem	36	0.8803088803088804	1.4923897233318486e-12	0.7920754729231643	8.685386525510831e-09	2.014726126497996e-11	3.3500776598398924e-08
fap_normal_polyp	rna_epi_ca_route__atac_wnt_minus_housekeeping	Data-driven conventional adenoma RNA route versus housekeeping-adjusted WNT/stem accessibility	rna_epi__ca_route_signature	atac_contrast__wnt_stem_minus_housekeeping	36	0.8337194337194338	2.7403361468629037e-10	0.7740198137215487	3.0760887284589406e-08	1.1980049185409826e-09	1.0381799458548925e-07
fap_normal_polyp	rna_epi_wnt_stem__atac_wnt_tcf_ascl2_axis	Curated epithelial RNA WNT/stem versus WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__wnt_stem	atac_tf__wnt_tcf_ascl2_axis	36	0.6877734877734878	3.5752961992801678e-06	0.6668793646049006	8.944657288863837e-06	4.8266498690282266e-06	1.271082877891177e-05
fap_normal_polyp	rna_epi_ca_route__atac_wnt_tcf_ascl2_axis	Data-driven conventional adenoma RNA route versus WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	36	0.7016731016731017	1.861418151289042e-06	0.6604458521006747	1.169476213887766e-05	2.6451731623581123e-06	1.578792888748484e-05
fap_normal_polyp	rna_epi_ca_route__atac_wnt_tcf_ascl2_minus_housekeeping	Data-driven conventional adenoma RNA route versus housekeeping-adjusted WNT/TCF/ASCL2 promoter-axis accessibility	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	36	0.7297297297297298	4.425924362890378e-07	0.7157181836547837	9.26263852174006e-07	7.029409282237658e-07	1.4711249416881272e-06
fap_normal_polyp	rna_epi_antigen_ifn__atac_antigen_ifn	RNA antigen-presentation/IFN versus antigen-presentation/IFN TSS accessibility	rna_epi__antigen_presentation_ifn	atac_tss__antigen_presentation_ifn	36	0.5639639639639641	0.0003408238379956	0.5587359593980047	0.0003974494930787	0.0003834268177451	0.000466571144049
fap_normal_polyp	rna_epi_proliferation__atac_proliferation	RNA proliferation-control versus proliferation-control TSS accessibility	rna_epi__proliferation_control	atac_tss__proliferation_control	36	-0.4025740025740026	0.0149250990394935	-0.3568352905280054	0.0326514682971124	0.0161191069626529	0.0352635857608814
