analysis	outcome	term	n_observations	n_clusters	cluster_unit	coef	se_cluster	ci_low	ci_high	p_value	r_squared	q_value_within_outcome
CRC Atlas donor-carrier transfer	ca_route_signature	carrier_group_polyp_epithelial	670	398	donor_id	0.400187424464172	0.0527588839904353	0.2964657045919356	0.5039091443364084	2.380052299880751e-13	0.5797048371233346	9.34930518225581e-13
CRC Atlas donor-carrier transfer	ca_route_signature	carrier_group_polyp_cancer	670	398	donor_id	0.7871227919719195	0.0674767482727811	0.6544663774899977	0.9197792064538411	3.077343978190679e-27	0.5797048371233346	4.103125304254239e-26
CRC Atlas donor-carrier transfer	ca_route_signature	carrier_group_tumor_epithelial	670	398	donor_id	0.6134423519051714	0.0373530060471578	0.5400079322098716	0.6868767716004711	1.2755085739739196e-46	0.5797048371233346	2.5510171479478392e-45
CRC Atlas donor-carrier transfer	ca_route_signature	carrier_group_tumor_cancer	670	398	donor_id	0.5579578018531288	0.0335833374771916	0.4919343900839273	0.6239812136223303	1.947359648260968e-47	0.5797048371233346	7.789438593043873e-46
CRC Atlas donor-carrier transfer	ca_route_signature	carrier_group_metastasis_epithelial	670	398	donor_id	0.5561667090182544	0.1144926326758017	0.3310790673617848	0.7812543506747239	1.712286727562704e-06	0.5797048371233346	3.424573455125408e-06
CRC Atlas donor-carrier transfer	ca_route_signature	carrier_group_metastasis_cancer	670	398	donor_id	0.5648641113599904	0.0734465218932946	0.4204713760855397	0.709256846634441	1.164417006785437e-13	0.5797048371233346	5.175186696824165e-13
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Che_2021_Cell_Discov	670	398	donor_id	-0.0601963218806946	0.1282086978907564	-0.3122491638289816	0.1918565200675924	0.6389570184536066	0.5797048371233346	0.6389570184536066
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Chen_2021_Cell	670	398	donor_id	-0.2808496934291546	0.0557358631818568	-0.3904240276556686	-0.1712753592026407	7.12441557192032e-07	0.5797048371233346	1.6763330757459575e-06
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Chen_2024_Cancer_Cell	670	398	donor_id	-0.0321330725228526	0.0452344282060782	-0.1210620326544241	0.0567958876087189	0.4778932790072323	0.5797048371233346	0.4901469528279306
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Conde_2022_Science	670	398	donor_id	-0.7507027684219109	0.099119062412315	-0.945566625424509	-0.5558389114193127	2.571058925120348e-13	0.5797048371233346	9.34930518225581e-13
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Elmentaite_2021_Nature	670	398	donor_id	-0.3287358249960483	0.1277078245651906	-0.5798039713094688	-0.0776676786826279	0.0104110870728967	0.5797048371233346	0.0148729815327095
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_GarridoTrigo_2023_Nat_Commun	670	398	donor_id	0.1783821439656196	0.0726311264617695	0.0355924413965061	0.3211718465347331	0.0144767825708731	0.5797048371233346	0.019967975959825
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Giguelay_2022_Theranostics	670	398	donor_id	-0.2717406902291541	0.0802988917449386	-0.42960489291262	-0.1138764875456881	0.0007851611273366	0.5797048371233346	0.0013086018788944
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Guo_2022_JCI_Insight	670	398	donor_id	-0.2235630141787064	0.1082653831185982	-0.4364081483123887	-0.0107178800450241	0.0395761413266356	0.5797048371233346	0.0510659888085621
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_He_2020_Genome_Biol	670	398	donor_id	0.2943159979860927	0.0336469190929764	0.2281675874670569	0.3604644085051284	6.295993389108593e-17	0.5797048371233346	3.597710508062053e-16
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_James_2020_Nat_Immunol	670	398	donor_id	-0.3866981998046899	0.1486531433074765	-0.6789439510806401	-0.0944524485287397	0.0096329700984357	0.5797048371233346	0.0142710668124974
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Ji_2024_Cancer_Lett	670	398	donor_id	0.2233815082030391	0.0462436166902476	0.1324685264747961	0.3142944899312821	1.947974726026557e-06	0.5797048371233346	3.710428049574394e-06
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Ji_2024_PLoS_Genet	670	398	donor_id	-0.5115779930405409	0.0983386417608415	-0.7049075762664357	-0.3182484098146459	3.162811606999113e-07	0.5797048371233346	7.907029017497782e-07
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Joanito_2022_Nat_Genet	670	398	donor_id	-0.5031999590958874	0.0558548854302881	-0.6130082859957984	-0.3933916321959764	8.836273089269516e-18	0.5797048371233346	5.890848726179676e-17
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Khaliq_2022_Genome_Biol	670	398	donor_id	0.0698441271608131	0.0624046862776925	-0.0528408293667558	0.1925290836883821	0.2637260422328137	0.5797048371233346	0.3014011911232157
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Kong_2023_Immunity	670	398	donor_id	-0.1532757773609903	0.0574454190696776	-0.2662110256836901	-0.0403405290382904	0.00793833246815	0.5797048371233346	0.0122128191817693
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Lee_2020_Nat_Genet	670	398	donor_id	-0.305016541391814	0.0536733965073111	-0.410536153939571	-0.199496928844057	2.5679332888667344e-08	0.5797048371233346	6.847822103644626e-08
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Li_2023_Cancer_Cell	670	398	donor_id	-0.3752592189300726	0.0466041555391588	-0.4668810046864031	-0.283637433173742	9.579613064005721e-15	0.5797048371233346	4.7898065320028605e-14
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Liu_2024_Cancer_Res	670	398	donor_id	-0.1402484671897765	0.1051829144409586	-0.347033599130178	0.0665366647506249	0.1831727129623991	0.5797048371233346	0.2220275308635141
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_MUI_Innsbruck	670	398	donor_id	0.0597611830789456	0.0532983235391786	-0.0450210519810816	0.164543418138973	0.2628557274188303	0.5797048371233346	0.3014011911232157
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Parikh_2019_Nature	670	398	donor_id	-0.5875481594359545	0.0861278761125496	-0.7568718972344278	-0.4182244216374812	3.3675686640425504e-11	0.5797048371233346	1.1225228880141836e-10
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Pelka_2021_Cell	670	398	donor_id	-0.402083988775625	0.0444491679212706	-0.4894691606173917	-0.3146988169338582	6.682023749433268e-18	0.5797048371233346	5.345618999546614e-17
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Qi_2022_Nat_Commun	670	398	donor_id	-0.3098385866841824	0.0713624892538744	-0.4501342025110396	-0.1695429708573253	1.7963267057334323e-05	0.5797048371233346	3.266048555878968e-05
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Qian_2020_Cell_Res	670	398	donor_id	-0.293930056553311	0.0706267260674361	-0.4327791932785652	-0.1550809198280567	3.875022930111903e-05	0.5797048371233346	6.739170313238091e-05
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Sathe_2023_Clin_Cancer_Res	670	398	donor_id	-0.1026242215569596	0.0957887721991873	-0.2909408697777739	0.0856924266638546	0.2846586330317398	0.5797048371233346	0.3162873700352664
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Smillie_2019_Cell	670	398	donor_id	-0.5896216781816879	0.0589651595303799	-0.7055446715516871	-0.4736986848116886	3.81223830697266e-21	0.5797048371233346	3.812238306972659e-20
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Tian_2023_Nat_Med	670	398	donor_id	-0.2357524755416851	0.0834580684431424	-0.3998274851212445	-0.0716774659621257	0.004969669956765	0.5797048371233346	0.007951471930824
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Uhlitz_2021_EMBO_Mol_Med	670	398	donor_id	-0.4245938854268133	0.0714350451180301	-0.5650321429937499	-0.2841556278598767	6.102542414406219e-09	0.5797048371233346	1.7435835469732052e-08
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Wang_2020_J_Exp_Med	670	398	donor_id	-0.0601000271462382	0.0594738873827683	-0.177023157816454	0.0568231035239775	0.3128578920939178	0.5797048371233346	0.3293240969409661
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Wang_2021_Adv_Sci	670	398	donor_id	0.3428112368085897	0.0503483301559123	0.2438285631528477	0.4417939104643317	3.652000784186993e-11	0.5797048371233346	1.1236925489806131e-10
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Wang_2023_Sci_Adv	670	398	donor_id	-0.1032623579294876	0.1003018167452442	-0.3004514595983676	0.0939267437393923	0.3038639214872511	0.5797048371233346	0.3285015367429742
CRC Atlas donor-carrier transfer	ca_route_signature	study_id_Yang_2023_Front_Oncol	670	398	donor_id	-0.2255095473230443	0.0456183277215104	-0.3151932375585725	-0.135825857087516	1.1347061604134506e-06	0.5797048371233346	2.5215692453632232e-06
