cohort	comparison	group_a	group_b	signature_size_per_direction	paired_primary	n_a	n_b	median_a	median_b	median_difference_a_minus_b	auc_a_vs_b	rank_biserial_a_vs_b	p_mannwhitney	n_pairs	median_paired_difference	p_paired_wilcoxon	paired_positive_fraction	primary_p_value	clustered_mean_difference	clustered_ci_low	clustered_ci_high	p_patient_clustered_ols	n_patient_clusters	clustered_standardized_mean_difference	clustered_standardized_ci_low	clustered_standardized_ci_high	p_patient_clustered_standardized_ols	q_value_bh
GSE41657	low_grade_vs_normal	low_grade	normal	50	False	21	12	0.0630260741038218	-2.2398428502015557	2.3028689243053773	0.996031746031746	0.992063492063492	3.1729359515255147e-06					1.6122595866286469e-15	2.36704542676067	2.031811470675178	2.7022793828461618	1.6122595866286469e-15	33	1.868633615534239	1.60398747383887	2.1332797572296074	1.6122595866286573e-15	2.4183893799429704e-15
GSE41657	high_grade_vs_normal	high_grade	normal	50	False	30	12	0.6134379610451027	-2.2398428502015557	2.853280811246658	1.0	1.0	5.802017763261463e-07					5.430582903652984e-24	2.9419627700644706	2.666478279786523	3.2174472603424182	5.430582903652984e-24	42	2.063168566896721	1.869974095915509	2.256363037877933	5.4305829036529484e-24	1.6291748710958954e-23
GSE41657	high_grade_vs_low_grade	high_grade	low_grade	50	False	30	21	0.6134379610451027	0.0630260741038218	0.5504118869412808	0.7761904761904762	0.5523809523809524	0.0008982025625828					0.000859905157705	0.5749173433038008	0.2492725184229957	0.900562168184606	0.000859905157705	51	0.9267071900904428	0.4018014725161543	1.4516129076647315	0.000859905157705	0.000859905157705
