gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
OBP2B	1.1172378e-05	-6.547416e-05	-0.0162745078559964	0.0169793170411139	0.498	0.996	-0.0021745674	0.9978952250698696	False	False	False	1.1172378e-05	False
ENSG00000257509	9.64338e-06	-0.00010213213	-0.0080446369946002	0.0098609161330386	0.456	0.912	-0.005638752	0.960783318223028	True	False	False	9.64338e-06	False
MAGEA2B	7.0242677e-06	-0.00038518794	-0.0048659697873517	0.006344731315039	0.44	0.88	-0.0028886434	0.9453057060886196	False	False	False	7.0242677e-06	False
MSC	-6.6752546e-06	0.00030022478	-0.0136577899567782	0.0129141269484534	0.478	0.956	-0.004448155	0.981246017483476	False	False	False	6.6752546e-06	False
IL17REL	5.490845e-06	-0.00043516804	-0.0221575445029884	0.0307385636027902	0.491	0.982	-0.0017795712	0.9921577069528978	False	False	False	5.490845e-06	False
ENSG00000269481	-4.277099e-06	-0.00069997716	-0.0268656392116099	0.0282753811217844	0.518	0.964	0.0038707478	0.9850168895357652	True	False	False	4.277099e-06	False
ENSG00000274029	3.3439937e-06	2.3104686e-08	-0.0155856469878926	0.0156433881260454	0.558	0.884	-7.567636e-05	0.9477897550111358	True	False	False	3.3439937e-06	False
ENSG00000258378	2.9522926e-07	0.00023878677	-0.013693970721215	0.0168035778217017	0.51	0.98	-0.005769603	0.9914747207877987	True	False	False	2.9522926e-07	False
SEMG2	-1.8533319e-07	-1.8376585e-07	-3.051601154879791e-07	-6.850778522249358e-08	0.999	0.002	-0.014601907	0.015846696449565	False	True	False	1.8533319e-07	False
RN7SL447P	-9.406358e-08	-9.2328065e-08	-1.5296589630509061e-07	-3.4059199016667214e-08	0.999	0.002	-0.007306675	0.015846696449565	False	True	False	9.406358e-08	False
ENSG00000228408	8.8941306e-08	8.692548e-08	3.34426082382322e-08	1.451605335489603e-07	0.999	0.002	-0.0071719973	0.015846696449565	True	True	False	8.8941306e-08	False
ENSG00000251126	7.543713e-08	7.280484e-08	2.4379232144156048e-08	1.310923572361844e-07	0.999	0.002	-0.0055069453	0.015846696449565	True	True	False	7.543713e-08	False
ENSG00000259617	7.4040145e-08	7.125503e-08	2.4993926750482843e-08	1.2754556166783004e-07	0.999	0.002	-0.0055431756	0.015846696449565	True	True	False	7.4040145e-08	False
RNU1-112P	-7.4040145e-08	-7.3189454e-08	-1.283465778101345e-07	-2.5856183061279133e-08	0.999	0.002	-0.0061870543	0.015846696449565	False	True	False	7.4040145e-08	False
