scope	target	n_profiles	n_donors	spearman	donor_bootstrap_ci_low	donor_bootstrap_ci_high
all	full_programme_score	122	23	0.734552460007732	0.618810436924449	0.818879115366039
all	single_sample_full_rank_score	122	23	0.805248148674415	0.730991681063055	0.868815515537797
ABS	full_programme_score	44	23	0.822410147991543	0.672085865710551	0.887691423893818
ABS	single_sample_full_rank_score	44	23	0.81169837914024	0.651870437599017	0.8829289665083
GOB	full_programme_score	39	23	0.848987854251012	0.734087666725756	0.914446223156286
GOB	single_sample_full_rank_score	39	23	0.859919028340081	0.747451677530022	0.919515844083015
TAC	full_programme_score	39	22	0.652834008097166	0.47697827494192	0.808854803026303
TAC	single_sample_full_rank_score	39	22	0.672064777327935	0.494668605087008	0.817292373177594
