scope	n_profiles	n_donors	estimate	standard_error	ci_low	ci_high	degrees_of_freedom	p_value	singular_fit	p_value_BH
all	122	23	0.219583566024363	0.0350591510341862	0.148523166687823	0.290643965360903	36.636298126201	2.88029798298685e-07	FALSE	3.84039731064913e-07
ABS	44	23	0.257869678598801	0.0397463620248864	0.177415731848714	0.338323625348889	38.1205703301747	1.20527909887755e-07	FALSE	2.84771402825168e-07
GOB	39	23	0.243099964987426	0.0350682246986215	0.171316174121663	0.31488375585319	28.4415725826556	1.42385701412584e-07	FALSE	2.84771402825168e-07
TAC	39	22	0.137956929787232	0.0454215380381222	0.0458106744019735	0.23010318517249	35.6975659232447	0.00444267921903413	FALSE	0.00444267921903413
