score	cell_type	n_donors	n_donor_site_pairs	mean_difference	median_difference	ci_low	ci_high	paired_t_p_value	wilcoxon_p_value	positive_donors	nonzero_donors	sign_test_p_value
full_programme_score	ABS	7	7	2.45728341045859	2.56160754289845	0.694919331570038	4.21964748934714	0.0142877578966175	0.015625	7	7	0.015625
full_programme_score	GOB	4	4	1.13107329049897	1.06227610255217	-0.0396876269833259	2.30183420798126	0.0543671913711058	0.125	4	4	0.125
full_programme_score	TAC	5	5	0.843057455657922	0.852013076985266	-0.129104413793122	1.81521932510897	0.0737359257421717	0.125	4	5	0.375
compact_8_score	ABS	7	7	2.61243013201559	2.53867046203481	1.0030052039937	4.22185506003748	0.00735143620917062	0.015625	7	7	0.015625
compact_8_score	GOB	4	4	1.85563424974647	1.76748571228943	0.384348255220202	3.32692024427273	0.0277569036084902	0.125	4	4	0.125
compact_8_score	TAC	5	5	0.842315756315957	0.906525697948758	-0.364181930105499	2.04881344273741	0.124609998064084	0.1875	4	5	0.375
