dataset	specimen_id	donor_id	polyp_type	sample_classification	route_group	n_cells	panel_id	panel_label	panel_score	panel	tissue
validation	HTA11_9408_2000001011	HTA11_9408	TA	AD	conventional_adenoma	140	full_core_287	Full error-controlled core (287)	2.49802805065297	287-gene core	Adenoma
validation	HTA11_9408_2000002011	HTA11_9408	NL	NL	normal	568	full_core_287	Full error-controlled core (287)	-0.867695589370877	287-gene core	Normal
validation	HTA11_9408_2000002021	HTA11_9408	NL	NL	normal	511	full_core_287	Full error-controlled core (287)	-1.20955977004058	287-gene core	Normal
validation	HTA11_10167_2000002021	HTA11_10167	NL	NL	normal	887	objective_12	Objective Kneedle panel (12)	-0.995168357670832	12-gene panel	Normal
validation	HTA11_10623_2000001011	HTA11_10623	TA	AD	conventional_adenoma	911	objective_12	Objective Kneedle panel (12)	0.684854156519947	12-gene panel	Adenoma
validation	HTA11_10711_2000001011	HTA11_10711	TA	AD	conventional_adenoma	473	objective_12	Objective Kneedle panel (12)	3.33402168180026	12-gene panel	Adenoma
validation	HTA11_11156_2000001011	HTA11_11156	TA	AD	conventional_adenoma	286	objective_12	Objective Kneedle panel (12)	3.17676087742778	12-gene panel	Adenoma
validation	HTA11_11167_2000001011	HTA11_11167	TA	AD	conventional_adenoma	655	objective_12	Objective Kneedle panel (12)	1.44217608189623	12-gene panel	Adenoma
validation	HTA11_3918_2000002011	HTA11_3918	NL	NL	normal	1128	objective_12	Objective Kneedle panel (12)	-0.0273934581522505	12-gene panel	Normal
validation	HTA11_3918_2000002021	HTA11_3918	NL	NL	normal	1159	objective_12	Objective Kneedle panel (12)	0.240836258366577	12-gene panel	Normal
validation	HTA11_4255_2000002011	HTA11_4255	NL	NL	normal	1097	objective_12	Objective Kneedle panel (12)	-0.986783656775034	12-gene panel	Normal
validation	HTA11_4255_2000002021	HTA11_4255	NL	NL	normal	1220	objective_12	Objective Kneedle panel (12)	-1.74307252334574	12-gene panel	Normal
validation	HTA11_6182_2000001011	HTA11_6182	TV	AD	conventional_adenoma	422	objective_12	Objective Kneedle panel (12)	3.04710640119002	12-gene panel	Adenoma
validation	HTA11_6298_2000002011	HTA11_6298	NL	NL	normal	1370	objective_12	Objective Kneedle panel (12)	-1.46004725892985	12-gene panel	Normal
validation	HTA11_6801_2000001021	HTA11_6801	TA	AD	conventional_adenoma	1014	objective_12	Objective Kneedle panel (12)	0.405262578115946	12-gene panel	Adenoma
validation	HTA11_6801_2000002011	HTA11_6801	NL	NL	normal	495	objective_12	Objective Kneedle panel (12)	-0.932363815018405	12-gene panel	Normal
validation	HTA11_6801_2000002021	HTA11_6801	NL	NL	normal	1194	objective_12	Objective Kneedle panel (12)	-1.400978354663	12-gene panel	Normal
validation	HTA11_6818_2000001011	HTA11_6818	TA	AD	conventional_adenoma	1142	objective_12	Objective Kneedle panel (12)	2.76259411232245	12-gene panel	Adenoma
validation	HTA11_6818_2000001021	HTA11_6818	TV	AD	conventional_adenoma	1523	objective_12	Objective Kneedle panel (12)	2.56494450176447	12-gene panel	Adenoma
validation	HTA11_6818_2000002011	HTA11_6818	NL	NL	normal	1365	objective_12	Objective Kneedle panel (12)	-0.677177949697929	12-gene panel	Normal
validation	HTA11_6818_2000002021	HTA11_6818	NL	NL	normal	1181	objective_12	Objective Kneedle panel (12)	-0.745056224321751	12-gene panel	Normal
validation	HTA11_7029_2000002011	HTA11_7029	NL	NL	normal	913	objective_12	Objective Kneedle panel (12)	-1.10457366349487	12-gene panel	Normal
validation	HTA11_7128_2000001011	HTA11_7128	TA	AD	conventional_adenoma	163	objective_12	Objective Kneedle panel (12)	2.8680077523661	12-gene panel	Adenoma
validation	HTA11_7469_2000001011	HTA11_7469	TA	AD	conventional_adenoma	1356	objective_12	Objective Kneedle panel (12)	-1.44923011661816	12-gene panel	Adenoma
validation	HTA11_7469_2000002011	HTA11_7469	NL	NL	normal	2083	objective_12	Objective Kneedle panel (12)	-1.69857114467946	12-gene panel	Normal
validation	HTA11_7469_2000002021	HTA11_7469	NL	NL	normal	1799	objective_12	Objective Kneedle panel (12)	-1.47746272733876	12-gene panel	Normal
validation	HTA11_7663_2000002011	HTA11_7663	NL	NL	normal	822	objective_12	Objective Kneedle panel (12)	0.0600670244283012	12-gene panel	Normal
validation	HTA11_7663_2000002021	HTA11_7663	NL	NL	normal	2171	objective_12	Objective Kneedle panel (12)	-0.55364879207612	12-gene panel	Normal
validation	HTA11_7696_3000711011	HTA11_7696	TA	AD	conventional_adenoma	1188	objective_12	Objective Kneedle panel (12)	4.03683402111253	12-gene panel	Adenoma
validation	HTA11_7696_3000712011	HTA11_7696	NL	NL	normal	741	objective_12	Objective Kneedle panel (12)	-1.35568823256373	12-gene panel	Normal
validation	HTA11_7862_2000001011	HTA11_7862	TA	AD	conventional_adenoma	857	objective_12	Objective Kneedle panel (12)	-0.531925659726624	12-gene panel	Adenoma
validation	HTA11_7862_2000002011	HTA11_7862	NL	NL	normal	543	objective_12	Objective Kneedle panel (12)	-0.764590756086258	12-gene panel	Normal
validation	HTA11_7862_2000002021	HTA11_7862	NL	NL	normal	1098	objective_12	Objective Kneedle panel (12)	-1.59616267039574	12-gene panel	Normal
validation	HTA11_7956_2000002011	HTA11_7956	NL	NL	normal	1012	objective_12	Objective Kneedle panel (12)	-1.98011179528787	12-gene panel	Normal
validation	HTA11_7956_2000002021	HTA11_7956	NL	NL	normal	905	objective_12	Objective Kneedle panel (12)	-1.11618060904928	12-gene panel	Normal
validation	HTA11_8099_2000002011	HTA11_8099	NL	NL	normal	1101	objective_12	Objective Kneedle panel (12)	-1.20834474255758	12-gene panel	Normal
validation	HTA11_8099_2000002021	HTA11_8099	NL	NL	normal	1032	objective_12	Objective Kneedle panel (12)	-1.0960956902579	12-gene panel	Normal
validation	HTA11_8504_2000002011	HTA11_8504	NL	NL	normal	511	objective_12	Objective Kneedle panel (12)	-0.643187153496681	12-gene panel	Normal
validation	HTA11_8504_2000002021	HTA11_8504	NL	NL	normal	1794	objective_12	Objective Kneedle panel (12)	-0.00107287313240761	12-gene panel	Normal
validation	HTA11_8622_2000002011	HTA11_8622	NL	NL	normal	1281	objective_12	Objective Kneedle panel (12)	-1.96013748281271	12-gene panel	Normal
validation	HTA11_8622_2000002021	HTA11_8622	NL	NL	normal	1718	objective_12	Objective Kneedle panel (12)	-1.1199097734009	12-gene panel	Normal
validation	HTA11_866_3004761011	HTA11_866	TA	AD	conventional_adenoma	932	objective_12	Objective Kneedle panel (12)	2.94699228502649	12-gene panel	Adenoma
validation	HTA11_866_3004762011	HTA11_866	NL	NL	normal	1176	objective_12	Objective Kneedle panel (12)	-1.26527664846757	12-gene panel	Normal
validation	HTA11_8920_2000002011	HTA11_8920	NL	NL	normal	1083	objective_12	Objective Kneedle panel (12)	-1.04940863944787	12-gene panel	Normal
validation	HTA11_9408_2000001011	HTA11_9408	TA	AD	conventional_adenoma	140	objective_12	Objective Kneedle panel (12)	3.69380351020493	12-gene panel	Adenoma
validation	HTA11_9408_2000002011	HTA11_9408	NL	NL	normal	568	objective_12	Objective Kneedle panel (12)	-0.814952881784435	12-gene panel	Normal
validation	HTA11_9408_2000002021	HTA11_9408	NL	NL	normal	511	objective_12	Objective Kneedle panel (12)	-0.688841572348588	12-gene panel	Normal
