step	title	primary	secondary
01	PRESPECIFY	287-gene core; 12-gene signature	targets and weights fixed
02	ASSEMBLE	13 held-out donors; 1,664 epithelial cells	128 cells per donor
03	DELETE IN SILICO	13 targets; two initialisation seeds	unsigned GenKI impact
04	TEST AGAINST NULLS	10,000 matched sets; per endpoint	KL primary · EMD sensitivity
