gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm	core	selected12
CNDP2	-0.040744737	-0.04292844	-0.148259118199348	0.0751741148531437	0.779	0.442	0.023678875	0.710887552500955	FALSE	FALSE	FALSE	0.040744737	FALSE	-0.045505904211621	0.0236788722567568	-0.831582533788378	0.410775073511205	0.717042414644774	-5.97840821334162	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
ZNF768	-0.03730383	-0.035679385	-0.120480421930552	0.0363370867446065	0.821	0.358	0.017881157	0.630659417638141	FALSE	FALSE	FALSE	0.03730383	FALSE	-0.036554871106715	0.0178811552540541	-0.831097913837118	0.411045413687003	0.717105708900987	-5.97880112251619	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
MGME1	-0.02485274	-0.024774108	-0.0952246595174074	0.0482848074287176	0.764	0.472	0.012215149	0.736159215032861	FALSE	FALSE	FALSE	0.02485274	FALSE	-0.0287459635564865	0.0122151460448649	-0.831227087250002	0.410973344918137	0.717105708900987	-5.97869641579897	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
C10orf71-AS1	-0.013612481	-0.013600474	-0.0443212076090276	0.0121474834159017	0.86	0.28	0.0057434663	0.549402585303366	FALSE	FALSE	FALSE	0.013612481	FALSE	-0.0145235557567407	0.00574346595945946	-0.830832122535625	0.411193729197831	0.717160255848309	-5.97901652104383	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
PCDHB4	0.010070493	0.009756819	-0.0178857860155404	0.0409873857162893	0.755	0.49	0.001965577	0.748810484785271	FALSE	FALSE	FALSE	0.010070493	FALSE	0.0111057600604303	0.00196557632432432	0.830316305518004	0.411481656991989	0.717458199314148	-5.9794343521482	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
SBK3	-0.025056016	-0.022554623	-0.0842294242233038	0.00928339227102697	0.844	0.312	0.013266105	0.584976130862961	FALSE	FALSE	FALSE	0.025056016	FALSE	-0.0277750419160979	0.0132661041283784	-0.829051309372073	0.412188300994256	0.717862806608801	-5.98045798776907	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
LINC01035	-0.021801045	-0.021623835	-0.0802091743797064	0.0219415422994643	0.799	0.402	0.013114319	0.673825905292479	FALSE	FALSE	FALSE	0.021801045	FALSE	-0.0237207987593692	0.0131143177387838	-0.828879488735592	0.412284339991846	0.717862806608801	-5.98059690910284	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
RBMXL1	0.022488235	0.02301573	-0.0280292962212116	0.0739045955240726	0.814	0.372	0.005383136	0.64473877488042	FALSE	FALSE	FALSE	0.022488235	FALSE	0.0204894184623696	0.00538313677702703	0.829500598059301	0.411937236638035	0.717862806608801	-5.98009459533732	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
GPR174	-0.01576949	-0.014579191	-0.0443961335346103	3.4536704518473e-08	0.895	0.21	0.0052274875	0.467347774402325	FALSE	FALSE	FALSE	0.01576949	FALSE	-0.0147809294853392	0.00522748962297297	-0.828967607220615	0.412235084517708	0.717862806608801	-5.98052566654384	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
ADAM30	0.009685919	0.0098206075	-0.0127144439844415	0.0313262620940804	0.794	0.412	0.0012776774	0.6830787699877	FALSE	FALSE	FALSE	0.009685919	FALSE	0.00988098406499197	0.00127767647972973	0.828852316108745	0.412299529371042	0.717862806608801	-5.98061887631803	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
SMU1	-0.02723853	-0.02822906	-0.110213768482208	0.0599582364782691	0.736	0.528	0.005661608	0.775950457915395	FALSE	FALSE	FALSE	0.02723853	FALSE	-0.0311566149012907	0.00566160787837838	-0.828736292809548	0.412419583198181	0.717867837004334	-5.98065299765409	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
ADGRL3	-0.031232396	-0.031107698	-0.121670801565051	0.0408457323908806	0.775	0.45	0.0094801085	0.717351814182317	FALSE	FALSE	FALSE	0.031232396	FALSE	-0.0353998433394033	0.0094801072972973	-0.827919956123336	0.41284313758005	0.718400995158468	-5.98134818439108	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
VDAC3	-0.055337436	-0.054176353	-0.179289305955172	0.0649519780650735	0.804	0.392	0.03668048	0.664333936833635	FALSE	FALSE	FALSE	0.055337436	FALSE	-0.0589544879334321	0.0366804787810811	-0.826762887792619	0.413468543121089	0.718948801661793	-5.98230595776208	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
BDH2	-0.025583643	-0.024552085	-0.100501835532486	0.0526220948435366	0.74	0.52	0.030819574	0.769935410167406	FALSE	FALSE	FALSE	0.025583643	FALSE	-0.0303410297848098	0.03081957815	-0.826601738980614	0.413558788882127	0.718948801661793	-5.98243590475714	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
LINC03075	0.019528873	0.016489947	-0.0188392240088433	0.0642035074532032	0.833	0.334	0.008217076	0.606484103890506	FALSE	FALSE	FALSE	0.019528873	FALSE	0.0179968527805399	0.00821707546486486	0.826229164413356	0.413767482648806	0.718948801661793	-5.98273624751963	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
LINC02383	-0.0142839365	-0.014760654	-0.0551464551128447	0.0177071176934987	0.782	0.436	0.009787119	0.705243027888446	FALSE	FALSE	FALSE	0.0142839365	FALSE	-0.0166362627540867	0.00978712022567568	-0.826169159238382	0.413801099979451	0.718948801661793	-5.98278460716254	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
MYCBP2-AS2	-0.013837401	-0.013527133	-0.042238609585911	0.00942352022975683	0.85	0.3	0.005953845	0.572835448776065	FALSE	FALSE	FALSE	0.013837401	FALSE	-0.0140150324258336	0.00595384636351351	-0.82596605293649	0.413914900828068	0.718948801661793	-5.98294827038865	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
TIGD3	0.00983084	0.008834638	-0.0162107864860445	0.0367748354561627	0.753	0.494	0.008985255	0.752398282485876	FALSE	FALSE	FALSE	0.00983084	FALSE	0.0120085471243145	0.00898525572567568	0.825948944955771	0.413924487341247	0.718948801661793	-5.98296205424227	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
SFTPD-AS1	-0.011361537	-0.009779265	-0.0301627423148602	0.0010887222335441	0.929	0.142	0.001425505	0.369478495869045	FALSE	FALSE	FALSE	0.011361537	FALSE	-0.0102897940014325	0.0014255042972973	-0.82585107301101	0.413979332832186	0.718948801661793	-5.98304090411117	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
CMTM6	-0.04263745	-0.040898614	-0.121912121772766	0.0339854792691767	0.871	0.258	0.034788974	0.524371773220748	FALSE	FALSE	FALSE	0.04263745	FALSE	-0.042516716042652	0.0347889738405405	-0.825540001090347	0.414153681024062	0.719047776603691	-5.98329145728037	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
MCOLN2	-0.085169986	-0.08644611	-0.273436764627695	0.127156108617782	0.803	0.394	0.0509669	0.666215665612926	FALSE	FALSE	FALSE	0.085169986	FALSE	-0.077735385018032	0.0509668978378378	-0.824531784749053	0.414719071827218	0.719214195608652	-5.98410290060314	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
ASF1A	-0.018443352	-0.01935042	-0.0736980002373457	0.0481699584983289	0.722	0.556	0.005091093	0.795857955993544	FALSE	FALSE	FALSE	0.018443352	FALSE	-0.0216155361843687	0.00509109204189189	-0.824698087006681	0.414625779659912	0.719214195608652	-5.98396912130583	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
MYOZ2	-0.010822047	-0.0111587625	-0.0332328238524497	0.0115717902546748	0.838	0.324	0.0022116432	0.596783383438098	FALSE	FALSE	FALSE	0.010822047	FALSE	-0.0117178381002621	0.00221164319459459	-0.825051041161349	0.414427822332513	0.719214195608652	-5.98368510656851	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
LRP8-DT	0.008427644	0.008386408	-0.0137402914930135	0.0306494816672057	0.764	0.472	0.0030296813	0.736159215032861	FALSE	FALSE	FALSE	0.008427644	FALSE	0.00902058234993781	0.00302968137702703	0.824945621735998	0.414486941624626	0.719214195608652	-5.9837699476201	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
PXDN	0.020950645	0.020372033	-0.0410448577255011	0.0853528959676623	0.743	0.514	0.004086976	0.766100756335972	FALSE	FALSE	FALSE	0.020950645	FALSE	0.0241334353683155	0.00408697615810811	0.822898608866979	0.415658079391498	0.720296169842714	-5.9853913236787	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
TMEM114	0.019883763	0.016111754	-0.0244282951578498	0.0707632355391979	0.754	0.492	0.006051689	0.750777340035321	FALSE	FALSE	FALSE	0.019883763	FALSE	0.0176477854832884	0.00605168989364865	0.822583086694122	0.415813212458573	0.720296169842714	-5.98566856240873	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
