patient_id	rna	atac
A001	-0.157365966461412	0.35223929651395
A002	0.414066911647159	1.46882847938214
A008	-0.994931869868781	-0.294834901190692
A010	0.347984628471473	-0.257483541269865
A014	-0.838576732497644	-1.11148959778854
A015	-0.3083633869804	-0.220807181573044
A018	0.0238969828046938	0.0453249748013703
B001	-2.33042418735322	-1.69980003496912
B004	-1.30237088954784	-0.161992797331595
F007	1.58543807739842	1.23566829923313
F034	1.0705858149413	0.8292510674049
F091	0.524165194795053	0.322322518803881
