sample_id	donor_id	genotype	wnt_rspo	route_up	route_down	route_score	wnt_stem	proliferation_control	gene_z__OLFM4	gene_z__FABP1	gene_z__ASCL2	gene_z__AXIN2	gene_z__LGR5	gene_z__SOX9	gene_z__TCF7L2	gene_z__MYC	gene_z__HNF4A	gene_z__KLF4	dataset	cell_line	clone_id	clone_number	replicate	panel_id	panel_label	condition
Donor1_WT_w_Wnt	Donor1	WT	with	0.253849397477614	-1.24565149811832	1.49950089559593	0.400690215769993	-0.0563964842799325	0.458129769966884	-2.61111949039756	0.0900956182715018	0.445626124305017	0.206165127309978	0.916029841690712	-1.79241295075514	0.462148441553696	-2.14718760438817	-1.98136112392176	GSE125472					objective_12	Objective Kneedle panel (12)	WT +WNT/RSPO
Donor1_WT_wo_Wnt	Donor1	WT	without	-0.478445742887025	0.553348954383782	-1.03179469727081	-0.180966316023905	-0.584820405642291	1.23766782089979	-1.13152602647327	-1.28094561165263	-0.182850725532485	-0.692428944892704	-0.0103073293069989	-1.04349634848456	0.0908384907412336	-1.0906259486818	-1.45323619399881	GSE125472					objective_12	Objective Kneedle panel (12)	WT −WNT/RSPO
Donor1_APC_wo_Wnt	Donor1	APC	without	0.192338302658548	0.358632631219821	-0.166294328561274	0.430691773088491	0.973067295202594	1.28086360858284	-0.216158631856394	0.311798294062405	0.0107145513008015	0.25471240068236	0.387583164169873	-0.22496068968971	0.8033433181632	0.339624877859421	-0.450677920505568	GSE125472					objective_12	Objective Kneedle panel (12)	APC-KO −WNT/RSPO
Donor1_APC_w_Wnt	Donor1	APC	with	0.342074015609786	-0.157690228102907	0.499764243712693	0.569181016289699	0.639743687136989	0.891779629458793	0.0704955318032264	0.544234933545014	0.673601762497346	0.445265732564552	0.334852244670943	0.478312802686001	0.810454521337558	0.696736907960272	0.158422325775141	GSE125472					objective_12	Objective Kneedle panel (12)	APC-KO +WNT/RSPO
Donor2_WT_w_Wnt	Donor2	WT	with	-0.772006466696158	-0.0860861348238658	-0.685920331872292	-0.391187584307395	-0.524546125858141	0.449425865451861	0.459935580603977	-0.584336241097771	-0.786418255034928	-0.213917265149689	-0.390586617127022	0.283466096487415	0.438853044100227	0.36580753169165	0.389753819468611	GSE125472					objective_12	Objective Kneedle panel (12)	WT +WNT/RSPO
Donor2_WT_wo_Wnt	Donor2	WT	without	-1.69705366087773	0.534292279205275	-2.231345940083	-1.56715145577525	-2.46242860120704	0.246649529564371	0.961843861762764	-1.71072859077982	-1.6694251757971	-1.88864179734735	-1.65219447516855	0.214096238350707	-2.25194947405388	1.29679506698519	0.902383825493168	GSE125472					objective_12	Objective Kneedle panel (12)	WT −WNT/RSPO
Donor2_APC_wo_Wnt	Donor2	APC	without	0.841313093269896	-0.679819724267684	1.52113281753758	0.423497706254293	0.43858508739596	-1.67130290814283	0.602310280235114	0.889521148360913	1.31370912397646	0.735928151910153	0.249404815518249	1.54454938958815	0.290917977407366	0.206846087696048	0.871490062373149	GSE125472					objective_12	Objective Kneedle panel (12)	APC-KO −WNT/RSPO
Donor2_APC_w_Wnt	Donor2	APC	with	0.641856419367701	-0.673929131127919	1.31578555049562	0.114032828346341	-0.025982039990257	-2.10262072938282	0.692978447608711	0.760483342905453	1.33526078908095	0.55153553910195	-0.562105209472714	1.80447906532473	-0.0193384954113036	0.190497864902875	1.06041294457289	GSE125472					objective_12	Objective Kneedle panel (12)	APC-KO +WNT/RSPO
Donor3_WT_w_Wnt	Donor3	WT	with	0.114662230413935	0.376181736160842	-0.261519505746907	0.192437401537743	0.986875952069921	-0.313236937878623	0.257749022470492	0.564965984400571	-0.443997189972858	0.463150215846207	0.246485356032017	-0.490442461918116	0.525925701507914	-0.0806841714290833	0.0658944108670422	GSE125472					objective_12	Objective Kneedle panel (12)	WT +WNT/RSPO
Donor3_WT_wo_Wnt	Donor3	WT	without	-1.26752325767555	1.65060121251988	-2.91812447019543	-1.66393176704727	-1.05672644223838	-0.426904742948038	1.31255636633254	-1.676190465347	-1.83673812537135	-2.04126438889922	-2.05856387643155	0.52579905251408	-2.09305965059808	1.62814427281057	1.4498874268259	GSE125472					objective_12	Objective Kneedle panel (12)	WT −WNT/RSPO
Donor3_APC_wo_Wnt	Donor3	APC	without	0.739197621801879	-0.243784656843985	0.982982278645864	0.819160029601351	0.952423964498854	0.153223924575629	-0.226581884337567	0.996187981875805	0.271250525500396	1.09289658627161	1.50974801269086	-1.03035708884788	0.585042768977457	-0.874802120815444	-0.870050452302578	GSE125472					objective_12	Objective Kneedle panel (12)	APC-KO −WNT/RSPO
Donor3_APC_w_Wnt	Donor3	APC	with	1.08973804753711	-0.386095440204908	1.47583348774201	0.853546152265916	0.720204112911722	-0.203674830147855	-0.172483057752022	1.09491360545557	0.869266595047754	1.08659864260216	1.02965407273421	-0.269033105255655	0.356823356274613	-0.531152764591524	-0.142919124647174	GSE125472					objective_12	Objective Kneedle panel (12)	APC-KO +WNT/RSPO
