check	pass
14_canonical_figures	TRUE
all_four_formats_present	TRUE
all_files_nonempty	TRUE
canonical_manifest_current	TRUE
panel_tag_contracts	TRUE
text_contracts	TRUE
source_tsvs_rectangular	TRUE
