figure	format	path	width_pixels	height_pixels	dpi	bytes	sha256	pass
figureS3_signature_transparency_and_random_benchmark	SVG	figures/communications_biology_v1.2/figureS3_signature_transparency_and_random_benchmark.svg				65429	11fccdf7dc13b084494116f126eecbdf36319568555f692e5bdb2991e4bf2edb	True
figureS4_rna_atac_robustness	PDF	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.pdf				37366	e241a52870674e9bbb9aa5f71d5786e1735a7df0a8fad6294fa0ecdc3b7d381c	True
figureS4_rna_atac_robustness	PNG	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.png	2007	1677	300.0	155370	5f2934599801fd4e077ce5a0c47734331e1889ee8e42bec3d0ba58b8435b1acc	True
figureS4_rna_atac_robustness	SVG	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.svg				27708	e9c7be075e92289b8ab2aae73ca9c263f3053cd0ba5ac364f321a7401309f3c1	True
figureS5_crc_atlas_source_audit	PDF	figures/communications_biology_v1.2/figureS5_crc_atlas_source_audit.pdf				36154	3c3874d899903c3ef8579a9736ea1404199cec9598927023a5c419b2629b8df5	True
figureS5_crc_atlas_source_audit	PNG	figures/communications_biology_v1.2/figureS5_crc_atlas_source_audit.png	2007	1771	300.0	211418	66ab723381301ce564208e8317f0c7c368b5f8a0f7b76febdcbd3dddd8dd3734	True
figureS5_crc_atlas_source_audit	SVG	figures/communications_biology_v1.2/figureS5_crc_atlas_source_audit.svg				37893	61c58bad3cf1b975e01026a2a0841362c5b36c9873eac2a7d1f59113cfb75d29	True
figureS6_perturbation_boundaries	PDF	figures/communications_biology_v1.2/figureS6_perturbation_boundaries.pdf				35719	020b01baad9e9a15b1346d436b55db42fb528577326247cb76024a7984e70ed8	True
figureS6_perturbation_boundaries	PNG	figures/communications_biology_v1.2/figureS6_perturbation_boundaries.png	2007	1748	300.0	159894	9ce957beac704d58712d7138a9b1d58154375724a627ccbb40cd77bd9667d979	True
figureS6_perturbation_boundaries	SVG	figures/communications_biology_v1.2/figureS6_perturbation_boundaries.svg				27430	f40dd1ba5df4f63964180cd9cdc7b1959b79facc2ec84031a5c37be9ac49b88f	True
figureS7_virtual_knockout_robustness	PDF	figures/communications_biology_v1.2/figureS7_virtual_knockout_robustness.pdf				56095	6701a6db4ae23a165117024f8addf12abe278fe99dc51a340b66fbb26f11b710	True
figureS7_virtual_knockout_robustness	PNG	figures/communications_biology_v1.2/figureS7_virtual_knockout_robustness.png	2007	1393	300.0	147422	e6ec5cb3eeaebb9cd1b06cdb3b2e20056edc027fe099924c48de4828670a8d52	True
figureS7_virtual_knockout_robustness	SVG	figures/communications_biology_v1.2/figureS7_virtual_knockout_robustness.svg				34694	36f3ca4dbd6ab9db1badc60ae34bdb398263e611d0aaeb0536f724efe1ad0211	True
figureS8_spatial_and_protein_assayability	PDF	figures/communications_biology_v1.2/figureS8_spatial_and_protein_assayability.pdf				37745	28ae021212f269080be25b0445150a9ee0faae4f0e031f6d45c48ef309fe5e73	True
figureS8_spatial_and_protein_assayability	PNG	figures/communications_biology_v1.2/figureS8_spatial_and_protein_assayability.png	2007	1712	300.0	199359	a2234318d6b51ed4c1246aa64a84166b713d556b98b0b3053abb5c43d4c5cd70	True
figureS8_spatial_and_protein_assayability	SVG	figures/communications_biology_v1.2/figureS8_spatial_and_protein_assayability.svg				35533	7933b4be32f2f51f1534f54e8a66a2ae8d786d30e32ca0ae599d4bfed3a42358	True
