model	estimate	ci_low	ci_high	label_x
Cohort-adjusted	1.82957273323502	1.66823238863141	1.99091307783863	2.07091307783863
Plus proliferation	1.61403001444471	1.39743430301322	1.8306257258762	1.9106257258762
