check	pass
7_revised_figures_four_formats	TRUE
all_exports_nonempty	TRUE
all_panel_tags_once	TRUE
supplementary7_uses_four_stage_workflow	TRUE
supplementary7_has_no_legacy_audit_sentence	TRUE
supplementary5_has_reader_facing_study_labels	TRUE
svg_text_remains_editable	TRUE
