study_id	carrier_group	n_observations	n_donors	n_cells_sampled_total	state	study	study_short
Liu_2024_Cancer_Res	tumor_cancer	13	13	813	Primary cancer	Liu_2024_Cancer_Res	Liu 2024
MUI_Innsbruck	tumor_cancer	11	11	837	Primary cancer	MUI_Innsbruck	MUI Innsbruck
MUI_Innsbruck	tumor_epithelial	4	4	130	Primary epi.	MUI_Innsbruck	MUI Innsbruck
Pelka_2021_Cell	tumor_cancer	59	59	5322	Primary cancer	Pelka_2021_Cell	Pelka 2021
Pelka_2021_Cell	tumor_epithelial	6	6	560	Primary epi.	Pelka_2021_Cell	Pelka 2021
Qi_2022_Nat_Commun	tumor_cancer	5	5	329	Primary cancer	Qi_2022_Nat_Commun	Qi 2022
Qian_2020_Cell_Res	tumor_cancer	5	5	499	Primary cancer	Qian_2020_Cell_Res	Qian 2020
Sathe_2023_Clin_Cancer_Res	metastasis_cancer	3	3	945	Metastasis cancer	Sathe_2023_Clin_Cancer_Res	Sathe 2023
Sathe_2023_Clin_Cancer_Res	metastasis_epithelial	1	1	23	Metastasis epi.	Sathe_2023_Clin_Cancer_Res	Sathe 2023
Tian_2023_Nat_Med	metastasis_cancer	22	22	11127	Metastasis cancer	Tian_2023_Nat_Med	Tian 2023
Tian_2023_Nat_Med	metastasis_epithelial	1	1	22	Metastasis epi.	Tian_2023_Nat_Med	Tian 2023
Uhlitz_2021_EMBO_Mol_Med	tumor_cancer	10	10	679	Primary cancer	Uhlitz_2021_EMBO_Mol_Med	Uhlitz 2021
Uhlitz_2021_EMBO_Mol_Med	tumor_epithelial	1	1	28	Primary epi.	Uhlitz_2021_EMBO_Mol_Med	Uhlitz 2021
Wang_2021_Adv_Sci	tumor_epithelial	1	1	54	Primary epi.	Wang_2021_Adv_Sci	Wang 2021
Wang_2023_Sci_Adv	metastasis_cancer	3	3	1931	Metastasis cancer	Wang_2023_Sci_Adv	Wang 2023
Wang_2023_Sci_Adv	metastasis_epithelial	1	1	404	Metastasis epi.	Wang_2023_Sci_Adv	Wang 2023
Wang_2023_Sci_Adv	tumor_cancer	3	3	478	Primary cancer	Wang_2023_Sci_Adv	Wang 2023
Yang_2023_Front_Oncol	tumor_cancer	1	1	85	Primary cancer	Yang_2023_Front_Oncol	Yang 2023
Yang_2023_Front_Oncol	tumor_epithelial	1	1	26	Primary epi.	Yang_2023_Front_Oncol	Yang 2023
Zheng_2022_Signal_Transduct_Target_Ther	polyp_cancer	3	3	2641	Polyp cancer	Zheng_2022_Signal_Transduct_Target_Ther	Zheng 2022
Zheng_2022_Signal_Transduct_Target_Ther	polyp_epithelial	3	3	345	Polyp epi.	Zheng_2022_Signal_Transduct_Target_Ther	Zheng 2022
Zheng_2022_Signal_Transduct_Target_Ther	tumor_cancer	3	3	446	Primary cancer	Zheng_2022_Signal_Transduct_Target_Ther	Zheng 2022
Zheng_2022_Signal_Transduct_Target_Ther	tumor_epithelial	3	3	326	Primary epi.	Zheng_2022_Signal_Transduct_Target_Ther	Zheng 2022
