hallmark	n_members_in_discovery_universe	discovery_universe_n	rank_auc	rank_biserial	enriched_direction	p_mann_whitney	member_genes_in_universe	q_bh	neg_log10_q	display_label	label	direction
HALLMARK_WNT_BETA_CATENIN_SIGNALING	14	6127	0.727068776144516	0.454137552289033	adenoma_up	0.0032877643906995	AXIN2;CCND2;DLL1;FRAT1;FZD1;GNAI1;HDAC2;HEY1;KAT2A;LEF1;MYC;NKD1;NOTCH1;WNT5B	0.00986329317209851	2.00597805791032	Wnt Beta Catenin Signaling	Wnt Beta Catenin Signaling	Adenoma-up
HALLMARK_OXIDATIVE_PHOSPHORYLATION	112	6127	0.126678838617741	-0.746642322764517	adenoma_down	6.97233554525241e-42	ACAA2;ACADM;ACADSB;ACAT1;AIFM1;ATP1B1;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1E;ATP5MC2;ATP5MC3;ATP5ME;ATP5MG;ATP5PB;ATP5PD;ATP5PO;ATP6V0E1;ATP6V1D;BCKDHA;BDH2;CASP7;COX10;COX15;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CPT1A;CS;CYB5A;CYCS;DECR1;DLAT;DLD;ECH1;FDX1;FH;GLUD1;GOT2;HADHB;HCCS;HSPA9;HTRA2;IDH1;ISCA1;ISCU;LDHA;LDHB;LRPPRC;MAOB;MDH1;MDH2;MPC1;MRPL15;MRPL34;MRPL35;MRPS22;MRPS30;NDUFA1;NDUFA2;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFC1;NDUFS2;NDUFS3;NDUFV2;OAT;OXA1L;PDHA1;PDHB;PDK4;PHB2;PHYH;PRDX3;RETSAT;SDHB;SDHD;SLC25A3;SLC25A4;SLC25A5;SUCLG1;TIMM9;TOMM22;UQCR10;UQCR11;UQCRB;UQCRC2;UQCRFS1;UQCRH;UQCRQ;VDAC1;VDAC2;VDAC3	3.34672106172116e-40	39.4753804831617	Oxidative Phosphorylation	Oxidative Phosphorylation	Adenoma-down
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	18	6127	0.218802859169531	-0.562394281660937	adenoma_down	3.68712710964571e-05	CAT;CDKN2D;FES;FTL;GCLM;GLRX2;MGST1;MPO;NDUFA6;NDUFB4;NDUFS2;PDLIM1;PRDX6;PRNP;SOD1;SOD2;SRXN1;TXN	0.000353964202525988	3.45104065727236	Reactive Oxygen Species Pathway	Reactive Oxygen Species Pathway	Adenoma-down
HALLMARK_CHOLESTEROL_HOMEOSTASIS	17	6127	0.236555309521517	-0.526889380956965	adenoma_down	0.000171863697486009	ACTG1;ADH4;ATF3;AVPR1A;CBS;CD9;CPEB2;ECH1;ETHE1;FABP5;GNAI1;GSTM2;LGALS3;MAL2;PLSCR1;PNRC1;TP53INP1	0.00106985485743415	2.97067513716625	Cholesterol Homeostasis	Cholesterol Homeostasis	Adenoma-down
HALLMARK_ADIPOGENESIS	76	6127	0.249906496533848	-0.500187006932304	adenoma_down	6.14169020652513e-14	ABCA1;ACAA2;ACADL;ACADM;ACOX1;AIFM1;AK2;ALDH2;APLP2;APOE;ARL4A;ATL2;ATP1B3;ATP5PO;BCKDHA;BCL6;CAT;CAVIN2;CCNG2;CDKN2C;COL4A1;COQ3;COX6A1;COX7B;COX8A;CRAT;CS;CYP4B1;DDT;DECR1;DLAT;DLD;DNAJC15;DRAM2;ECH1;FABP4;FAH;GADD45A;GHITM;HADH;HSPB8;IDH1;IFNGR1;LIFR;LPCAT3;MDH2;MRPL15;MTCH2;NDUFA5;NDUFAB1;NDUFS3;ORM1;PDCD4;PGM1;PHYH;PLIN2;PPP1R15B;PRDX3;PTGER3;QDPR;RETSAT;SCP2;SDHB;SLC19A1;SLC5A6;SOD1;SQOR;SUCLG1;TOB1;TST;UBQLN1;UCP2;UQCR10;UQCR11;UQCRQ;VEGFB	1.47400564956603e-12	11.8315008519107	Adipogenesis	Adipogenesis	Adenoma-down
