module	n	n_clusters	effect_sd	standard_error	ci_low	ci_high	p_value
M02	283	246	0.2271344177444352	0.11957001492250952	-0.008381913727732865	0.4626507492166033	0.05866089150958493
M03	283	246	-0.004477840004087388	0.11434676598545648	-0.22970596979945657	0.2207502897912818	0.968794571568787
M04	283	246	0.8911204816026608	0.13348570489097658	0.6281945001994342	1.1540464630058873	1.6325896547415513e-10
M05	283	246	0.9525801599668059	0.15537775853671276	0.6465335335893596	1.2586267863442522	3.4760551870491154e-09
M06	283	246	0.28929756474565343	0.12013727596477801	0.05266390264716789	0.525931226844139	0.016777279773137123
M09	283	246	0.7266932869392053	0.16641533551692622	0.39890601228630124	1.0544805615921093	1.8618928474664194e-05
M10	283	246	0.6091103027975704	0.14657248417574645	0.3204073717976375	0.8978132337975033	4.484463325568938e-05
