module	becker_n	becker_n_clusters	becker_effect_sd	becker_standard_error	becker_ci_low	becker_ci_high	becker_p_value	rna_atac_n_samples	rna_atac_n_patients	rna_atac_sample_spearman_rho	rna_atac_sample_spearman_p	rna_atac_patient_median_spearman_rho	rna_atac_patient_median_spearman_p	atlas_n	atlas_n_clusters	atlas_effect_sd	atlas_standard_error	atlas_ci_low	atlas_ci_high	atlas_p_value	spatial_n_informative_sections	spatial_median_direction_oriented_effect	spatial_positive_section_fraction	spatial_p_paired_wilcoxon	protein_n_module_genes	protein_n_pxd002137_present	protein_n_pxd002137_directionally_concordant	protein_n_pxd017269_detected	protein_n_pxd046999_detected
M02	67	14	1.170847392649271	0.1211413261835862	0.9091374685599162	1.432557316738626	2.667370831219394e-07	40	12	0.301313320825516	0.058835772823261384	-0.02097902097902098	0.9484022252365222	283	246	0.2271344177444352	0.11957001492250952	-0.008381913727732865	0.4626507492166033	0.05866089150958493	6	0.17681163440050326	1.0	0.03125	2184	1525	387	1353	1017
M03	67	14	0.17579355406778044	0.18695652521212539	-0.22810146312169086	0.5796885712572517	0.36421275320156404	40	12	-0.14221388367729834	0.38136735104248376	0.1958041958041958	0.5419358857313173	283	246	-0.004477840004087388	0.11434676598545648	-0.22970596979945657	0.2207502897912818	0.968794571568787	6	0.14382981291962946	1.0	0.03125	993	637	176	408	258
M04	67	14	-0.3258296808156068	0.14290179877018894	-0.634550247830876	-0.017109113800337583	0.040111911898296625	40	12	-0.17936210131332084	0.26811042684926645	0.1398601398601399	0.6646331617926677	283	246	0.8911204816026608	0.13348570489097658	0.6281945001994342	1.1540464630058873	1.6325896547415513e-10	6	-0.21060444527797392	0.0	0.03125	812	621	71	524	407
M05	67	14	-0.02044778006392939	0.25745107759012476	-0.576637018662205	0.5357414585343463	0.9379050265355556	40	12	-0.3170731707317073	0.0462036389347093	-0.5664335664335665	0.054842119775407906	283	246	0.9525801599668059	0.15537775853671276	0.6465335335893596	1.2586267863442522	3.4760551870491154e-09	6	-0.24136206699767382	0.0	0.03125	512	418	37	354	279
M06	67	14	1.0209402510679695	0.19043369446049827	0.6095332664210971	1.432347235714842	0.00012949247029753652	40	12	0.13921200750469045	0.39160097354503776	-0.1258741258741259	0.696683109395766	283	246	0.28929756474565343	0.12013727596477801	0.05266390264716789	0.525931226844139	0.016777279773137123	6	0.1397183666331362	1.0	0.03125	231	157	52	122	89
M09	67	14	-1.038530865327601	0.15366945722991723	-1.3705135441827636	-0.7065481864724384	1.3453902461626833e-05	40	12	-0.6386491557223266	9.230442016296205e-06	-0.6853146853146854	0.013905968814362752	283	246	0.7266932869392053	0.16641533551692622	0.39890601228630124	1.0544805615921093	1.8618928474664194e-05	6	-0.3753362468304252	0.0	0.03125	72	62	4	51	43
M10	67	14	0.1887598567307909	0.21281058320286247	-0.27098945698424015	0.648509170445822	0.39120112365932275	40	12	-0.29756097560975614	0.06221598786598999	-0.4125874125874127	0.18256397857316675	283	246	0.6091103027975704	0.14657248417574645	0.3204073717976375	0.8978132337975033	4.484463325568938e-05	6	-0.21419295306246036	0.0	0.03125	47	40	3	33	26
