module	n_samples	n_patients	sample_spearman_rho	sample_spearman_p	patient_median_spearman_rho	patient_median_spearman_p
M02	40	12	0.301313320825516	0.058835772823261384	-0.02097902097902098	0.9484022252365222
M03	40	12	-0.14221388367729834	0.38136735104248376	0.1958041958041958	0.5419358857313173
M04	40	12	-0.17936210131332084	0.26811042684926645	0.1398601398601399	0.6646331617926677
M05	40	12	-0.3170731707317073	0.0462036389347093	-0.5664335664335665	0.054842119775407906
M06	40	12	0.13921200750469045	0.39160097354503776	-0.1258741258741259	0.696683109395766
M09	40	12	-0.6386491557223266	9.230442016296205e-06	-0.6853146853146854	0.013905968814362752
M10	40	12	-0.29756097560975614	0.06221598786598999	-0.4125874125874127	0.18256397857316675
