module	n	n_clusters	effect_sd	standard_error	ci_low	ci_high	p_value
M02	67	14	1.170847392649271	0.1211413261835862	0.9091374685599162	1.432557316738626	2.667370831219394e-07
M03	67	14	0.17579355406778044	0.18695652521212539	-0.22810146312169086	0.5796885712572517	0.36421275320156404
M04	67	14	-0.3258296808156068	0.14290179877018894	-0.634550247830876	-0.017109113800337583	0.040111911898296625
M05	67	14	-0.02044778006392939	0.25745107759012476	-0.576637018662205	0.5357414585343463	0.9379050265355556
M06	67	14	1.0209402510679695	0.19043369446049827	0.6095332664210971	1.432347235714842	0.00012949247029753652
M09	67	14	-1.038530865327601	0.15366945722991723	-1.3705135441827636	-0.7065481864724384	1.3453902461626833e-05
M10	67	14	0.1887598567307909	0.21281058320286247	-0.27098945698424015	0.648509170445822	0.39120112365932275
