module	n_informative_sections	median_direction_oriented_effect	positive_section_fraction	p_paired_wilcoxon
M02	6	0.17681163440050326	1.0	0.03125
M03	6	0.14382981291962946	1.0	0.03125
M04	6	-0.21060444527797392	0.0	0.03125
M05	6	-0.24136206699767382	0.0	0.03125
M06	6	0.1397183666331362	1.0	0.03125
M09	6	-0.3753362468304252	0.0	0.03125
M10	6	-0.21419295306246036	0.0	0.03125
